event,value,description
Query,1173,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,1173,"Same as Query, but only for SELECT queries."
InitialQuery,1173,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,2911,Count queries with all subqueries
SelectQueriesWithSubqueries,2911,Count SELECT queries with all subqueries
QueryTimeMicroseconds,4505903734,Total time of all queries.
SelectQueryTimeMicroseconds,4505903734,Total time of SELECT queries.
FileOpen,4864,Number of files opened.
Seek,11959,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,106679,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,1070892991759,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,1,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,59,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
ReadCompressedBytes,1030383855443,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,51498810,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,3376424472612,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,748911,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,4777,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,5287230,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,1519052,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,143593182829,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,72540,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,297123840,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,17468660,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
MarkCacheHits,753358,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,77,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
QueryConditionCacheHits,8179,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,8201,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
CreatedReadBufferOrdinary,753708,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,1342509440,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,11,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,126486,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,120053,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,1190275,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,1338691,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
GlobalThreadPoolExpansions,3008,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolShrinks,1371,"Counts the total number of times the global thread pool has shrunk by removing threads. This occurs when the number of idle threads exceeds max_thread_pool_free_size, indicating adjustments in the global thread pool size in response to decreased thread utilization."
GlobalThreadPoolThreadCreationMicroseconds,17859735,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,8144386,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,89567,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolJobWaitTimeMicroseconds,158452472,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolExpansions,87806,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,87758,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,31569654,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LocalThreadPoolLockWaitMicroseconds,9801928,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolJobs,89030,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolBusyMicroseconds,274731475480,Total time threads have spent executing the actual work.
LocalThreadPoolJobWaitTimeMicroseconds,187566817,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
AnalyzePatchRangesMicroseconds,185810,Total time spent analyzing index of patch parts
CompileFunction,2,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompileExpressionsMicroseconds,141180,Total time spent for compilation of expressions to LLVM code.
CompileExpressionsBytes,16384,Number of bytes used for expressions compilation.
JoinBuildTableRowCount,2272,Total number of rows in the build table for a JOIN operation.
JoinProbeTableRowCount,33593001912,Total number of rows in the probe table for a JOIN operation.
JoinResultRowCount,134372007648,Total number of rows in the result of a JOIN operation.
JoinReorderMicroseconds,4875,Total time spent executing JOIN reordering algorithm.
JoinOptimizeMicroseconds,3988595,Total time spent executing JOIN plan optimizations.
QueryPlanOptimizeMicroseconds,5708327,Total time spent executing query plan optimizations.
SelectedParts,8190,Number of data parts selected to read from a MergeTree table.
SelectedPartsTotal,8190,Number of total data parts before selecting which ones to read from a MergeTree table.
SelectedRanges,8190,Number of (non-adjacent) ranges in all data parts selected to read from a MergeTree table.
SelectedMarks,8620560,Number of marks (index granules) selected to read from a MergeTree table.
SelectedMarksTotal,8620560,Number of total marks (index granules) before selecting which ones to read from a MergeTree table.
SelectedRows,70183683304,Number of rows SELECTed from all tables.
SelectedBytes,3360658620971,Number of bytes (uncompressed; for columns as they stored in memory) SELECTed from all tables.
RowsReadByMainReader,70183680840,Number of rows read from MergeTree tables by the main reader (after PREWHERE step).
RowsReadByPrewhereReaders,70183680840,Number of rows read from MergeTree tables (in total) by prewhere readers.
LoadedDataParts,21,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,10623,Microseconds spent by MergeTree tables for loading data parts during initialization.
FilteringMarksWithPrimaryKeyMicroseconds,16855,Time spent filtering parts by PK.
WaitMarksLoadMicroseconds,29904895,Time spent loading marks
LoadedMarksFiles,77,Number of mark files loaded.
LoadedMarksCount,81125,Number of marks loaded (total across columns).
LoadedMarksMemoryBytes,357896,Size of in-memory representations of loaded marks.
MergingSortedMilliseconds,42669,Total time spent while merging sorted columns
CommonBackgroundExecutorTaskExecuteStepMicroseconds,11179,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,95,Time spent resetting task for Common executor.
ContextLock,357334,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,235712,Context lock wait time in microseconds
RWLockAcquiredReadLocks,2638,Number of times a read lock was acquired (in a heavy RWLock).
RWLockReadersWaitMilliseconds,3,Total time spent waiting for a read lock to be acquired (in a heavy RWLock).
PartsLockHoldMicroseconds,7912,Total time spent holding data parts lock in MergeTree tables
PartsLockWaitMicroseconds,2,Total time spent waiting for data parts lock in MergeTree tables
PartsLocks,285,Number of times data parts lock has been acquired for MergeTree tables
SharedPartsLockHoldMicroseconds,37455,Total time spent holding shared data parts lock in MergeTree tables
SharedPartsLockWaitMicroseconds,3044,Total time spent waiting for shared data parts lock in MergeTree tables
SharedPartsLocks,15098,Number of times shared data parts lock has been acquired for MergeTree tables
RealTimeMicroseconds,283650259149,Total (wall clock) time spent in processing (queries and other tasks) threads (note that this is a sum).
UserTimeMicroseconds,23554253191,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in user mode. This includes time CPU pipeline was stalled due to main memory access, cache misses, branch mispredictions, hyper-threading, etc."
SystemTimeMicroseconds,1258273346,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in OS kernel mode. This is time spent in syscalls, excluding waiting time during blocking syscalls."
SoftPageFaults,273760247,"The number of soft page faults in query execution threads. Soft page fault usually means a miss in the memory allocator cache, which requires a new memory mapping from the OS and subsequent allocation of a page of physical memory."
OSCPUWaitMicroseconds,38019768259,"Total time a thread was ready for execution but waiting to be scheduled by OS, from the OS point of view."
OSCPUVirtualTimeMicroseconds,24811725446,CPU time spent seen by OS. Does not include involuntary waits due to virtualization.
OSReadChars,1071366589770,"Number of bytes read from filesystem, including page cache, as well as network and other files."
OSWriteChars,9376,"Number of bytes written to filesystem, including page cache, as well as network and other files."
ThreadPoolReaderPageCacheHit,8733482,Number of times the read inside ThreadPoolReader was done from the page cache.
ThreadPoolReaderPageCacheHitBytes,1070616382079,Number of bytes read inside ThreadPoolReader when it was done from the page cache.
ThreadPoolReaderPageCacheHitElapsedMicroseconds,1325126421,Time spent reading data from page cache in ThreadPoolReader.
SynchronousReadWaitMicroseconds,1350958097,Time spent in waiting for synchronous reads in asynchronous local read.
MainConfigLoads,1,Number of times the main configuration was reloaded.
ServerStartupMilliseconds,92,Time elapsed from starting server to listening to sockets in milliseconds
MergerMutatorsGetPartsForMergeElapsedMicroseconds,13167,Time spent to take data parts snapshot to build ranges from them.
MergerMutatorPrepareRangesForMergeElapsedMicroseconds,1312,Time spent to prepare parts ranges which can be merged according to merge predicate.
