event,value,description
RecomputeWeight,7247,Number of weight recomputes triggered at all FairPolicyNodes
FairPolicyDequeue,39447082,Number of dequeues invoked at all FairPolicyNodes
SchedulerNodeUpdate,2956,Number of SchedulerNodeInfo update due to query starting in the GREEDY module.
Query,2964,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,2964,"Same as Query, but only for SELECT queries."
InitialQuery,2964,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,7350,Count queries with all subqueries
SelectQueriesWithSubqueries,7350,Count SELECT queries with all subqueries
QueryTimeMicroseconds,140045733559,Total time of all queries.
SelectQueryTimeMicroseconds,140045733559,Total time of SELECT queries.
FileOpen,27607,Number of files opened.
Seek,289969,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,3384217,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,26063651363676,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,1,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,60,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
ReadCompressedBytes,25862326036529,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,1289792950,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,84971646502371,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,2513352,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,27285,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,19251654,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,5111044,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,543548184500,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,189184,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,774897664,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,434211314,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
MarkCacheHits,2540071,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,143,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
QueryConditionCacheHits,38394,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,38462,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
CreatedReadBufferOrdinary,2540657,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,23866836249,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,9,Total time spent waiting for write syscall. This include writes to page cache.
