event,value,description
Query,634,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,634,"Same as Query, but only for SELECT queries."
InitialQuery,634,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,1565,Count queries with all subqueries
SelectQueriesWithSubqueries,1565,Count SELECT queries with all subqueries
QueryTimeMicroseconds,21595529523,Total time of all queries.
SelectQueryTimeMicroseconds,21595529523,Total time of SELECT queries.
FileOpen,7818,Number of files opened.
Seek,73694,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,814611,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,5543799158806,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,1,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,60,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
ReadCompressedBytes,5508252788954,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,274908655,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,18110957851589,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,510809,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,7681,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,3663490,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,1043225,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,111916276678,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,40384,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,165412864,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,92281534,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
MarkCacheHits,517924,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,143,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
QueryConditionCacheHits,8169,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,8237,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
CreatedReadBufferOrdinary,518510,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,4464956453,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,9,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,24457,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,118456,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,639940,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,737950,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
GlobalThreadPoolExpansions,2047,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolShrinks,410,"Counts the total number of times the global thread pool has shrunk by removing threads. This occurs when the number of idle threads exceeds max_thread_pool_free_size, indicating adjustments in the global thread pool size in response to decreased thread utilization."
GlobalThreadPoolThreadCreationMicroseconds,15329098,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,2187860,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,53686,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolJobWaitTimeMicroseconds,39592489,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolExpansions,52464,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,52416,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,18705552,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LocalThreadPoolLockWaitMicroseconds,2539697,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolJobs,53130,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolBusyMicroseconds,1378539797262,Total time threads have spent executing the actual work.
LocalThreadPoolJobWaitTimeMicroseconds,44066993,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
AnalyzePatchRangesMicroseconds,514858,Total time spent analyzing index of patch parts
CompileFunction,2,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompileExpressionsMicroseconds,237274,Total time spent for compilation of expressions to LLVM code.
CompileExpressionsBytes,16384,Number of bytes used for expressions compilation.
JoinBuildTableRowCount,1200,Total number of rows in the build table for a JOIN operation.
JoinProbeTableRowCount,177479804700,Total number of rows in the probe table for a JOIN operation.
JoinResultRowCount,709919218800,Total number of rows in the result of a JOIN operation.
JoinReorderMicroseconds,3475,Total time spent executing JOIN reordering algorithm.
JoinOptimizeMicroseconds,1628827,Total time spent executing JOIN plan optimizations.
QueryPlanOptimizeMicroseconds,2241844,Total time spent executing query plan optimizations.
SelectedParts,8203,Number of data parts selected to read from a MergeTree table.
SelectedPartsTotal,8203,Number of total data parts before selecting which ones to read from a MergeTree table.
SelectedRanges,8203,Number of (non-adjacent) ranges in all data parts selected to read from a MergeTree table.
SelectedMarks,46308459,Number of marks (index granules) selected to read from a MergeTree table.
SelectedMarksTotal,46308459,Number of total marks (index granules) before selecting which ones to read from a MergeTree table.
SelectedRows,378623917556,Number of rows SELECTed from all tables.
SelectedBytes,18099543311277,Number of bytes (uncompressed; for columns as they stored in memory) SELECTed from all tables.
RowsReadByMainReader,378623916162,Number of rows read from MergeTree tables by the main reader (after PREWHERE step).
RowsReadByPrewhereReaders,378623916162,Number of rows read from MergeTree tables (in total) by prewhere readers.
LoadedDataParts,34,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,14052,Microseconds spent by MergeTree tables for loading data parts during initialization.
FilteringMarksWithPrimaryKeyMicroseconds,30763,Time spent filtering parts by PK.
WaitMarksLoadMicroseconds,37713963,Time spent loading marks
LoadedMarksFiles,143,Number of mark files loaded.
LoadedMarksCount,807422,Number of marks loaded (total across columns).
LoadedMarksMemoryBytes,3661568,Size of in-memory representations of loaded marks.
MergingSortedMilliseconds,189453,Total time spent while merging sorted columns
CommonBackgroundExecutorTaskExecuteStepMicroseconds,41832,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,281,Time spent resetting task for Common executor.
ContextLock,1055085,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,190332,Context lock wait time in microseconds
RWLockAcquiredReadLocks,1613,Number of times a read lock was acquired (in a heavy RWLock).
RWLockReadersWaitMilliseconds,6,Total time spent waiting for a read lock to be acquired (in a heavy RWLock).
PartsLockHoldMicroseconds,12264,Total time spent holding data parts lock in MergeTree tables
PartsLockWaitMicroseconds,13,Total time spent waiting for data parts lock in MergeTree tables
PartsLocks,317,Number of times data parts lock has been acquired for MergeTree tables
SharedPartsLockHoldMicroseconds,158265,Total time spent holding shared data parts lock in MergeTree tables
SharedPartsLockWaitMicroseconds,4045,Total time spent waiting for shared data parts lock in MergeTree tables
SharedPartsLocks,64390,Number of times shared data parts lock has been acquired for MergeTree tables
RealTimeMicroseconds,1421648054544,Total (wall clock) time spent in processing (queries and other tasks) threads (note that this is a sum).
UserTimeMicroseconds,186201115612,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in user mode. This includes time CPU pipeline was stalled due to main memory access, cache misses, branch mispredictions, hyper-threading, etc."
SystemTimeMicroseconds,4785344641,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in OS kernel mode. This is time spent in syscalls, excluding waiting time during blocking syscalls."
SoftPageFaults,448066332,"The number of soft page faults in query execution threads. Soft page fault usually means a miss in the memory allocator cache, which requires a new memory mapping from the OS and subsequent allocation of a page of physical memory."
OSCPUWaitMicroseconds,125686993300,"Total time a thread was ready for execution but waiting to be scheduled by OS, from the OS point of view."
OSCPUVirtualTimeMicroseconds,190983143886,CPU time spent seen by OS. Does not include involuntary waits due to virtualization.
OSReadChars,5544616386896,"Number of bytes read from filesystem, including page cache, as well as network and other files."
OSWriteChars,5064,"Number of bytes written to filesystem, including page cache, as well as network and other files."
ThreadPoolReaderPageCacheHit,44303381,Number of times the read inside ThreadPoolReader was done from the page cache.
ThreadPoolReaderPageCacheHitBytes,5541485717319,Number of bytes read inside ThreadPoolReader when it was done from the page cache.
ThreadPoolReaderPageCacheHitElapsedMicroseconds,4369211145,Time spent reading data from page cache in ThreadPoolReader.
SynchronousReadWaitMicroseconds,4474008210,Time spent in waiting for synchronous reads in asynchronous local read.
