event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,10668192,19859938,9191746,Total time spent analyzing index of patch parts
ArenaAllocBytes,1268776960,1562902528,294125568,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,309760,381568,71808,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,161,161,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,1593,2389,796,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,1541,2333,792,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,1593,2389,796,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,118267,159959,41692,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,932,1048,116,Time spent resetting task for Common executor.
CompileExpressionsBytes,16384,16384,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,237274,237274,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,2,2,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,2112849270,2602440216,489590946,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,139194762946025,171448989109561,32254226163536,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,185745,185745,0,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,182062885947,182062885947,0,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,4309956,4309956,0,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,185745,185745,0,Total number of CPU slots acquired
ConcurrencyControlUpscales,185745,185745,0,Total number of CPU upscaling events
ConcurrencyControlWaitMicroseconds,97563840337,97563840337,0,Total time a query was waiting on resource requests for CPU slots.
ContextLock,8192562,10069823,1877261,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,15951002,33886058,17935056,Context lock wait time in microseconds
CreatedReadBufferOrdinary,4223603,5136770,913167,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,77340283492,138658948126,61318664634,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,9,9,0,Total time spent waiting for write syscall. This include writes to page cache.
FairPolicyDequeue,71257008,71257008,0,Number of dequeues invoked at all FairPolicyNodes
FileOpen,34487,36417,1930,Number of files opened.
FilteringMarksWithPrimaryKeyMicroseconds,219999,279656,59657,Time spent filtering parts by PK.
FunctionExecute,711930494,876837226,164906732,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
GlobalThreadPoolExpansions,17486,22999,5513,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolJobWaitTimeMicroseconds,464775237,834473649,369698412,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
GlobalThreadPoolJobs,359975,447132,87157,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolLockWaitMicroseconds,36467783,63478585,27010802,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolShrinks,15849,21362,5513,"Counts the total number of times the global thread pool has shrunk by removing threads. This occurs when the number of idle threads exceeds max_thread_pool_free_size, indicating adjustments in the global thread pool size in response to decreased thread utilization."
GlobalThreadPoolThreadCreationMicroseconds,427939757,605237668,177297911,Total time spent waiting for new threads to start.
HTTPServerConnectionsCreated,1110,1211,101,Number of created server HTTP connections
HTTPServerConnectionsExpired,994,1037,43,Number of expired server HTTP connections.
HTTPServerConnectionsPreserved,4840,5962,1122,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsReset,12,13,1,Number of reset server HTTP connections. Server closes connection
HTTPServerConnectionsReused,3858,4938,1080,Number of reused server HTTP connections
IOBufferAllocBytes,901326187784,1098768518370,197442330586,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
