event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,629844,2886769,2256925,Total time spent analyzing index of patch parts
ArenaAllocBytes,330825728,552861696,222035968,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,80768,134976,54208,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,161,161,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,2,2,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,49321,72397,23076,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,294,494,200,Time spent resetting task for Common executor.
CompileExpressionsBytes,16384,16384,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,237274,237274,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,2,2,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,549872707,919782961,369910254,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,36225634320529,60595301015075,24369666694546,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,45310,45310,0,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,23227791606,23227791606,0,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,543559,543559,0,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,45310,45310,0,Total number of CPU slots acquired
ConcurrencyControlUpscales,45310,45310,0,Total number of CPU upscaling events
ConcurrencyControlWaitMicroseconds,14141221879,14141221879,0,Total time a query was waiting on resource requests for CPU slots.
ContextLock,2112274,3550927,1438653,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,200124,1295155,1095031,Context lock wait time in microseconds
CreatedReadBufferOrdinary,1071281,1766504,695223,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,6813020786,19836652413,13023631627,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,9,9,0,Total time spent waiting for write syscall. This include writes to page cache.
FairPolicyDequeue,14790268,14790268,0,Number of dequeues invoked at all FairPolicyNodes
FileOpen,15607,21027,5420,Number of files opened.
FilteringMarksWithPrimaryKeyMicroseconds,48328,90432,42104,Time spent filtering parts by PK.
FunctionExecute,184563068,309387191,124824123,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
GlobalThreadPoolExpansions,2047,10145,8098,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolJobWaitTimeMicroseconds,48564901,168481237,119916336,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
GlobalThreadPoolJobs,102894,171918,69024,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolLockWaitMicroseconds,2705006,12301684,9596678,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolShrinks,410,8508,8098,"Counts the total number of times the global thread pool has shrunk by removing threads. This occurs when the number of idle threads exceeds max_thread_pool_free_size, indicating adjustments in the global thread pool size in response to decreased thread utilization."
GlobalThreadPoolThreadCreationMicroseconds,15329098,199379510,184050412,Total time spent waiting for new threads to start.
HTTPServerConnectionsCreated,300,558,258,Number of created server HTTP connections
HTTPServerConnectionsExpired,294,513,219,Number of expired server HTTP connections.
HTTPServerConnectionsPreserved,1262,2109,847,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsReset,4,5,1,Number of reset server HTTP connections. Server closes connection
HTTPServerConnectionsReused,972,1601,629,Number of reused server HTTP connections
IOBufferAllocBytes,229860419403,379800046758,149939627355,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocs,2155151,3554172,1399021,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
InitialQuery,1267,2115,848,"Same as Query, but only counts initial queries (see is_initial_query)."
InterfaceHTTPReceiveBytes,1314635,2178498,863863,Number of bytes received through HTTP interfaces
InterfaceHTTPSendBytes,1482741,2459033,976292,Number of bytes sent through HTTP interfaces
JoinBuildTableRowCount,2400,4060,1660,Total number of rows in the build table for a JOIN operation.
JoinOptimizeMicroseconds,1940909,12443386,10502477,Total time spent executing JOIN plan optimizations.
JoinProbeTableRowCount,354959609400,600473339235,245513729835,Total number of rows in the probe table for a JOIN operation.
JoinReorderMicroseconds,6245,12606,6361,Total time spent executing JOIN reordering algorithm.
JoinResultRowCount,1419838437600,2401893356940,982054919340,Total number of rows in the result of a JOIN operation.
LoadedDataParts,34,34,0,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,14052,14052,0,Microseconds spent by MergeTree tables for loading data parts during initialization.
LoadedMarksCount,807422,807422,0,Number of marks loaded (total across columns).
LoadedMarksFiles,143,143,0,Number of mark files loaded.
LoadedMarksMemoryBytes,3661568,3661568,0,Size of in-memory representations of loaded marks.
