timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5013.82,262144,64,36114,2379822516,64,55,118,1,585,464057,4,6504,67,14,124749708,1172,1,66,5753,81520,2,15861,585,7359984,5824259,748197186,585,380,2,1,2,2,384,1,745185692,698961959,31740712,53732033,53748417,2,1,2364209452,73389,73389,2,2,2,53732033,5,3,297345,3853182,1427680,21943,5687,745185692,442114,5932061,3933
10034.50,262144,64,45676,3009928624,64,55,120,1,585,586229,4,9222,67,14,125015160,1172,1,66,7158,171949,2,15861,585,10669222,10790205,933152254,585,380,2,1,2,2,384,1,929341852,883133790,77386047,68056350,68072734,2,1,2994479400,73389,73389,2,2,2,68056350,5,3,316307,6248226,1620588,27667,7092,929341852,558562,9049131,3933
15051.15,262144,64,51234,3376301328,64,55,121,1,585,660578,4,10793,67,14,125280612,1172,1,66,7976,391280,2,15861,585,12785135,15520894,1040871323,585,380,2,1,2,2,384,1,1036558748,990328396,101818028,76386726,76386726,2,1,3361015944,73389,73389,2,2,2,76386726,5,3,324069,8757544,1711390,31476,7910,1036558748,629102,11073153,3933
20074.83,262144,64,56512,3723805114,64,55,122,1,585,734671,4,12288,67,14,125280612,1172,1,66,8746,729081,2,15861,585,14184795,20349686,1142407335,585,380,2,1,2,2,384,1,1137615260,1091864290,127287086,84279052,84295436,2,1,3708278288,73389,73389,2,2,2,84279052,5,3,329544,11545829,1782077,37192,8681,1137615260,697479,12401921,3933
25113.98,262144,64,61511,4053277742,64,55,123,1,585,804404,4,13706,67,14,125546064,1172,1,66,9482,994323,2,15861,585,16139954,25308495,1239203838,585,380,2,1,2,2,384,1,1233953180,1188203078,151735580,91776003,91776003,2,1,4038144132,73389,73389,2,2,2,91776003,5,3,333647,14504246,1855088,40688,9416,1233953180,763716,14283839,3933
30133.84,262144,64,65318,4304100554,64,55,123,1,585,859059,4,14744,67,14,125546064,1172,1,66,10040,1204385,2,15861,585,17260552,30060673,1312833110,585,380,2,1,2,2,384,1,1307222428,1261539189,189610442,97475032,97475032,2,1,4288901408,73389,73389,2,2,2,97475032,5,3,334842,17536163,1910261,43464,9975,1307222428,815595,15349595,3933
35156.34,262144,64,69635,4588612178,64,55,124,1,585,920767,4,15971,67,14,125546064,1172,1,66,10677,1440524,2,15861,585,18163763,34402821,1396592907,585,380,2,1,2,2,384,1,1390584220,1344745597,204476511,103925566,103941950,2,1,4572724904,73389,73389,2,2,2,103925566,5,3,338223,20780069,1972994,46434,10611,1390584220,874333,16190475,3933
40178.95,262144,64,74983,4940956870,64,55,125,1,585,995162,4,17487,67,14,125811516,1172,1,66,11461,1662589,2,15861,585,20753744,40156283,1499834710,585,380,2,1,2,2,384,1,1493344668,1447741897,312409632,111930421,111946805,2,1,4924938524,73389,73389,2,2,2,111930421,5,3,343416,23953025,2081889,50584,11396,1493344668,944578,18671517,3933
45193.12,262144,64,80540,5306998586,64,55,126,1,585,1074342,4,19059,67,14,125811516,1172,1,66,12275,1892186,2,15861,585,23096697,45703459,1607162149,585,380,2,1,2,2,384,1,1600168348,1554756066,409224198,120254764,120271148,2,1,5291209616,73389,73389,2,2,2,120254764,5,3,355340,26782824,2189134,56973,12210,1600168348,1017369,20906471,3933
50205.20,262144,64,86635,5708829574,64,55,127,1,585,1169240,4,20775,67,14,126076968,1172,1,66,13173,2055157,2,15861,585,25183600,51113889,1725283095,585,380,2,1,2,2,384,1,1717739932,1672163216,436215173,129385797,129402181,2,1,5692975068,73389,73389,2,2,2,129385797,5,3,359937,29423973,2290649,74065,13107,1717739932,1095175,22891608,3933
