timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5066.55,8,262144,64,23611,1555913224,64,45,116,0,585,429104,12,2983,54,67,43516,124484256,1172,1,66,3915,2729410,2,132973,585,4264217,26141201,506729087,585,1169,2,1,2,2,670,1,504406428,458079073,38476260,35009056,35025440,2,1,1540398464,73389,73389,2,2,2,35009056,13,3,112612,23204094,818298,14958,3850,504406428,414146,3445609,25075
10098.34,8,262144,64,27767,1829608100,64,45,117,0,585,489873,12,4171,54,67,43516,124484256,1172,1,66,4526,3110214,2,132973,585,5158625,30799162,587063328,585,1169,2,1,2,2,670,1,584360348,538135843,51917972,41224181,41240565,2,1,1813863964,73389,73389,2,2,2,41224181,13,3,114511,26573352,874116,17815,4460,584360348,472058,4284139,25075
15118.11,8,262144,64,32415,2136077592,64,45,118,0,585,553159,12,5496,54,67,43516,124749708,1172,1,66,5208,3362751,2,132973,585,6963249,36776709,676869049,585,1169,2,1,2,2,670,1,673751452,627736502,111840169,48196844,48213228,2,1,2120661136,73389,73389,2,2,2,48196844,13,3,126408,30273491,983197,20755,5142,673751452,532404,5979433,25075
20138.51,8,262144,64,37735,2486587276,64,45,119,0,585,625403,12,7002,54,67,43516,124749708,1172,1,66,5991,3523214,2,132973,585,8858192,41957977,779977826,585,1169,2,1,2,2,670,1,776380828,730151751,147180073,56160739,56177123,2,1,2471072516,73389,73389,2,2,2,56160739,13,3,131727,33312432,1068415,25147,5925,776380828,600256,7789312,25075
25156.79,8,262144,64,44839,2954809540,64,45,120,0,585,742444,12,8994,54,67,43516,125015160,1172,1,66,7030,3676857,2,132973,585,11626085,47527261,916907160,585,1169,2,1,2,2,670,1,912695708,866997372,220306208,66805133,66821517,2,1,2939425852,73389,73389,2,2,2,66805133,13,3,140133,35741188,1191989,54171,6965,912695708,688273,10433954,25075
30162.42,8,262144,64,68715,4527788154,64,45,124,0,585,950088,12,15669,54,67,43516,125546064,1172,1,66,10539,3742203,2,132973,585,18164356,50293912,1378503836,585,1169,2,1,2,2,670,1,1372496284,1326980160,260959792,102553628,102553628,2,1,4512359632,73389,73389,2,2,2,102553628,13,3,156176,37423702,1358476,61448,10473,1372496284,888640,16806395,25075
35167.27,8,262144,64,116450,7673644814,64,45,132,0,585,1340123,12,29181,54,67,43516,127102578,1172,1,66,17554,3743338,2,132973,585,28971914,50315064,2301453872,585,1169,2,1,2,2,670,1,2291966364,2246481262,286292718,174058366,174058366,2,1,7657847208,73389,73389,2,2,2,174041982,13,3,174747,38205663,1531018,71751,17488,2291966364,1268372,27440645,25075
40172.34,8,262144,64,164526,10841342478,64,45,140,0,585,1738018,12,42728,54,67,43516,128152320,1172,1,66,24616,3744119,2,132973,585,39386310,50318271,3230572393,585,1169,2,1,2,2,670,1,3217596828,3172475384,310330084,246034366,246050750,2,1,10825512104,73389,73389,2,2,2,246034366,13,3,194469,38964742,1685167,81158,24550,3217596828,1656860,37701100,25075
45178.14,8,262144,64,214084,14106960850,64,45,148,0,585,2127499,12,56688,54,67,43516,129479580,1172,1,66,31895,3744999,2,132973,585,49565188,50340142,4188246001,585,1169,2,1,2,2,670,1,4171669916,4127052272,355475263,320264881,320281265,2,1,14091654764,73389,73389,2,2,2,320264881,13,3,219085,39741450,1861105,91092,31829,4171669916,2036407,47702445,25075
50183.30,8,262144,64,267645,17636054034,64,45,157,0,585,2553348,12,71733,54,67,43516,130806840,1172,1,66,39765,3745891,2,132973,585,60917888,50341140,5223658929,585,1169,2,1,2,2,670,1,5203206556,5158735677,386715587,400458728,400475112,2,1,17620184032,73389,73389,2,2,2,400458728,13,3,241881,40565633,2062505,101305,39699,5203206556,2452043,58853785,25075
55188.40,8,262144,64,326630,21522931154,64,45,167,1,585,3041148,12,88371,54,67,43516,132399552,1172,1,66,48434,3746405,2,132973,585,71618863,50347577,6364085767,585,1169,2,1,2,2,670,1,6339338652,6294992655,412459989,488808760,488825144,2,1,21507585440,73389,73389,2,2,2,488808760,13,3,255242,41477672,2261221,111746,48368,6339338652,2929402,69355338,25075
60191.89,8,262144,64,376296,24795374028,64,45,175,1,585,3455921,12,102408,54,67,43516,133461360,1172,1,66,55727,3746598,2,132973,585,80783236,50349035,7323728373,585,1169,2,1,2,2,670,1,7295377820,7251636827,437531890,563188890,563188890,2,1,24779590264,73389,73389,2,2,2,563172506,13,3,279633,42225562,2417779,120014,55661,7295377820,3335907,78363435,25075
