timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5014.19,262144,64,37723,2485800844,64,57,119,585,503739,4,6999,67,63,124749708,1172,1,66,5988,112931,2,3073,585,7937816,4633576,779071991,585,308,2,1,2,2,303,1,775987612,729881713,35170595,56144355,56160739,2,1,2470351620,73389,73389,2,2,2,56144355,3,3,351384,3120399,1775602,20830,5923,775987612,482909,6161677,3737
10030.85,262144,64,45512,2998939400,64,57,120,585,615179,4,9173,67,63,125015160,1172,1,66,7132,203725,2,3073,585,10298549,8976626,929822410,585,308,2,1,2,2,303,1,926065052,879950891,64755770,67804557,67820941,2,1,2983400508,73389,73389,2,2,2,67804557,3,3,357198,5537479,1907427,26326,7067,926065052,588853,8390668,3737
15035.60,262144,64,75610,4982313394,64,57,125,585,900730,4,17658,67,63,125811516,1172,1,66,11554,295329,2,3073,585,17047299,12229754,1511571721,585,308,2,1,2,2,303,1,1505534364,1459800997,109291576,112886726,112886726,2,1,4967015944,73389,73389,2,2,2,112886726,3,3,380443,7275728,2136006,34648,11488,1505534364,866082,14911376,3737
20072.68,262144,64,125440,8265733426,64,57,133,585,1293061,4,31691,67,63,127102578,1172,1,66,18876,295577,2,3073,585,26434475,12248851,2474890386,585,308,2,1,2,2,303,1,2465243548,2419531000,133022281,187518649,187518649,2,1,8250820556,73389,73389,2,2,2,187518649,3,3,409092,8027615,2307533,42904,18810,2465243548,1250157,24127484,3737
25081.90,262144,64,140860,9281873038,64,57,136,585,1495616,4,36059,67,63,127621416,1172,1,66,21142,356281,2,3073,585,32242231,16513896,2773129736,585,308,2,1,2,2,303,1,2762252700,2716628401,209643637,210607518,210607518,2,1,9266730792,73389,73389,2,2,2,210607518,3,3,421530,9973171,2564371,52334,21076,2762252700,1443282,29678684,3737
30086.20,262144,64,185766,12241025226,64,57,143,585,1849064,4,48690,67,63,128683224,1172,1,66,27739,371371,2,3073,585,40747093,17620809,3641094445,585,308,2,1,2,2,303,1,3626934684,3581620585,238081829,277855019,277871403,2,1,12225620836,73389,73389,2,2,2,277855019,3,3,452813,11013210,2789291,61377,27673,3626934684,1787687,37958384,3737
35089.90,262144,64,245304,16164216150,64,57,153,585,2306871,4,65475,67,63,130275936,1172,1,66,36483,371651,2,3073,585,50789924,17741350,4791553014,585,308,2,1,2,2,303,1,4773028252,4728522112,265334241,367007867,367024251,2,1,16148346148,73389,73389,2,2,2,367007867,3,3,476697,11881729,2982163,70976,36417,4773028252,2235895,47808314,3737
40105.43,262144,64,297044,19573364978,64,57,162,585,2725465,4,80080,67,63,131603196,1172,1,66,44087,377775,2,3073,585,60433283,18132331,5792035468,585,308,2,1,2,2,303,1,5769699740,5725062643,293649208,444502672,444519056,2,1,19558117568,73389,73389,2,2,2,444502672,3,3,492049,12904538,3159371,80700,44021,5769699740,2644765,57274797,3737
45118.11,262144,64,307847,20285066714,64,57,164,585,2885492,4,83136,67,63,131868648,1172,1,66,45675,449690,2,3073,585,64502982,22428732,6001070705,585,308,2,1,2,2,303,1,5977842076,5933170494,393404215,460684414,460684414,2,1,20269393320,73389,73389,2,2,2,460668030,3,3,495176,15124129,3326064,103939,45609,5977842076,2781553,61177155,3737
50132.51,262144,64,318627,20995526574,64,57,166,585,3026650,4,86185,67,63,132134100,1172,1,66,47256,534389,2,3073,585,68058603,26700231,6209186514,585,308,2,1,2,2,303,1,6185066908,6140843715,506272436,476823037,476839421,2,1,20980213628,73389,73389,2,2,2,476823037,3,3,501200,17338869,3510632,110634,47190,6185066908,2916016,64546882,3737
55136.57,262144,64,368674,24293192050,64,57,174,585,3377100,4,100221,67,63,133461360,1172,1,66,54607,540347,2,3073,585,77532713,28103105,7176282799,585,308,2,1,2,2,303,1,7148577180,7104799528,632009317,551766256,551782640,2,1,24277715264,73389,73389,2,2,2,551766256,3,3,519957,18339544,3723333,120404,54541,7148577180,3256696,73808270,3737
