timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5022.50,6,262144,64,22686,1495026972,64,49,116,0,585,388167,9,2733,67,13852,124484256,1172,1,66,3781,2422222,2,170239,585,4091418,26899994,488941831,585,937,2,1,2,2,911,1,486711708,440253285,37081899,33626767,33643151,2,1,1479577748,73389,73389,2,2,2,33626767,10,1,3,135900,24699233,833168,14853,3715,486711708,373314,3257737,8627
10064.30,6,262144,64,26591,1752272312,64,49,117,0,585,446175,9,3852,67,13852,124484256,1172,1,66,4350,2597501,2,170239,585,5531751,32810841,563883648,585,937,2,1,2,2,911,1,561291676,515484227,71111229,39481444,39481444,2,1,1737183536,73389,73389,2,2,2,39481444,10,1,3,146338,28145808,929981,17891,4285,561291676,428284,4601369,8627
15092.97,6,262144,64,30507,2010238548,64,49,117,0,585,502194,9,4920,67,13852,124484256,1172,1,66,4928,3075086,2,170239,585,6578759,37394310,640006022,585,937,2,1,2,2,911,1,637051292,590899921,93101731,45344313,45344313,2,1,1994428876,73389,73389,2,2,2,45327929,10,1,3,150639,31925880,982183,20803,4862,637051292,481391,5595566,8627
20117.66,6,262144,64,34487,2272664540,64,49,118,0,585,609540,9,6060,67,13852,124749708,1172,1,66,5514,3207683,2,170239,585,7904077,42669383,717176272,585,937,2,1,2,2,911,1,713859484,667642772,143448689,51295135,51311519,2,1,2256985940,73389,73389,2,2,2,51295135,10,1,3,155709,35426630,1084076,72335,5449,713859484,537205,6819185,8627
25134.56,6,262144,64,38397,2530141032,64,49,119,0,585,666007,9,7180,67,13852,124749708,1172,1,66,6085,3357917,2,170239,585,9342260,47765329,792380768,585,937,2,1,2,2,911,1,788701596,742911514,201463121,57143779,57166196,2,1,2514326276,73389,73389,2,2,2,57143779,10,1,3,162253,38387843,1193440,75308,6019,788701596,590699,8148475,8627
30169.78,6,262144,64,42404,2794167572,64,49,119,0,585,724088,9,8274,67,13852,124749708,1172,1,66,6675,3736341,2,170239,585,10752828,52660031,870087103,585,937,2,1,2,2,911,1,866034076,820096965,239584886,63160137,63160137,2,1,2779046028,73389,73389,2,2,2,63160137,10,1,3,169655,41714974,1268978,78145,6609,866034076,645943,9483144,8627
35191.23,6,262144,64,47552,3133405064,64,49,120,0,585,796893,9,9734,67,13852,125015160,1172,1,66,7432,3860079,2,170239,585,12688441,58491100,969778301,585,937,2,1,2,2,911,1,965255580,919275303,294185874,70870080,70870080,2,1,3118283520,73389,73389,2,2,2,70870080,10,1,3,176894,44477710,1385650,81878,7366,965255580,715015,11302468,8627
40213.90,6,262144,64,55272,3642009570,64,49,122,0,585,897254,9,11949,67,13852,125280612,1172,1,66,8566,3968313,2,170239,585,15647300,63634647,1119077962,585,937,2,1,2,2,911,1,1113891228,1067986502,401595369,82415594,82431978,2,1,3626286136,73389,73389,2,2,2,82415594,10,1,3,191776,46914963,1552746,86777,8500,1113891228,810477,14093197,8627
45218.96,6,262144,64,74665,4920116422,64,49,125,0,585,1098371,9,17396,67,13852,125811516,1172,1,66,11414,4025982,2,170239,585,20777256,67687048,1493739486,585,937,2,1,2,2,911,1,1487053212,1441627663,430214008,111471669,111471669,2,1,4904753436,73389,73389,2,2,2,111471669,10,1,3,208025,48846010,1756969,94606,11348,1487053212,1003765,19018193,8627
50224.80,6,262144,64,129517,8534516410,64,49,134,0,585,1542998,9,32856,67,13852,127368030,1172,1,66,19474,4026783,2,170239,585,31289359,67731940,2554289753,585,937,2,1,2,2,911,1,2543624604,2498103717,455786817,193616927,193633311,2,1,8519144788,73389,73389,2,2,2,193616927,10,1,3,243556,49721930,1971115,105199,19408,2543624604,1437799,29317149,8627
55240.39,6,262144,64,154741,10196621842,64,49,138,0,585,1794300,9,39954,67,13852,127886868,1172,1,66,23180,4094605,2,170239,585,37639676,70895631,3041951370,585,937,2,1,2,2,911,1,3029377436,2984055711,606535446,231382369,231398753,2,1,10180824236,73389,73389,2,2,2,231382369,10,1,3,262551,51479760,2189813,116891,23115,3029377436,1677409,35448326,8627
