timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5037.88,3,262144,64,25284,1666085856,64,46,117,0,585,410465,10,3497,67,5704,124484256,1172,1,66,4161,811379,2,190372,585,4901005,14493571,538903222,585,1981,2,1,2,2,646,1,536519068,490328766,36505786,37519682,37519682,2,1,1650866008,73389,73389,2,2,2,37519682,15,1,3,196979,10911743,1135122,15104,4095,536519068,395361,3764549,12387
10049.58,3,262144,64,31775,2093869100,64,46,118,0,585,508611,10,5319,67,5704,124749708,1172,1,66,5115,993103,2,190372,585,7307810,19384148,664517023,585,1981,2,1,2,2,646,1,661561756,615400681,62481302,47240539,47240539,2,1,2078583716,73389,73389,2,2,2,47240539,15,1,3,202883,13480718,1265322,25811,5049,661561756,482800,6041777,12387
15073.02,3,262144,64,37134,2446934688,64,46,119,0,585,596823,10,6839,67,5704,124749708,1172,1,66,5901,1153205,2,190372,585,9340554,24654014,768022993,585,1981,2,1,2,2,646,1,764584348,718558754,92021669,55269970,55269970,2,1,2431878680,73389,73389,2,2,2,55269970,15,1,3,209424,16274705,1355152,44405,5835,764584348,552418,7985259,12387
20085.50,3,262144,64,42610,2807667988,64,46,119,0,585,680765,10,8331,67,5704,124749708,1172,1,66,6705,1326236,2,190372,585,10967888,29965022,873894415,585,1981,2,1,2,2,646,1,869966236,824027791,140652712,63455049,63471433,2,1,2792022156,73389,73389,2,2,2,63455049,15,1,3,214282,19183859,1442909,54977,6639,869966236,625788,9525045,12387
25104.60,3,262144,64,48311,3183412340,64,46,120,0,585,759826,10,9939,67,5704,125015160,1172,1,66,7544,1597188,2,190372,585,12957247,34921863,984376353,585,1981,2,1,2,2,646,1,979935644,933917165,204130112,72006609,72006609,2,1,3168290796,73389,73389,2,2,2,72006609,15,1,3,220155,21947249,1537240,58913,7478,979935644,700913,11420066,12387
30127.48,3,262144,64,54355,3581900992,64,46,121,0,585,844372,10,11643,67,5704,125280612,1172,1,66,8433,1747266,2,190372,585,15022406,39954514,1101441216,585,1981,2,1,2,2,646,1,1096458652,1050433446,256718541,81047530,81063914,2,1,3566091320,73389,73389,2,2,2,81047530,15,1,3,228935,24547334,1649019,63160,8367,1096458652,781212,13373915,12387
35133.82,3,262144,64,84738,5583711426,64,46,127,1,585,1134323,10,20205,67,5704,125811516,1172,1,66,12896,1773994,2,190372,585,22443265,43192048,1688543628,585,1981,2,1,2,2,646,1,1681301916,1635560580,359818701,126549650,126566034,2,1,5568184600,73389,73389,2,2,2,126549650,15,1,3,255467,26044724,1871975,82031,12830,1681301916,1052292,20571934,12387
40143.10,3,262144,64,110873,7306026926,64,46,131,1,585,1384413,10,27609,67,5704,126837126,1172,1,66,16737,1818021,2,190372,585,28534590,45770062,2194100126,585,1981,2,1,2,2,646,1,2184880540,2139038291,391946961,165703414,165719798,2,1,7290950216,73389,73389,2,2,2,165703414,15,1,3,275062,27665262,2083055,92842,16671,2184880540,1291571,26451337,12387
45148.53,3,262144,64,135140,8904883502,64,46,135,1,585,1620390,10,34391,67,5704,127368030,1172,1,66,20300,1859586,2,190372,585,34597778,49229933,2662949356,585,1981,2,1,2,2,646,1,2651890076,2606435628,495720713,202023190,202039574,2,1,8889020360,73389,73389,2,2,2,202023190,15,1,3,298294,29341795,2286996,100342,20234,2651890076,1520048,32309901,12387
50153.38,3,262144,64,186044,12259244234,64,46,143,1,585,2060871,10,48765,67,5704,128683224,1172,1,66,27779,1860175,2,190372,585,44478558,49231406,3646937209,585,1981,2,1,2,2,646,1,3632177564,3586908832,518011946,278264619,278281003,2,1,12243643236,73389,73389,2,2,2,278264619,15,1,3,315716,30167590,2457568,109390,27713,3632177564,1951481,42020296,12387
55170.56,3,262144,64,202847,13366551038,64,46,146,1,585,2244417,10,53511,67,5704,129214128,1172,1,66,30248,1896826,2,190372,585,50337874,53296200,3971876452,585,1981,2,1,2,2,646,1,3955794332,3910633235,609214674,303438130,303438130,2,1,13350556824,73389,73389,2,2,2,303421746,15,1,3,329617,32088583,2684351,116792,30182,3955794332,2127625,47652993,12387
60182.42,3,262144,64,229428,15118119726,64,46,151,1,585,2493108,10,61035,67,5704,130010484,1172,1,66,34151,1935180,2,190372,585,56732886,56722955,4485464992,585,1981,2,1,2,2,646,1,4467368348,4422703025,690874837,343247254,343247254,2,1,15102879176,73389,73389,2,2,2,343247254,15,1,3,352738,33723713,2918007,124947,34085,4467368348,2368161,53814819,12387
65193.82,3,262144,64,242046,15949372602,64,46,153,1,585,2650003,10,64587,67,5704,130275936,1172,1,66,36006,2004283,2,190372,585,60674429,61131182,4729635083,585,1981,2,1,2,2,646,1,4710506908,4665681461,723665633,362128038,362144422,2,1,15933633672,73389,73389,2,2,2,362128038,15,1,3,359997,35844123,3103787,132838,35940,4710506908,2517165,57570426,12387
70208.28,3,262144,64,254269,16754931814,64,46,155,2,585,2804343,10,68031,67,5704,130541388,1172,1,66,37803,2058762,2,190372,585,65385561,65831420,4966171577,585,1981,2,1,2,2,646,1,4946043292,4901098390,827759431,380441415,380457799,2,1,16739422260,73389,73389,2,2,2,380441415,15,1,3,375595,38065675,3301995,139597,37737,4946043292,2664746,62083736,12387
75225.51,3,262144,64,289686,19088496570,64,46,161,2,585,3123300,10,78021,67,5704,131337744,1172,1,66,43006,2110968,2,190372,585,73957776,68164703,5650792094,585,1981,2,1,2,2,646,1,5628010908,5583334061,870173364,433481446,433497830,2,1,19073183624,73389,73389,2,2,2,433481446,15,1,3,401816,39435101,3527112,150431,42940,5628010908,2972869,70431095,12387
80247.90,3,262144,64,297687,19615770078,64,46,162,2,585,3228502,10,80258,67,5704,131603196,1172,1,66,44180,2257612,2,190372,585,76741400,72919992,5805486830,585,1981,2,1,2,2,646,1,5782020508,5737493583,907315104,445475361,445475361,2,1,19600915884,73389,73389,2,2,2,445475361,15,1,3,410496,41937707,3667453,155546,44115,5782020508,3072956,73074221,12387
85275.19,3,262144,64,303800,20018515262,64,46,163,2,585,3313408,10,81978,67,5704,131603196,1172,1,66,45079,2410862,2,190372,585,79040414,77516811,5923736292,585,1981,2,1,2,2,646,1,5899723164,5855301548,939578329,454624937,454624937,2,1,20002776332,73389,73389,2,2,2,454608553,15,1,3,414916,44639802,3782510,159858,45013,5899723164,3153550,75257171,12387
90293.60,3,262144,64,309711,20408022174,64,46,164,2,585,3393688,10,83646,67,5704,131868648,1172,1,66,45946,2571651,2,190372,585,80794861,82139534,6037897710,585,1981,2,1,2,2,646,1,6013362588,5969076223,979001473,463471409,463487793,2,1,20392741996,73389,73389,2,2,2,463471409,15,1,3,420898,47216748,3880191,163703,45880,6013362588,3229985,76914934,12387
95302.77,3,262144,64,319166,21030850478,64,46,166,2,585,3516573,10,86334,67,5704,132134100,1172,1,66,47335,2659732,2,190372,585,84794070,87396557,6220749222,585,1981,2,1,2,2,646,1,6195421596,6151214609,1065941425,477625853,477642237,2,1,21015537532,73389,73389,2,2,2,477625853,15,1,3,430714,49624806,4037081,170230,47269,6195421596,3346343,80757096,12387
100323.87,3,262144,64,329413,21706114198,64,46,168,2,585,3655811,10,89206,67,5704,132399552,1172,1,66,48841,2716794,2,190372,585,88330345,92041515,6419126059,585,1981,2,1,2,2,646,1,6392947100,6348579819,1109001936,492980203,492980203,2,1,21691128932,73389,73389,2,2,2,492980203,15,1,3,437044,51948301,4188488,186320,48776,6392947100,3469491,84141553,12387
105345.00,3,262144,64,339570,22375479678,64,46,169,2,585,3788027,10,92062,67,5704,132665004,1172,1,66,50330,2827931,2,190372,585,92438431,97490249,6615007880,585,1981,2,1,2,2,646,1,6587982236,6544182168,1213402669,508187097,508203481,2,1,22360232268,73389,73389,2,2,2,508187097,15,1,3,447276,54424306,4357287,192561,50264,6587982236,3595466,88081213,12387
110355.61,3,262144,64,353325,23281705494,64,46,172,2,585,3946594,10,95951,67,5704,132930456,1172,1,66,52352,2881158,2,190372,585,96752078,102473634,6881142719,585,1981,2,1,2,2,646,1,6853009820,6809100664,1255993970,528792075,528792075,2,1,23266130404,73389,73389,2,2,2,528775691,15,1,3,459525,56562453,4536935,199234,52286,6853009820,3747360,92214701,12387
115387.76,3,262144,64,362763,23903685138,64,46,173,2,585,4075694,10,98607,67,5704,133195908,1172,1,66,53738,2975497,2,190372,585,99684631,107037493,7063466419,585,1981,2,1,2,2,646,1,7034544540,6990969222,1458607067,542911592,542927976,2,1,23888110048,73389,73389,2,2,2,542911592,15,1,3,468916,58928267,4680744,209574,53672,7034544540,3866120,95003622,12387
120401.35,3,262144,64,370616,24421259318,64,46,174,2,585,4181565,10,100803,67,5704,133461360,1172,1,66,54894,3101134,2,190372,585,102938495,112165837,7215793413,585,1981,2,1,2,2,646,1,7186194844,7142282004,1499572151,554684323,554684323,2,1,24405389316,73389,73389,2,2,2,554667939,15,1,3,481903,61492484,4840821,214428,54828,7186194844,3967137,98099400,12387
125421.18,3,262144,64,378039,24910399632,64,46,176,2,585,4278965,10,102927,67,5704,133726812,1172,1,66,55981,3255828,2,190372,585,105242184,116952110,7359037632,585,1981,2,1,2,2,646,1,7328801180,7285233660,1531943205,565795661,565812045,2,1,24895009084,73389,73389,2,2,2,565795661,15,1,3,489203,64197449,4969467,218809,55916,7328801180,4060156,100271890,12387
