timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5047.83,2,262144,64,25118,1655206880,64,46,117,585,417551,4,3420,67,1336,124484256,1172,1,66,4137,928561,2,83404,585,5194341,16307168,535763745,585,828,4,1,2,1,2,2,692,1,533373340,487116370,33762358,37273922,37273922,2,1,1639331672,73389,73389,2,2,2,37257538,9,3,237852,12024736,1237475,29076,4071,533373340,388475,3955831,9610
10076.94,2,262144,64,29648,1953677672,64,46,117,585,479782,4,4686,67,1336,124484256,1172,1,66,4803,1186456,2,83404,585,6467264,21577426,623474898,585,828,4,1,2,1,2,2,692,1,620667292,574378749,55326471,44043944,44060328,2,1,1937933536,73389,73389,2,2,2,44043944,9,3,246103,15045283,1327605,32549,4737,620667292,447233,5138408,9610
15090.00,2,262144,64,33119,2182480388,64,46,118,585,581308,4,5688,67,1336,124749708,1172,1,66,5312,1535638,2,83404,585,7486615,26425597,690515778,585,828,4,1,2,1,2,2,692,1,687382940,641298596,91848715,49251453,49267837,2,1,2167063932,73389,73389,2,2,2,49251453,9,3,254806,18472415,1387826,87799,5246,687382940,493509,6097390,9610
20116.95,2,262144,64,37349,2461024928,64,46,119,585,639764,4,6895,67,1336,124749708,1172,1,66,5933,1871659,2,83404,585,8740781,31583852,772438904,585,828,4,1,2,1,2,2,692,1,768909724,722656122,109999996,55581266,55597650,2,1,2445575704,73389,73389,2,2,2,55581266,9,3,260830,21526603,1449892,90782,5868,768909724,548982,7289832,9610
25147.73,2,262144,64,41568,2739114024,64,46,119,585,698155,4,8046,67,1336,124749708,1172,1,66,6554,2157560,2,83404,585,10587992,37110571,854096321,585,828,4,1,2,1,2,2,692,1,850174364,804008029,149240387,61908920,61908920,2,1,2723992480,73389,73389,2,2,2,61908920,9,3,265982,24620181,1524246,93801,6488,850174364,604354,9062529,9610
30180.89,2,262144,64,46185,3043286448,64,46,120,585,767700,4,9360,67,1336,125015160,1172,1,66,7230,2496166,2,83404,585,12535568,42596252,943122758,585,828,4,1,2,1,2,2,692,1,938779036,892927830,198577289,68810014,68826398,2,1,3027640616,73389,73389,2,2,2,68810014,9,3,269874,28030372,1604235,102343,7164,938779036,665357,10930354,9610
35194.75,2,262144,64,49987,3294047032,64,46,121,585,820230,4,10452,67,1336,125280612,1172,1,66,7791,2900803,2,83404,585,13957187,47817939,1017138261,585,828,4,1,2,1,2,2,692,1,1012441500,966288104,265496250,74506884,74523268,2,1,3278302896,73389,73389,2,2,2,74506884,9,3,272941,31468173,1666557,105230,7726,1012441500,715000,12289991,9610
40206.20,2,262144,64,54901,3617695714,64,46,122,585,888196,4,11810,67,1336,125280612,1172,1,66,8512,3117257,2,83404,585,15347279,52570818,1111955532,585,828,4,1,2,1,2,2,692,1,1106813340,1060906945,387557841,81874922,81891306,2,1,3602496568,73389,73389,2,2,2,81874922,9,3,275085,34514498,1739658,109462,8446,1106813340,778734,13606654,9610
45230.93,2,262144,64,61281,4038204462,64,46,123,585,979011,4,13643,67,1336,125546064,1172,1,66,9448,3235418,2,83404,585,17557008,57707877,1235201712,585,828,4,1,2,1,2,2,692,1,1229496732,1183820529,448766426,91431939,91431939,2,1,4023005316,73389,73389,2,2,2,91431939,9,3,278103,36983583,1838563,119948,9382,1229496732,859063,15718440,9610
50237.01,2,262144,64,69419,4574190950,64,46,124,585,1091852,4,15909,67,1336,125546064,1172,1,66,10645,3356221,2,83404,585,19806495,62317376,1392788575,585,828,4,1,2,1,2,2,692,1,1386389916,1340544740,515702165,103608237,103608237,2,1,4558041532,73389,73389,2,2,2,103591853,9,3,282817,39483259,1956167,132309,10579,1386389916,959543,17850274,9610
55242.16,2,262144,64,112368,7404534150,64,46,131,585,1432927,4,28012,67,1336,126837126,1172,1,66,16953,3357271,2,83404,585,30655316,62976953,2222722768,585,828,4,1,2,1,2,2,692,1,2213192092,2167789684,564744840,167943704,167943704,2,1,7388802080,73389,73389,2,2,2,167927320,9,3,306758,40207170,2166548,141924,16887,2213192092,1291003,28488990,9610
60246.95,2,262144,64,162300,10694662986,64,46,140,585,1838800,4,42074,67,1336,128152320,1172,1,66,24292,3357935,2,83404,585,41925902,63088664,3188285915,585,828,4,1,2,1,2,2,692,1,3175129500,3129586035,599498477,242706699,242723083,2,1,10679094756,73389,73389,2,2,2,242706699,9,3,333636,40996626,2392823,151654,24226,3175129500,1687146,39533517,9610
65252.04,2,262144,64,211312,13924233250,64,46,148,585,2229379,4,55884,67,1336,129479580,1172,1,66,31488,3358920,2,83404,585,52630923,63090172,4135054242,585,828,4,1,2,1,2,2,692,1,4118323612,4073645265,628589997,316111981,316128365,2,1,13908927164,73389,73389,2,2,2,316111981,9,3,348858,41763148,2540835,161603,31422,4118323612,2067776,50090679,9610
70257.18,2,262144,64,263752,17379595126,64,46,157,585,2651931,4,70671,67,1336,130541388,1172,1,66,39195,3360020,2,83404,585,63627022,63091246,5149039182,585,828,4,1,2,1,2,2,692,1,5128495516,5083746492,657348764,394628627,394645011,2,1,17363659588,73389,73389,2,2,2,394628627,9,3,374218,42584413,2706627,171708,39129,5128495516,2480223,60921256,9610
75262.41,2,262144,64,321064,21156034162,64,46,166,585,3117116,4,86850,67,1336,132134100,1172,1,66,47613,3361041,2,83404,585,74249310,63096312,6256546636,585,828,4,1,2,1,2,2,692,1,6231859612,6187804944,683254823,480478384,480478384,2,1,21140328000,73389,73389,2,2,2,480462000,9,3,400497,43475186,2943188,182303,47547,6231859612,2934813,71306658,9610
80266.85,2,262144,64,380294,25058979668,64,46,176,585,3590853,4,103554,67,1336,133726812,1172,1,66,56312,3361434,2,83404,585,84950840,63102680,7400921801,585,828,4,1,2,1,2,2,692,1,7371923868,7328654226,708134299,569172480,569188864,2,1,25043589120,73389,73389,2,2,2,569172480,9,3,425641,44352111,3156125,192175,56246,7371923868,3398678,81794818,9610
