timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5014.39,262144,64,58630,3863406718,64,45,122,0,585,636914,3,12866,67,94,125280612,1172,1,66,9059,106977,2,2427,585,11708164,2306258,1183084231,585,843,2,1,2,2,338,1,1178509724,1132708524,36130179,87459263,87459263,2,1,3848207572,73389,73389,2,2,2,87459263,4,3,366955,2607588,1626522,14878,8993,1178509724,622036,10082251,3680
10037.08,262144,64,68247,4497117306,64,45,124,0,585,759406,3,15597,67,94,125546064,1172,1,66,10472,168241,2,2427,585,14494745,6604654,1369226749,585,843,2,1,2,2,338,1,1363845532,1317971163,55673853,101849116,101865500,2,1,4481361104,73389,73389,2,2,2,101849116,4,3,371428,4841222,1776227,20546,10407,1363845532,738860,12719423,3680
15056.68,262144,64,76731,5056310154,64,45,125,0,585,868340,3,17964,67,94,125811516,1172,1,66,11718,278563,2,2427,585,17098296,11192390,1533134369,585,843,2,1,2,2,338,1,1527030172,1481435413,123481496,114553576,114569960,2,1,5040357344,73389,73389,2,2,2,114553576,4,3,382764,7192028,1917359,25808,11652,1527030172,842532,15181931,3680
20061.57,262144,64,112324,7401650566,64,45,131,0,585,1180117,3,27972,67,94,126837126,1172,1,66,16946,300441,2,2427,585,24845729,13204059,2221011460,585,843,2,1,2,2,338,1,2212274588,2166944737,186322844,167878168,167878168,2,1,7385918496,73389,73389,2,2,2,167861784,4,3,415685,8438444,2127637,34845,16880,2212274588,1145272,22719116,3680
25066.46,262144,64,156889,10338189526,64,45,139,0,585,1555103,3,40584,67,94,128152320,1172,1,66,23496,309171,2,2427,585,35660759,13574045,3082788011,585,843,2,1,2,2,338,1,3070796188,3025363270,240358010,234611732,234628116,2,1,10322916208,73389,73389,2,2,2,234611732,4,3,447418,9260358,2351080,44071,23430,3070796188,1511032,33310458,3680
30071.94,262144,64,201628,13286131750,64,45,146,0,585,1924153,3,53175,67,94,129214128,1172,1,66,30067,311253,2,2427,585,46537419,13926053,3947326124,585,843,2,1,2,2,338,1,3932070300,3887108095,294239740,301607440,301623824,2,1,13270727360,73389,73389,2,2,2,301607440,4,3,464931,10053616,2541504,53472,30001,3932070300,1870681,43996947,3680
35089.22,262144,64,238294,15702154270,64,45,152,0,585,2223728,3,63510,67,94,130010484,1172,1,66,35454,337723,2,2427,585,55911106,15168294,4656123255,585,843,2,1,2,2,338,1,4638155164,4593479233,335352251,356510929,356527313,2,1,15686480876,73389,73389,2,2,2,356510929,4,3,484199,11198723,2759639,61992,35388,4638155164,2161736,53151801,3680
40114.45,262144,64,244895,16137146474,64,45,153,0,585,2327503,3,65364,67,94,130275936,1172,1,66,36424,478296,2,2427,585,58076311,19557571,4783974097,585,843,2,1,2,2,338,1,4765426076,4720552945,427597240,366395626,366412010,2,1,16121407544,73389,73389,2,2,2,366395626,4,3,489959,13702276,2851753,82068,36359,4765426076,2245435,55224044,3680
45136.93,262144,64,250800,16526260170,64,45,154,0,585,2407620,3,67029,67,94,130275936,1172,1,66,37291,704602,2,2427,585,59794226,24384126,4898012364,585,843,2,1,2,2,338,1,4878934428,4834380057,501447270,375233906,375250290,2,1,16510291864,73389,73389,2,2,2,375233906,4,3,497519,16450543,2946384,86004,37226,4878934428,2321616,56847056,3680
50164.89,262144,64,255825,16857436734,64,45,155,0,585,2481572,3,68454,67,94,130541388,1172,1,66,38029,852942,2,2427,585,61576443,29480008,4995333910,585,843,2,1,2,2,338,1,4975796636,4931149804,568361773,382763625,382780009,2,1,16841599500,73389,73389,2,2,2,382763625,4,3,502726,19453265,3017112,92443,37964,4975796636,2389129,58558907,3680
55191.80,262144,64,261559,17235078322,64,45,156,0,585,2559891,3,70074,67,94,130541388,1172,1,66,38872,978099,2,2427,585,63599711,34796050,5106079695,585,843,2,1,2,2,338,1,5086028188,5041473446,638555457,391350112,391366496,2,1,17219404928,73389,73389,2,2,2,391350112,4,3,506454,22041620,3116353,96211,38806,5086028188,2463680,60482284,3680
60206.70,262144,64,268261,17676689662,64,45,157,0,585,2656134,3,71955,67,94,130806840,1172,1,66,39857,1056312,2,2427,585,66216491,40230619,5235907975,585,843,2,1,2,2,338,1,5215265180,5170610408,707593501,401382265,401398649,2,1,17660819660,73389,73389,2,2,2,401382265,4,3,510783,24716191,3210453,106853,39791,5215265180,2549281,63004324,3680
65249.56,262144,64,274282,18073405534,64,45,158,1,585,2740329,3,73656,67,94,130806840,1172,1,66,40741,1274893,2,2427,585,68264282,44941764,5352440474,585,843,2,1,2,2,338,1,5331263900,5286526685,752582084,410417153,410433537,2,1,18058354732,73389,73389,2,2,2,410417153,4,3,512328,27149506,3283895,117576,40676,5331263900,2622753,64978258,3680
70273.05,262144,64,280338,18472415166,64,45,159,1,585,2821653,3,75358,67,94,131072292,1172,1,66,41632,1390154,2,2427,585,70390899,50240358,5469632281,585,843,2,1,2,2,338,1,5447917980,5403236681,872286991,419476617,419493001,2,1,18456971148,73389,73389,2,2,2,419476617,4,3,526059,30009590,3406255,121307,41566,5447917980,2700346,66982751,3680
75299.12,262144,64,286786,18897380362,64,45,160,1,585,2905842,3,77175,67,94,131337744,1172,1,66,42579,1564250,2,2427,585,72298056,54957507,5594460842,585,843,2,1,2,2,338,1,5572174236,5527450542,912272661,429140130,429156514,2,1,18882165720,73389,73389,2,2,2,429140130,4,3,531736,32413912,3511290,125544,42514,5572174236,2780298,68784934,3680
80305.01,262144,64,301336,19855972750,64,45,163,1,585,3051936,3,81286,67,94,131603196,1172,1,66,44715,1676651,2,2427,585,77420165,59414690,5875446869,585,843,2,1,2,2,338,1,5852012956,5807794828,1006668557,450930789,450930789,2,1,19840233820,73389,73389,2,2,2,450914405,4,3,550749,34457637,3683313,131317,44649,5852012956,2920619,73733996,3680
85310.94,262144,64,346287,22818074058,64,45,170,1,585,3406364,3,93951,67,94,132665004,1172,1,66,51318,1678640,2,2427,585,87662009,59637527,6744193584,585,843,2,1,2,2,338,1,6717481372,6673571742,1041765060,518243826,518260210,2,1,22802728344,73389,73389,2,2,2,518243826,4,3,572863,35252110,3900427,142123,51252,6717481372,3264241,83758198,3680
90317.03,262144,64,388183,25578647692,64,45,177,1,585,3734681,3,105759,67,94,133726812,1172,1,66,57473,1680406,2,2427,585,98452756,59807080,7554018583,585,843,2,1,2,2,338,1,7524229532,7480617301,1068620688,580988330,580988330,2,1,25562765624,73389,73389,2,2,2,580971946,4,3,592072,35983497,4120925,152248,57407,7524229532,3582433,94328218,3680
