timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5008.72,262144,64,70641,4654806846,64,49,124,0,585,708036,5,16248,67,132,125546064,1172,1,66,10824,46967,2,2537,585,12434736,874697,1415255418,585,280,2,1,2,1,2,2,264,1,1409851804,1364135910,26710555,105438927,105438927,2,1,4638591892,73389,73389,2,2,2,105422543,4,3,357069,1952040,1687853,14566,10758,1409851804,693470,10746473,3370
10017.82,262144,64,93275,6146353550,64,49,128,0,585,947698,5,22643,67,132,126318288,1172,1,66,14150,85209,2,2537,585,17814378,3687944,1852926100,585,280,2,1,2,1,2,2,264,1,1845797276,1800052211,53726627,139344222,139344222,2,1,6131145768,73389,73389,2,2,2,139344222,4,3,372344,3648658,1882943,26054,14084,1845797276,921644,15931649,3370
15026.10,262144,64,101107,6662551474,64,49,129,0,585,1054191,5,24833,67,132,126571674,1172,1,66,15299,216312,2,2537,585,20493365,8259279,2004204402,585,280,2,1,2,1,2,2,264,1,1996399004,1950944963,106901978,151075993,151075993,2,1,6647343692,73389,73389,2,2,2,151075993,4,3,391143,6145706,2045972,31425,15233,1996399004,1022766,18447133,3370
20036.79,262144,64,120036,7909984170,64,49,132,0,585,1286349,5,30161,67,132,127102578,1172,1,66,18082,270505,2,2537,585,25287406,11980617,2370452209,585,280,2,1,2,1,2,2,264,1,2361172380,2315598270,175943375,179429715,179446099,2,1,7894907460,73389,73389,2,2,2,179429715,4,3,406938,7961239,2296691,43647,18016,2361172380,1242702,22991288,3370
25055.32,262144,64,129850,8556605350,64,49,134,0,585,1424868,5,32946,67,132,127368030,1172,1,66,19522,351007,2,2537,585,29375403,17133875,2560145008,585,280,2,1,2,1,2,2,264,1,2550047132,2504589680,256482092,194114480,194130864,2,1,8541037120,73389,73389,2,2,2,194114480,4,3,417735,10279554,2489466,50139,19457,2550047132,1374729,26887055,3370
30069.58,262144,64,136602,9001228038,64,49,135,1,585,1529425,5,34842,67,132,127368030,1172,1,66,20514,528126,2,2537,585,31803991,21611131,2690759252,585,280,2,1,2,1,2,2,264,1,2680070556,2634611944,302127962,204214328,204230712,2,1,8985430432,73389,73389,2,2,2,204214328,4,3,423386,12962239,2613713,61466,20449,2680070556,1467959,29192355,3370
35081.06,262144,64,144418,9516401518,64,49,137,2,585,1638895,5,37072,67,132,127645548,1172,1,66,21665,614351,2,2537,585,34365291,25947304,2842171406,585,280,2,1,2,1,2,2,264,1,2830803356,2785213346,382239482,215937907,215960324,2,1,9501267908,73389,73389,2,2,2,215937907,4,3,431319,15284683,2739122,66583,21599,2830803356,1572312,31626569,3370
40095.15,262144,64,150858,9940818294,64,49,138,2,585,1731312,5,38893,67,132,127886868,1172,1,66,22610,713766,2,2537,585,37144954,30877730,2966602686,585,280,2,1,2,1,2,2,264,1,2954666396,2909250839,429986551,225568652,225585036,2,1,9925020688,73389,73389,2,2,2,225568652,4,3,440956,17811288,2872632,71206,22544,2954666396,1660106,34272923,3370
45108.01,262144,64,158876,10469205914,64,49,139,2,585,1846244,5,41136,67,132,128152320,1172,1,66,23789,820683,2,2537,585,40006846,35877728,3121957066,585,280,2,1,2,1,2,2,264,1,3109331356,3063661712,518335409,237578951,237595335,2,1,10453473844,73389,73389,2,2,2,237578951,4,3,451695,20185643,3052068,76996,23724,3109331356,1769248,36956059,3370
50116.79,262144,64,166730,10986580178,64,49,140,2,585,1966884,5,43333,67,132,128152320,1172,1,66,24940,1002383,2,2537,585,42340044,40483495,3273361547,585,280,2,1,2,1,2,2,264,1,3260064156,3214957697,562543532,249345649,249362033,2,1,10971208556,73389,73389,2,2,2,249345649,4,3,457415,22615250,3177883,92768,24874,3260064156,1874116,39163692,3370
55126.77,262144,64,178371,11753466534,64,49,142,2,585,2118923,5,46617,67,132,128417772,1172,1,66,26651,1085356,2,2537,585,46301658,45169787,3498580210,585,280,2,1,2,1,2,2,264,1,3484328348,3439113000,614503606,266778608,266778608,2,1,11737537856,73389,73389,2,2,2,266762224,4,3,472605,24901125,3385829,99921,26585,3484328348,2019002,42917748,3370
60136.37,262144,64,191184,12597957438,64,49,144,2,585,2275760,5,50223,67,132,128948676,1172,1,66,28536,1170849,2,2537,585,50371122,50043628,3746693608,585,280,2,1,2,1,2,2,264,1,3731399068,3685898014,664767376,285966370,285982754,2,1,12582520280,73389,73389,2,2,2,285966370,4,3,484334,26854509,3581733,108210,28470,3731399068,2167550,46791489,3370
