timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5022.68,262144,64,31470,2073880620,64,51,118,1,585,466272,3,5236,67,169,124749708,1172,1,66,5070,183883,2,2132,585,6314906,5503853,658313432,585,278,2,1,2,2,352,1,655663516,609561312,27509234,46781787,46798171,2,1,2058398628,73389,73389,2,2,2,46781787,6,3,311713,3855358,1355469,16029,5004,655663516,450243,4959627,3758
10075.40,262144,64,38756,2553764984,64,51,119,1,585,568064,3,7281,67,169,124749708,1172,1,66,6139,360675,2,2132,585,8418350,9862894,799066877,585,278,2,1,2,2,352,1,795779484,749745910,54994337,57690484,57706868,2,1,2538381296,73389,73389,2,2,2,57690484,6,3,318995,6208264,1489337,21010,6073,795779484,547054,6929975,3758
15101.69,262144,64,43944,2895623916,64,51,120,1,585,644740,3,8748,67,169,125015160,1172,1,66,6901,677398,2,2132,585,10360019,14468481,899413289,585,278,2,1,2,2,352,1,895656348,849761395,83010255,65465963,65465963,2,1,2879781476,73389,73389,2,2,2,65449579,6,3,321762,9132329,1576554,24749,6835,895656348,619991,8784102,3758
20154.42,262144,64,48652,3206025568,64,51,120,1,585,713814,3,10034,67,169,125015160,1172,1,66,7595,913628,2,2132,585,11586200,19030849,990811457,585,278,2,1,2,2,352,1,986620316,940505462,98537434,72520546,72520546,2,1,3190904024,73389,73389,2,2,2,72520546,6,3,322331,11948109,1631741,28289,7529,986620316,685525,9954763,3758
25180.31,262144,64,53335,3514523368,64,51,121,1,585,780405,3,11364,67,169,125280612,1172,1,66,8282,1253493,2,2132,585,13158260,23953903,1081287050,585,278,2,1,2,2,352,1,1076666780,1030774747,151180048,79511752,79528136,2,1,3498517088,73389,73389,2,2,2,79511752,6,3,324472,14751818,1708605,32101,8216,1076666780,748304,11449860,3758
30189.93,262144,64,58257,3838696338,64,51,122,1,585,850506,3,12762,67,169,125280612,1172,1,66,9003,1537554,2,2132,585,15699710,29664561,1176232549,585,278,2,1,2,2,352,1,1171169692,1125506221,248831753,86896174,86896174,2,1,3822710760,73389,73389,2,2,2,86879790,6,3,330234,17946609,1829493,35670,8937,1171169692,814836,13869947,3758
35218.90,262144,64,63328,4173153010,64,51,123,1,585,924299,3,14201,67,169,125546064,1172,1,66,9750,1673884,2,2132,585,17884799,35434805,1274603934,585,278,2,1,2,2,352,1,1269080476,1223283862,317096508,94497462,94497462,2,1,4157888328,73389,73389,2,2,2,94497462,6,3,335704,20777779,1910208,39310,9684,1269080476,884989,15974472,3758
40248.14,262144,64,68656,4523921530,64,51,124,1,585,998902,3,15708,67,169,125546064,1172,1,66,10531,1944588,2,2132,585,19665182,40642608,1377581083,585,278,2,1,2,2,352,1,1371578780,1325852503,379704357,102455324,102471708,2,1,4508034256,73389,73389,2,2,2,102455324,6,3,339174,23968544,1980850,43192,10466,1371578780,955710,17684018,3758
45253.64,262144,64,85734,5649250734,64,51,127,1,585,1172369,3,20485,67,169,126076968,1172,1,66,13041,2117135,2,2132,585,24187106,45246987,1707761728,585,278,2,1,2,2,352,1,1700438428,1654765794,466745977,128046627,128046627,2,1,5634051588,73389,73389,2,2,2,128046627,6,3,349534,26110000,2116485,49579,12975,1700438428,1122790,22070509,3758
50268.68,262144,64,109229,7197754838,64,51,131,1,585,1396867,3,27159,67,169,126837126,1172,1,66,16493,2181298,2,2132,585,30096319,48422384,2162007745,585,278,2,1,2,2,352,1,2152898972,2107344470,550564963,163233748,163250132,2,1,7182284912,73389,73389,2,2,2,163233748,6,3,364167,27856412,2312559,57396,16427,2152898972,1339471,27783911,3758
