timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5084.79,4,262144,64,24799,1634300896,64,44,116,0,585,498103,6,3309,47,67,1,57637,124484256,1172,1,66,4090,1442584,2,160972,585,4644216,20039636,529732860,585,1124,2,1,2,2,727,1,527344028,480993901,36402054,36790594,36806978,2,1,1618786136,73389,73389,2,2,2,36790594,16,3,153040,16072246,1037695,16418,4025,527344028,481685,3607855,6933
10110.88,4,262144,64,31488,2075060268,64,44,118,0,585,592042,6,5241,47,67,1,57637,124749708,1172,1,66,5074,1603877,2,160972,585,6921101,24800450,659161378,585,1124,2,1,2,2,727,1,656187804,609887079,61480393,46814555,46814555,2,1,2059119524,73389,73389,2,2,2,46798171,16,3,161058,18635247,1148635,22387,5008,656187804,569655,5773777,6933
15151.48,4,262144,64,39101,2576374904,64,44,119,0,585,695225,6,7374,47,67,1,57637,124749708,1172,1,66,6191,1818425,2,160972,585,9682939,29695109,806223611,585,1124,2,1,2,2,727,1,802595228,756437947,102705261,58198388,58214772,2,1,2560729072,73389,73389,2,2,2,58198388,16,3,169191,21127851,1280659,27853,6125,802595228,667372,8402738,6933
20157.67,4,262144,64,71701,4724540458,64,44,124,1,585,964684,6,16517,47,67,1,57637,125546064,1172,1,66,10980,1844916,2,160972,585,17409082,31696063,1436346970,585,1124,2,1,2,2,727,1,1430299036,1384454514,183222248,107017824,107034208,2,1,4708784256,73389,73389,2,2,2,107017824,16,3,189622,22500059,1479708,36439,10914,1430299036,928245,15929497,6933
25163.33,4,262144,64,115966,7641659938,64,44,132,1,585,1313087,6,29049,47,67,1,57637,127102578,1172,1,66,17483,1848766,2,160972,585,28197634,31901067,2291943115,585,1124,2,1,2,2,727,1,2282660252,2237137182,229269439,173331437,173331437,2,1,7625862332,73389,73389,2,2,2,173315053,16,3,201109,23279550,1666969,46501,17417,2282660252,1266586,26531218,6933
30181.10,4,262144,64,131687,8677525886,64,44,134,1,585,1481396,6,33447,47,67,1,57637,127368030,1172,1,66,19794,1927873,2,160972,585,33171465,35920547,2596077006,585,1124,2,1,2,2,727,1,2585567644,2539968230,308995078,196862674,196879058,2,1,8661957656,73389,73389,2,2,2,196862674,16,3,211137,25342574,1818228,56222,19728,2585567644,1425174,31353619,6933
35199.93,4,262144,64,137912,9087611102,64,44,135,1,585,1567587,6,35199,47,67,1,57637,127368030,1172,1,66,20708,2060683,2,160972,585,34964729,40613319,2716425974,585,1124,2,1,2,2,727,1,2705367452,2659837697,345151810,206192474,206192474,2,1,9072468856,73389,73389,2,2,2,206192474,16,3,217946,28137405,1929126,60254,20642,2705367452,1507333,33036427,6933
40243.88,4,262144,64,143970,9486751806,64,44,136,1,585,1655321,6,36906,47,67,1,57637,127621416,1172,1,66,21597,2222287,2,160972,585,36762534,45293569,2833618408,585,1124,2,1,2,2,727,1,2822021532,2776492665,401721005,215251938,215268322,2,1,9471085272,73389,73389,2,2,2,215251938,16,3,223270,30870666,2021056,67209,21532,2822021532,1588112,34742805,6933
45254.25,4,262144,64,152629,10057413454,64,44,138,1,585,1769832,6,39376,47,67,1,57637,127886868,1172,1,66,22872,2340777,2,160972,585,39906873,50336817,3001337941,585,1124,2,1,2,2,727,1,2989007260,2943374069,530769543,228218542,228234926,2,1,10041615848,73389,73389,2,2,2,228218542,16,3,235279,33247863,2198623,72953,22806,2989007260,1696879,37710446,6933
50265.39,4,262144,64,163092,10746832950,64,44,140,1,585,1904587,6,42342,47,67,1,57637,128152320,1172,1,66,24406,2436221,2,160972,585,44297147,55843754,3203399288,585,1124,2,1,2,2,727,1,3190202780,3144837520,581703642,243892380,243908764,2,1,10731264720,73389,73389,2,2,2,243892380,16,3,244095,35523115,2356063,80407,24341,3190202780,1824180,41943225,6933
