timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5017.36,262144,64,66952,4411717282,64,41,124,0,585,692975,4,15222,67,145,125546064,1172,1,66,10282,40733,2,18995,585,12062056,1898579,1343996201,585,341,2,1,2,2,427,1,1338810780,1293047935,26651188,99903738,99920122,2,1,4395764472,73389,73389,2,2,2,99903738,6,3,381342,2539745,1818099,16018,10216,1338810780,676957,10242916,3840
10030.62,262144,64,75947,5004399026,64,41,125,0,585,813668,4,17751,67,145,125811516,1172,1,66,11603,167700,2,18995,585,14832602,5958037,1518027116,585,341,2,1,2,2,427,1,1512087964,1466267016,60058292,113378246,113394630,2,1,4988642824,73389,73389,2,2,2,113378246,6,3,393287,4877356,1965183,22266,11538,1512087964,791402,12866805,3840
15041.49,262144,64,84184,5547139030,64,41,126,0,585,937685,4,20052,67,145,125811516,1172,1,66,12814,328047,2,18995,585,17302617,10108422,1677327544,585,341,2,1,2,2,427,1,1670685084,1624938142,81333989,125724417,125724417,2,1,5531874348,73389,73389,2,2,2,125724417,6,3,396777,7376654,2090330,34376,12748,1670685084,903309,15211834,3840
20045.68,262144,64,122864,8096116334,64,41,133,0,585,1274911,4,30933,67,145,127102578,1172,1,66,18497,337555,2,18995,585,25859330,12045287,2425059122,585,341,2,1,2,2,427,1,2415567260,2369938794,138304378,183650310,183666694,2,1,8080613640,73389,73389,2,2,2,183650310,6,3,417119,8587089,2313569,42493,18431,2415567260,1232418,23545515,3840
25059.69,262144,64,163483,10772457526,64,41,140,0,585,1612724,4,42449,67,145,128152320,1172,1,66,24465,352699,2,18995,585,34615111,13298605,3210277741,585,341,2,1,2,2,427,1,3197804956,3152391197,175285394,244482204,244482204,2,1,10757216976,73389,73389,2,2,2,244482204,6,3,435669,9729056,2484689,50763,24399,3197804956,1561961,32130916,3840
30064.02,262144,64,180175,11872489834,64,41,143,0,585,1815207,4,47111,67,145,128417772,1172,1,66,26919,420050,2,18995,585,39838225,17467664,3533249831,585,341,2,1,2,2,427,1,3519455644,3473897172,227312938,269483683,269483683,2,1,11856561156,73389,73389,2,2,2,269467299,6,3,445769,11594170,2719101,60131,26853,3519455644,1755076,37120127,3840
35068.45,262144,64,232166,15298353650,64,41,151,0,585,2236798,4,61782,67,145,130010484,1172,1,66,34552,420251,2,18995,585,50509800,17739776,4537503167,585,341,2,1,2,2,427,1,4519928220,4475373129,254430451,347344969,347344969,2,1,15282457740,73389,73389,2,2,2,347328585,6,3,489706,12380542,2919653,68549,34486,4519928220,2168249,47590763,3840
40074.50,262144,64,283495,18680639578,64,41,160,0,585,2642906,4,76278,67,145,131337744,1172,1,66,42095,420383,2,18995,585,60105202,17742408,5529935161,585,341,2,1,2,2,427,1,5508604316,5464140843,281033663,424217182,424233566,2,1,18665556008,73389,73389,2,2,2,424217182,6,3,516846,13142669,3105588,76553,42029,5508604316,2566353,57000067,3840
45087.98,262144,64,320326,21107403142,64,41,166,0,585,2979988,4,86649,67,145,132134100,1172,1,66,47506,434867,2,18995,585,68468519,19409734,6241897152,585,341,2,1,2,2,427,1,6217834908,6173564733,343546905,479374623,479374623,2,1,21091762516,73389,73389,2,2,2,479358239,6,3,540170,14309975,3344868,85739,47440,6217834908,2894249,65123682,3840
50104.61,262144,64,328845,21668889750,64,41,167,0,585,3097732,4,89028,67,145,132399552,1172,1,66,48759,536019,2,18995,585,71678915,24295983,6406858272,585,341,2,1,2,2,427,1,6382068124,6337653494,434392684,492136427,492136427,2,1,21654002788,73389,73389,2,2,2,492136427,6,3,549480,16690803,3510419,91527,48693,6382068124,3006205,68168220,3840
