timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5013.09,1,262144,64,52114,3434238460,64,44,121,0,585,616990,2,11033,67,44,125280612,1172,1,66,8102,125887,2,9528,585,10319149,3461244,1057196797,585,315,2,1,2,2,328,1,1053073820,1007266179,34937492,77703479,77703479,2,1,3418953076,73389,73389,2,2,2,77703479,4,3,364388,3132336,1721854,15756,8036,1053073820,601234,8593735,5956
10023.69,1,262144,64,59620,3928552810,64,44,122,0,585,718348,2,13134,67,44,125280612,1172,1,66,9205,276725,2,9528,585,12859354,8050080,1202553348,585,315,2,1,2,2,328,1,1197777308,1151770631,74068925,88923472,88939856,2,1,3912632768,73389,73389,2,2,2,88923472,4,3,374804,5629804,1860847,21111,9140,1197777308,697237,10994699,5956
15039.61,1,262144,64,65965,4346767798,64,44,123,0,585,807270,2,14919,67,44,125546064,1172,1,66,10137,463238,2,9528,585,15187913,12784444,1325142831,585,315,2,1,2,2,328,1,1319805340,1274038071,103384878,98431337,98447721,2,1,4330978828,73389,73389,2,2,2,98431337,4,3,382678,8068369,1967444,26378,10071,1319805340,780892,13216279,5956
20049.81,1,262144,64,75126,4950328518,64,44,125,0,585,930032,2,17528,67,44,125811516,1172,1,66,11484,631982,2,9528,585,18334306,17467026,1502469613,585,315,2,1,2,2,328,1,1496359324,1450454283,194885554,112159797,112159797,2,1,4935031068,73389,73389,2,2,2,112159797,4,3,399600,10419652,2121304,32574,11419,1496359324,897458,16209615,5956
25059.91,1,262144,64,101431,6683785138,64,44,129,0,585,1178441,2,24921,67,44,126571674,1172,1,66,15348,670022,2,9528,585,24478299,20520245,2010908782,585,315,2,1,2,2,328,1,2002821532,1957122812,242295277,151551129,151567513,2,1,6668249676,73389,73389,2,2,2,151551129,4,3,421629,12022762,2340484,40780,15282,2002821532,1137661,22134968,5956
30068.62,1,262144,64,113359,7469745778,64,44,131,0,585,1339016,2,28282,67,44,126837126,1172,1,66,17099,739611,2,9528,585,28741197,25307888,2241395516,585,315,2,1,2,2,328,1,2232328604,2186868220,302238529,169424297,169424297,2,1,7453948172,73389,73389,2,2,2,169407913,4,3,440692,14083958,2543391,56967,17033,2232328604,1282049,26195029,5956
35077.57,1,262144,64,121364,7997281430,64,44,133,0,585,1444927,2,30579,67,44,127102578,1172,1,66,18275,852057,2,9528,585,31502201,30239213,2396223299,585,315,2,1,2,2,328,1,2386469276,2341013382,392470784,181410020,181426404,2,1,7982040880,73389,73389,2,2,2,181410020,4,3,451613,16378717,2679416,61871,18209,2386469276,1383056,28819748,5956
40096.63,1,262144,64,128351,8457835982,64,44,134,1,585,1544396,2,32538,67,44,127368030,1172,1,66,19301,994880,2,9528,585,33799447,34881666,2531318872,585,315,2,1,2,2,328,1,2520949148,2475665208,423747952,191874190,191890574,2,1,8442464360,73389,73389,2,2,2,191874190,4,3,458514,18883861,2783698,68133,19235,2520949148,1476263,31011854,5956
45111.08,1,262144,64,133487,8796021590,64,44,135,1,585,1615520,2,33993,67,44,127368030,1172,1,66,20058,1267030,2,9528,585,35335838,39387585,2631008976,585,315,2,1,2,2,328,1,2620170652,2574598896,458807168,199553524,199569908,2,1,8780355056,73389,73389,2,2,2,199553524,4,3,461416,21764528,2867612,71574,19992,2620170652,1543946,32464363,5956
50199.91,1,262144,64,137702,9073848542,64,44,135,1,585,1672686,2,35140,67,44,127368030,1172,1,66,20675,1640913,2,9528,585,36989909,44672661,2712403609,585,315,2,1,2,2,328,1,2701173148,2655829952,482363875,205864794,205881178,2,1,9058050936,73389,73389,2,2,2,205864794,4,3,461991,25218670,2920495,74465,20610,2701173148,1598221,34065505,5956
