timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5045.28,6,262144,64,23186,1528060424,64,105,116,1,585,471407,7,2868,44,67,1,100434,124484256,1172,1,66,3852,1806858,2,412510,585,4304787,28729430,498439698,585,1407,2,1,2,2,750,1,496148892,449972202,40581291,34370080,34386464,2,1,1512283520,73389,73389,2,2,2,34370080,16,3,130908,23916392,857885,17276,3787,496148892,454131,3446779,11872
10090.83,6,262144,64,27646,1821678244,64,105,117,1,585,534281,7,4140,44,67,1,100434,124484256,1172,1,66,4509,2005203,2,412510,585,5834925,34294730,584829631,585,1407,2,1,2,2,750,1,582132124,535783262,66831320,41043957,41060341,2,1,1805934108,73389,73389,2,2,2,41043957,16,3,134671,27060226,933663,20281,4443,582132124,514000,4900108,11872
15122.93,6,262144,64,32589,2147480856,64,105,118,1,585,603423,7,5544,44,67,1,100434,124749708,1172,1,66,5233,2172516,2,412510,585,7346929,39120440,680176854,585,1407,2,1,2,2,750,1,677028252,631109182,108898627,48458988,48475372,2,1,2132195472,73389,73389,2,2,2,48458988,16,3,142322,30145455,1007838,23700,5167,677028252,579723,6338119,11872
20153.13,6,262144,64,36592,2411414176,64,105,118,1,585,657702,7,6635,44,67,1,100434,124749708,1172,1,66,5824,2733691,2,412510,585,8595341,44479703,758010431,585,1407,2,1,2,2,750,1,754491804,708204595,124517814,54458962,54458962,2,1,2396194328,73389,73389,2,2,2,54458962,16,3,146079,33800817,1074299,26560,5758,754491804,631142,7519753,11872
25192.89,6,262144,64,40456,2665707088,64,105,119,1,585,710076,7,7743,44,67,1,100434,124749708,1172,1,66,6389,3092980,2,412510,585,9821305,49669861,832420794,585,1407,2,1,2,2,750,1,828547484,782534921,173016168,60225686,60242070,2,1,2649930184,73389,73389,2,2,2,60225686,16,3,156977,37277358,1164205,29268,6323,828547484,680808,8655790,11872
30217.24,6,262144,64,45545,3001343408,64,105,120,1,585,790649,7,9184,44,67,1,100434,125015160,1172,1,66,7137,3316109,2,412510,585,11499276,54779990,931053436,585,1407,2,1,2,2,750,1,926720412,880643858,238482210,67859742,67876126,2,1,2985828648,73389,73389,2,2,2,67859742,16,3,164924,40085986,1241699,43854,7072,926720412,746795,10256621,11872
35240.29,6,262144,64,52534,3461763580,64,105,121,1,585,882537,7,11148,44,67,1,100434,125280612,1172,1,66,8164,3497969,2,412510,585,14052532,59614514,1066146974,585,1407,2,1,2,2,750,1,1061200284,1015376349,299929861,78326071,78342455,2,1,3446347124,73389,73389,2,2,2,78326071,16,3,170606,42640307,1344291,48300,8098,1061200284,834237,12707965,11872
40245.33,6,262144,64,79916,5265838670,64,105,126,1,585,1117258,7,18834,44,67,1,100434,125811516,1172,1,66,12185,3548409,2,412510,585,20751175,62016484,1595229826,585,1407,2,1,2,2,750,1,1588240796,1542704225,393348929,119331227,119331227,2,1,5249853092,73389,73389,2,2,2,119314843,16,3,189172,44211924,1528832,56257,12119,1588240796,1061001,19222407,11872
45249.85,6,262144,64,128919,8495060430,64,105,134,1,585,1521055,7,32691,44,67,1,100434,127368030,1172,1,66,19389,3549420,2,412510,585,31727045,62034573,2543052810,585,1407,2,1,2,2,750,1,2532483484,2486635862,416913768,192726158,192726158,2,1,8479230056,73389,73389,2,2,2,192709774,16,3,205484,45014831,1737285,66569,19323,2532483484,1454486,29990001,11872
50255.27,6,262144,64,181919,11987315522,64,105,143,1,585,1961249,7,47632,44,67,1,100434,128683224,1172,1,66,27173,3550208,2,412510,585,42714278,62039149,3567024204,585,1407,2,1,2,2,750,1,3552616860,3507448507,443963749,272084421,272100805,2,1,11971714524,73389,73389,2,2,2,272084421,16,3,228101,45850693,1939203,76501,27107,3552616860,1884748,40775873,11872
55261.20,6,262144,64,232196,15300319730,64,105,151,1,585,2360687,7,61789,44,67,1,100434,130010484,1172,1,66,34556,3551093,2,412510,585,52997621,62039972,4538530368,585,1407,2,1,2,2,750,1,4520452508,4475974685,466779595,347377737,347394121,2,1,15284620428,73389,73389,2,2,2,347377737,16,3,250263,46639930,2118558,86323,34490,4520452508,2274364,50879637,11872
