timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5008.48,262144,64,73443,4839500526,64,42,125,585,747365,1,17049,67,249,125811516,1172,1,66,11235,53814,2,14113,585,12852829,1454857,1469319767,585,304,2,1,2,2,301,1,1463722396,1418085251,29010851,109624595,109640979,2,1,4823482180,73389,73389,2,2,2,109624595,4,3,344956,2401405,1356338,18850,11169,1463722396,728515,11495969,4033
10013.13,262144,64,134659,8873360686,64,42,135,585,1259022,1,34314,67,249,127368030,1172,1,66,20231,54175,2,14113,585,23583399,1461853,2652915636,585,304,2,1,2,2,301,1,2642846108,2597224426,52102107,201318678,201335062,2,1,8858021832,73389,73389,2,2,2,201318678,4,3,378898,3361824,1597118,29447,20165,2642846108,1229575,21985394,4033
15017.83,262144,64,190018,12521277010,64,42,144,585,1713173,1,49905,67,249,128948676,1172,1,66,28361,54520,2,14113,585,33469573,1469225,3722424168,585,304,2,1,2,2,301,1,3708330396,3663464759,89835753,284223633,284240017,2,1,12505839852,73389,73389,2,2,2,284223633,4,3,410101,4207293,1793040,38469,28295,3708330396,1674704,31675742,4033
20022.38,262144,64,241246,15896678350,64,42,153,585,2131731,1,64328,67,249,130275936,1172,1,66,35888,54840,2,14113,585,43402644,1469818,4712733412,585,304,2,1,2,2,301,1,4694909340,4650307366,111940280,360925973,360942357,2,1,15880742812,73389,73389,2,2,2,360925973,4,3,443254,4983807,1951343,46704,35822,4694909340,2085027,41450227,4033
25037.29,262144,64,296962,19567991026,64,42,162,585,2592964,1,80058,67,249,131603196,1172,1,66,44075,63626,2,14113,585,52721874,1971842,5790052975,585,304,2,1,2,2,301,1,5768126876,5723536308,154529256,444387984,444387984,2,1,19553071296,73389,73389,2,2,2,444387984,4,3,473044,6085041,2144196,57087,44009,5768126876,2535877,50576134,4033
30047.59,262144,64,309909,20420998302,64,42,164,585,2767615,1,83700,67,249,131868648,1172,1,66,45975,123436,2,14113,585,56475456,5765467,6040136071,585,304,2,1,2,2,301,1,6017163676,5972861523,175234302,463766321,463782705,2,1,20405718124,73389,73389,2,2,2,463766321,4,3,481560,8225558,2354862,66800,45909,6017163676,2700815,54118697,4033
35066.27,262144,64,316483,20853955582,64,42,165,585,2861784,1,85548,67,249,131868648,1172,1,66,46942,283941,2,14113,585,58083857,9949735,6167462658,585,304,2,1,2,2,301,1,6143910300,6099479803,223047411,473604025,473620409,2,1,20838577100,73389,73389,2,2,2,473604025,4,3,486993,10821549,2453687,72957,46876,6143910300,2788827,55628651,4033
40087.28,262144,64,324282,21368256270,64,42,167,585,2969429,1,87785,67,249,132399552,1172,1,66,48088,394124,2,14113,585,60793177,14767300,6318341018,585,304,2,1,2,2,301,1,6294118812,6249806814,284614932,485300869,485300869,2,1,21353238236,73389,73389,2,2,2,485300869,4,3,495657,13257094,2593354,78170,48022,6294118812,2891259,58197223,4033
45108.43,262144,64,334434,22037028618,64,42,168,585,3115871,1,90609,67,249,132399552,1172,1,66,49579,513088,2,14113,585,64578132,19442783,6514616518,585,304,2,1,2,2,301,1,6489547164,6445277061,379842029,500493538,500509922,2,1,22021715672,73389,73389,2,2,2,500493538,4,3,508282,15643756,2780213,103083,49514,6489547164,3012788,61796076,4033
50125.16,262144,64,339773,22388783486,64,42,169,585,3192320,1,92118,67,249,132665004,1172,1,66,50363,607709,2,14113,585,66995181,24373611,6617865109,585,304,2,1,2,2,301,1,6592307612,6548116530,411059832,508482009,508498393,2,1,22373208396,73389,73389,2,2,2,508482009,4,3,512042,18167127,2879377,108107,50297,6592307612,3084213,64114069,4033
