timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5049.67,8,262144,64,24731,1629844448,56,49,116,1,585,445026,6,3291,59,124484256,1172,1,58,4073,1743043,2,595616,585,4909238,20883148,528439475,585,1426,2,1,2,2,657,1,526033308,479656694,33625902,36692290,36708674,2,1,1614460760,73389,73389,2,2,2,36692290,9,3,169515,16334412,1212699,27560,4015,526033308,417466,3695065,10261
10072.15,8,262144,64,31002,2042944320,56,49,117,1,585,539294,6,5055,59,124484256,1172,1,58,4994,1886635,2,595616,585,7000075,25511427,649714665,585,1426,2,1,2,2,657,1,646750620,600501867,55798393,46071242,46087626,2,1,2027134648,73389,73389,2,2,2,46071242,9,3,181347,18865684,1336310,38961,4936,646750620,500333,5662288,10261
15096.92,8,262144,64,38263,2521190284,56,49,119,1,585,635412,6,7146,59,124749708,1172,1,58,6058,2025494,2,595616,585,9751138,30461683,789935536,585,1426,2,1,2,2,657,1,786342300,740276767,136266487,56947171,56963555,2,1,2505675524,73389,73389,2,2,2,56947171,9,3,193444,21413366,1479161,43581,6001,786342300,591831,8270337,10261
20115.95,8,262144,64,45528,3000229296,56,49,120,1,585,730789,6,9182,59,125015160,1172,1,58,7127,2125666,2,595616,585,11888309,35343446,930552841,585,1426,2,1,2,2,657,1,926327196,880331428,170466304,67843358,67843358,2,1,2985107752,73389,73389,2,2,2,67843358,9,3,199248,23783286,1578818,49766,7069,926327196,681023,10307640,10261
25121.85,8,262144,64,85830,5655807642,56,49,127,1,585,1051625,6,20502,59,126076968,1172,1,58,13048,2140626,2,595616,585,21703702,36812305,1709463133,585,1426,2,1,2,2,657,1,1702273436,1656690036,223176120,128183732,128200116,2,1,5640084208,73389,73389,2,2,2,128183732,9,3,240006,24832074,1853581,59782,12990,1702273436,991843,19847591,10261
30126.11,8,262144,64,135109,8902851886,56,49,135,1,585,1451068,6,34405,59,127368030,1172,1,58,20289,2141959,2,595616,585,32540038,36844838,2662336715,585,1426,2,1,2,2,657,1,2651496860,2605820756,246983667,201990422,202006806,2,1,8887578568,73389,73389,2,2,2,201990422,9,3,254664,25649137,2061027,70745,20231,2651496860,1380323,30476554,10261
35140.39,8,262144,64,164702,10852876814,56,49,140,1,585,1735766,6,42780,59,128152320,1172,1,58,24637,2196853,2,595616,585,40097418,39197686,3234465954,585,1426,2,1,2,2,657,1,3221397916,3175848798,348696785,246312894,246312894,2,1,10837767336,73389,73389,2,2,2,246312894,9,3,264790,27149549,2267849,80101,24579,3221397916,1655665,37825850,10261
40149.60,8,262144,64,174499,11498383882,56,49,142,1,585,1867049,6,45563,59,128417772,1172,1,58,26076,2278029,2,595616,585,43504203,43779450,3423901037,585,1426,2,1,2,2,657,1,3410010524,3364545010,386556915,260981275,260981275,2,1,11483176100,73389,73389,2,2,2,260981275,9,3,272323,29491021,2439836,86171,26018,3410010524,1780878,41060249,10261
45154.34,8,262144,64,191013,12586750782,56,49,144,1,585,2065440,6,50175,59,128948676,1172,1,58,28504,2329462,2,595616,585,48409095,48108839,3743316834,585,1426,2,1,2,2,657,1,3728122268,3682645993,473931936,285720610,285720610,2,1,12571706840,73389,73389,2,2,2,285720610,9,3,287837,31450973,2673889,96786,28446,3728122268,1968654,45731443,10261
50158.55,8,262144,64,249281,16426180082,56,49,154,1,585,2550375,6,66615,59,130275936,1172,1,58,37060,2330947,2,595616,585,59498957,48538217,4869149348,585,1426,2,1,2,2,657,1,4849705372,4805115166,510894950,372960848,372977232,2,1,16410277312,73389,73389,2,2,2,372960848,9,3,339162,32401670,2942542,107098,37002,4849705372,2443277,56552541,10261
