timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5018.03,3,262144,64,51858,3417195792,64,51,121,585,627519,10,10908,67,458,125280612,1172,1,66,8066,343038,2,47109,585,10305893,8918241,1052607137,585,695,2,1,2,2,731,1,1048355228,1002303381,37177120,77304230,77320614,2,1,3401386120,73389,73389,2,2,2,77304230,13,3,284480,7064180,1611692,22783,8001,1048355228,604737,8693424,6522
10022.31,3,262144,64,106192,6997660198,64,51,130,585,1052252,10,26274,67,458,126837126,1172,1,66,16048,344612,2,47109,585,19813130,9054048,2102797380,585,695,2,1,2,2,731,1,2094571932,2048884901,61577219,158695824,158695824,2,1,6981895360,73389,73389,2,2,2,158679440,13,3,318716,7910688,1797715,31747,15982,2094571932,1020505,18014979,6522
15026.63,3,262144,64,157509,10379087298,64,51,139,585,1464994,10,40726,67,458,128152320,1172,1,66,23588,344864,2,47109,585,29765495,9054675,3094674683,585,695,2,1,2,2,731,1,3082723740,3037318008,82120149,235535269,235551653,2,1,10363551836,73389,73389,2,2,2,235535269,13,3,344943,8691432,1967565,39768,23522,3082723740,1425226,27797186,6522
20041.92,3,262144,64,181265,11944454978,64,51,143,585,1714866,10,47460,67,458,128683224,1172,1,66,27077,385135,2,47109,585,35734805,12468978,3553934145,585,695,2,1,2,2,731,1,3540165020,3494953823,176704905,271117765,271117765,2,1,11929181660,73389,73389,2,2,2,271117765,13,3,366227,10377297,2231777,49094,27011,3540165020,1665772,33502424,6522
25045.52,3,262144,64,221839,14617847050,64,51,149,585,2055848,10,58857,67,458,129479580,1172,1,66,33035,399588,2,47109,585,43363338,14176438,4337842384,585,695,2,1,2,2,731,1,4321091996,4276418799,237905736,331867739,331884123,2,1,14602180516,73389,73389,2,2,2,331867739,13,3,393368,11574252,2451009,58853,32969,4321091996,1996995,40911789,6522
30060.47,3,262144,64,271672,17901294766,64,51,158,585,2473048,10,72943,67,458,130806840,1172,1,66,40357,417406,2,47109,585,53801382,15980017,5301251839,585,695,2,1,2,2,731,1,5280801180,5236228145,336797098,406510013,406526397,2,1,17886440572,73389,73389,2,2,2,406510013,13,3,449777,12779996,2747196,69018,40291,5280801180,2404030,51053734,6522
35081.58,3,262144,64,282578,18620277614,64,51,160,585,2613636,10,76020,67,458,131337744,1172,1,66,41962,606045,2,47109,585,57573051,20411150,5512653828,585,695,2,1,2,2,731,1,5491302812,5446517192,372894111,422834893,422851277,2,1,18604735292,73389,73389,2,2,2,422834893,13,3,455322,15042523,2904786,76128,41897,5491302812,2537508,54666889,6522
40106.76,3,262144,64,292168,19251953278,64,51,161,585,2738641,10,78695,67,458,131337744,1172,1,66,43371,672106,2,47109,585,61147183,25193697,5698005017,585,695,2,1,2,2,731,1,5675852188,5631071783,449960845,437202329,437218713,2,1,19236902476,73389,73389,2,2,2,437202329,13,3,462823,17345475,3059195,82287,43305,5675852188,2656354,58086127,6522
45119.91,3,262144,64,301864,19890841210,64,51,163,585,2865667,10,81450,67,458,131603196,1172,1,66,44796,782111,2,47109,585,64954613,29919617,5885595515,585,695,2,1,2,2,731,1,5862629788,5817990036,516227381,451723254,451723254,2,1,19875823176,73389,73389,2,2,2,451723254,13,3,474816,19507699,3242515,88061,44730,5862629788,2777606,61708733,6522
50124.51,3,262144,64,333086,21948155186,64,51,168,585,3145938,10,90240,67,458,132399552,1172,1,66,49380,809586,2,47109,585,70956382,32091096,6488615030,585,695,2,1,2,2,731,1,6463332764,6419322154,558520473,498482624,498482624,2,1,21933235456,73389,73389,2,2,2,498482624,13,3,492983,20889292,3425624,95882,49314,6463332764,3050056,67527428,6522
55129.31,3,262144,64,389877,25690208646,64,51,178,585,3601055,10,106275,67,458,133992264,1172,1,66,57721,810271,2,47109,585,82133619,32196096,7586184415,585,695,2,1,2,2,731,1,7556735388,7513233508,588931903,583507148,583523532,2,1,25674314512,73389,73389,2,2,2,583507148,13,3,524737,21762561,3642556,105611,57655,7556735388,3495444,78487616,6522
