timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5014.41,9,262144,64,31653,2085873708,64,40,118,1,585,768787,11,5266,14,67,3486,75297,124749708,1172,1,66,5099,746444,2,220394,585,5805304,15472989,662322879,585,1155,2,1,2,2,690,1,659464604,613079813,36226960,47043931,47060315,2,1,2069932964,73389,73389,2,2,2,47043931,8,3,234738,12053898,1236660,22291,5033,659464604,746496,4567393,19729
10023.92,9,262144,64,53193,3505217256,64,40,121,1,585,981770,11,11327,14,67,3486,75297,125280612,1172,1,66,8261,801121,2,220394,585,12461078,19007255,1078417092,585,1155,2,1,2,2,690,1,1073914268,1028032842,76314005,79315144,79315144,2,1,3489866336,73389,73389,2,2,2,79315144,8,3,252547,13779499,1440640,30309,8195,1073914268,951461,11018204,19729
15042.64,9,262144,64,61050,4023065646,64,40,123,1,585,1085895,11,13580,14,67,3486,75297,125546064,1172,1,66,9416,913943,2,220394,585,14566295,23442042,1230481474,585,1155,2,1,2,2,690,1,1225302428,1179374381,119669482,91087875,91087875,2,1,4007866500,73389,73389,2,2,2,91087875,8,3,259727,16220303,1555924,35625,9350,1225302428,1050270,13006881,19729
20047.75,9,262144,64,77370,5098187658,64,40,125,1,585,1266050,11,18138,14,67,3486,75297,125811516,1172,1,66,11813,980038,2,220394,585,19145841,28114678,1545938484,585,1155,2,1,2,2,690,1,1539482012,1493674457,163933724,115520232,115520232,2,1,5082169312,73389,73389,2,2,2,115503848,8,3,291205,18109807,1788642,46477,11747,1539482012,1219573,17352835,19729
25063.75,9,262144,64,107618,7091645438,64,40,130,1,585,1557654,11,26664,14,67,3486,75297,126837126,1172,1,66,16257,1020676,2,220394,585,26341586,30994508,2130806375,585,1155,2,1,2,2,690,1,2122097052,2076347467,214836615,160821426,160837810,2,1,7076142744,73389,73389,2,2,2,160821426,8,3,315094,19824744,2008657,57489,16192,2122097052,1500165,24328219,19729
30068.52,9,262144,64,130719,8613821586,64,40,134,1,585,1794848,11,33183,14,67,3486,75297,127368030,1172,1,66,19650,1067191,2,220394,585,31719438,34737013,2577023922,585,1155,2,1,2,2,690,1,2566562204,2521344489,293048810,195414849,195431233,2,1,8598253356,73389,73389,2,2,2,195414849,8,3,341948,21511848,2270087,67979,19584,2566562204,1726869,29445149,19729
35073.06,9,262144,64,182093,11998984238,64,40,143,1,585,2221344,11,47688,14,67,3486,75297,128683224,1172,1,66,27198,1067801,2,220394,585,43029643,34938882,3570213100,585,1155,2,1,2,2,690,1,3556024732,3510889891,325507752,272352598,272368982,2,1,11983514312,73389,73389,2,2,2,272352598,8,3,369919,22328572,2471051,76819,27132,3556024732,2144525,40553034,19729
40086.11,9,262144,64,206808,13627466394,64,40,147,1,585,2454899,11,54648,14,67,3486,75297,129214128,1172,1,66,30828,1117750,2,220394,585,48849273,37678252,4047864796,585,1155,2,1,2,2,690,1,4031816092,3986905640,389547990,309358343,309374727,2,1,13611767092,73389,73389,2,2,2,309358343,8,3,385918,23989076,2630864,84052,30762,4031816092,2370847,46212786,19729
45111.71,9,262144,64,214258,14118364114,64,40,148,1,585,2552396,11,56733,14,67,3486,75297,129479580,1172,1,66,31920,1307084,2,220394,585,51559072,42074270,4191637669,585,1155,2,1,2,2,690,1,4174946716,4130424636,437362971,320527025,320527025,2,1,14103189100,73389,73389,2,2,2,320527025,8,3,390577,26516125,2743875,88963,31854,4174946716,2463433,48809533,19729
50115.90,9,262144,64,225149,14835833018,64,40,150,1,585,2680930,11,59812,14,67,3486,75297,129745032,1172,1,66,33523,1435741,2,220394,585,55668585,47137948,4402507644,585,1155,2,1,2,2,690,1,4385055132,4340109937,551978234,336823455,336839839,2,1,14820232020,73389,73389,2,2,2,336823455,8,3,399889,28791617,2914352,94275,33457,4385055132,2586655,52750193,19729
