timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5013.69,91,262144,64,73840,4865783770,64,39,125,2,585,1054282,11,17126,65,67,89808,125811516,1172,1,66,11295,113121,2,95746,585,12597369,2087639,1477220930,585,641,2,1,2,2,1038,1,1471586716,1425765604,29948099,110236836,110253220,2,1,4850420784,73389,73389,2,2,2,110236836,9,3,249677,3132062,1166634,16172,11229,1471586716,1038110,11431733,6992
10061.39,91,262144,64,86282,5685429914,64,39,127,2,585,1207446,11,20679,65,67,89808,126076968,1172,1,66,13120,177406,2,95746,585,15946242,6405621,1717428127,585,641,2,1,2,2,1038,1,1710793116,1665326434,74268376,128855476,128871860,2,1,5669640944,73389,73389,2,2,2,128855476,9,3,269845,5368741,1353728,25026,13055,1710793116,1182420,14594336,6992
15180.45,91,262144,64,94447,6223692646,64,39,128,2,585,1319687,11,22962,65,67,89808,126318288,1172,1,66,14320,354616,2,95746,585,18999839,11168436,1875413171,585,641,2,1,2,2,1038,1,1868079516,1822612271,127686308,141092992,141109376,2,1,6208091648,73389,73389,2,2,2,141092992,9,3,284215,7982179,1520354,30772,14255,1868079516,1288915,17480999,6992
20296.82,91,262144,64,99852,6579772890,64,39,129,2,585,1397665,11,24489,65,67,89808,126571674,1172,1,66,15116,521980,2,95746,585,20325648,15872835,1980231871,585,641,2,1,2,2,1038,1,1972412828,1926738025,141191845,149196151,149196151,2,1,6564630644,73389,73389,2,2,2,149196151,9,3,289436,10808352,1605986,34916,15050,1972412828,1362749,18721078,6992
25424.00,91,262144,64,104553,6889715790,64,39,130,2,585,1464641,11,25829,65,67,89808,126837126,1172,1,66,15806,750683,2,95746,585,21895054,20602162,2071097502,585,641,2,1,2,2,1038,1,2062852508,2017310289,163300640,156242542,156242542,2,1,6874671848,73389,73389,2,2,2,156242542,9,3,294659,13696283,1687507,38521,15740,2062852508,1426120,20208651,6992
30448.41,91,262144,64,110318,7269388994,64,39,131,2,585,1548231,11,27456,65,67,89808,126837126,1172,1,66,16651,1061463,2,95746,585,24375250,26363319,2182496002,585,641,2,1,2,2,1038,1,2173739420,2128269277,232079049,164861797,164878181,2,1,7253919068,73389,73389,2,2,2,164861797,9,3,300695,16840117,1776732,42751,16586,2173739420,1505480,22599537,6992
35479.78,91,262144,64,114975,7576448310,64,39,132,2,585,1613382,11,28781,65,67,89808,127102578,1172,1,66,17337,1320338,2,95746,585,25517432,31101642,2272700027,585,641,2,1,2,2,1038,1,2263523740,2218059397,273592677,171850844,171850844,2,1,7561437136,73389,73389,2,2,2,171850844,9,3,303095,20315975,1827438,46032,17272,2263523740,1567350,23691687,6992
40500.44,91,262144,64,119970,7905658794,64,39,132,2,585,1687282,11,30143,65,67,89808,127102578,1172,1,66,18073,1565521,2,95746,585,27214833,36606565,2369621446,585,641,2,1,2,2,1038,1,2359992732,2314298882,393845057,179331411,179331411,2,1,7890582084,73389,73389,2,2,2,179331411,9,3,307089,23685189,1914012,49615,18007,2359992732,1637667,25303147,6992
45535.49,91,262144,64,125352,8259966258,64,39,133,2,585,1761983,11,31667,65,67,89808,127102578,1172,1,66,18862,1792245,2,95746,585,28627142,41709627,2473520567,585,641,2,1,2,2,1038,1,2463408540,2417842901,413815716,187387577,187387577,2,1,8245053388,73389,73389,2,2,2,187387577,9,3,307854,26483615,1968694,53283,18796,2463408540,1708700,26660724,6992
50542.14,91,262144,64,145232,9570254594,64,39,137,2,585,1965339,11,37305,65,67,89808,127886868,1172,1,66,21785,1903712,2,95746,585,34388878,46124673,2858030848,585,641,2,1,2,2,1038,1,2846400924,2800948396,539586402,217146005,217162389,2,1,9554424220,73389,73389,2,2,2,217146005,9,3,325051,28463494,2160885,65152,21719,2846400924,1900187,32229500,6992
55560.52,91,262144,64,166783,10990053586,64,39,140,2,585,2182837,11,43347,65,67,89808,128152320,1172,1,66,24949,1965284,2,95746,585,40323283,49526800,3274516636,585,641,2,1,2,2,1038,1,3261243804,3215990660,640450961,249427569,249427569,2,1,10974092140,73389,73389,2,2,2,249411185,9,3,342215,30269202,2360159,72831,24883,3261243804,2110006,37964737,6992
60565.73,91,262144,64,192383,12676800554,64,39,145,2,585,2417475,11,50550,65,67,89808,128948676,1172,1,66,28710,2022026,2,95746,585,47036791,52685160,3769402044,585,641,2,1,2,2,1038,1,3754205596,3708965609,737364565,287766451,287766451,2,1,12661002948,73389,73389,2,2,2,287750067,9,3,360010,31827176,2566410,80924,28644,3754205596,2336551,44472262,6992
65571.22,91,262144,64,235587,15523686510,64,39,152,2,585,2751451,11,62772,65,67,89808,130010484,1172,1,66,35055,2023909,2,95746,585,56373605,52883728,4604061251,585,641,2,1,2,2,1038,1,4585726364,4541299959,762698670,352456333,352472717,2,1,15508078652,73389,73389,2,2,2,352456333,9,3,379779,32553025,2741071,90659,34989,4585726364,2660792,53634048,6992
70584.03,91,262144,64,250582,16511707870,64,39,154,2,585,2922086,11,66971,65,67,89808,130275936,1172,1,66,37261,2067075,2,95746,585,62097712,56955492,4894524347,585,641,2,1,2,2,1038,1,4875002268,4830132052,832696157,374916577,374916577,2,1,16496329388,73389,73389,2,2,2,374916577,9,3,386996,34453889,2928697,100149,37195,4875002268,2821937,59170423,6992
75600.82,91,262144,64,262708,17310644638,64,39,156,2,585,3072868,11,70386,65,67,89808,130541388,1172,1,66,39040,2130886,2,95746,585,67633610,62502319,5128686932,585,641,2,1,2,2,1038,1,5108179356,5063596387,928677317,393076465,393076465,2,1,17295364460,73389,73389,2,2,2,393076465,9,3,396799,36533604,3127550,108697,38974,5108179356,2964171,64506388,6992
