timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5007.97,1,262144,64,74787,4928111814,64,49,125,585,727383,1,17379,67,121,125811516,1172,1,66,11431,27524,2,4746,585,13154148,1008382,1495122659,585,293,2,1,2,2,272,1,1489412508,1443994891,33567099,111651893,111651893,2,1,4911962396,73389,73389,2,2,2,111635509,3,3,374821,2055598,1743812,16041,11365,1489412508,711342,11410092,3609
10011.89,1,262144,64,138060,9097310430,64,49,135,585,1238408,1,35187,67,121,127368030,1172,1,66,20729,27958,2,4746,585,23212884,1032708,2718457981,585,293,2,1,2,2,272,1,2708119964,2662640728,60938880,206405466,206421850,2,1,9081840504,73389,73389,2,2,2,206405466,3,3,416384,3029628,1978602,26828,20663,2708119964,1211580,21233211,3609
15021.01,1,262144,64,174547,11501529610,64,49,142,585,1580311,1,45572,67,121,128417772,1172,1,66,26090,45593,2,4746,585,30332888,3347138,3423873426,585,293,2,1,2,2,272,1,3410796956,3365389510,121745168,261046811,261063195,2,1,11486059684,73389,73389,2,2,2,261046811,3,3,445121,4602983,2247615,37880,26024,3410796956,1542431,28084440,3609
20024.68,1,262144,64,205975,13572344002,64,49,147,585,1874942,1,54394,67,121,129214128,1172,1,66,30704,77296,2,4746,585,37362002,5943850,4030993487,585,293,2,1,2,2,272,1,4015563164,3970798959,183977854,308117477,308117477,2,1,13556448092,73389,73389,2,2,2,308101093,3,3,459452,6088457,2447726,46933,30638,4015563164,1828009,34914334,3609
25036.01,1,262144,64,263324,17351280266,64,49,156,585,2331058,1,70546,67,121,130541388,1172,1,66,39130,77834,2,4746,585,47833527,6256630,5139726024,585,293,2,1,2,2,272,1,5120106908,5075470694,223650327,394000002,394000002,2,1,17336000088,73389,73389,2,2,2,394000002,3,3,491097,7035632,2654497,56815,39065,5120106908,2274243,45179490,3609
30047.37,1,262144,64,275540,18156235934,64,49,158,585,2489247,1,73998,67,121,130806840,1172,1,66,40927,167157,2,4746,585,51673855,10520014,5376130771,585,293,2,1,2,2,272,1,5355512220,5310723621,262639091,412290962,412313379,2,1,18140802328,73389,73389,2,2,2,412290962,3,3,496134,9158279,2833842,65788,40861,5355512220,2423459,48840751,3609
35055.62,1,262144,64,285296,18799200818,64,49,160,585,2618333,1,76769,67,121,131337744,1172,1,66,42360,294481,2,4746,585,55265427,15388561,5564770315,585,293,2,1,2,2,272,1,5543338396,5498793132,348145565,426916224,426916224,2,1,18784313856,73389,73389,2,2,2,426916224,3,3,503366,11425949,2986720,73833,42294,5543338396,2544500,52279332,3609
40071.42,1,262144,64,294201,19385984322,64,49,162,585,2741905,1,79307,67,121,131603196,1172,1,66,43670,412014,2,4746,585,58067320,19884290,5737228234,585,293,2,1,2,2,272,1,5715042716,5670362861,386400302,440251468,440251468,2,1,19371064592,73389,73389,2,2,2,440251468,3,3,511127,13801522,3108192,79401,43604,5715042716,2662504,54960358,3609
45075.44,1,262144,64,320957,21149021810,64,49,166,585,2996532,1,86821,67,121,132134100,1172,1,66,47597,458994,2,4746,585,64514376,23465221,6253961840,585,293,2,1,2,2,272,1,6229762460,6185667590,449865070,480314544,480330928,2,1,21133839936,73389,73389,2,2,2,480314544,3,3,538957,15367802,3349824,87539,47531,6229762460,2908993,61165363,3609
50079.17,1,262144,64,371377,24471144280,64,49,175,585,3411105,1,101013,67,121,133461360,1172,1,66,55004,459967,2,4746,585,75131374,23575981,7228471829,585,293,2,1,2,2,272,1,7200612764,7156829569,478247448,555806627,555823011,2,1,24455491588,73389,73389,2,2,2,555806627,3,3,557968,16175309,3534717,96508,54938,7200612764,3314597,71597314,3609
