timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5008.10,262144,64,67978,4479222670,64,61,124,0,585,809025,4,15509,56,67,1,21700,125546064,1172,1,66,10432,123907,2,22928,585,12499712,2480488,1363705008,585,274,2,1,2,2,295,1,1358471580,1312803281,31878228,101449867,101466251,2,1,4463794148,73389,73389,2,2,2,101449867,4,3,355101,3126242,1590493,15047,10366,1358471580,793978,10908764,3531
10053.52,262144,64,80760,5321416506,64,61,126,0,585,965562,4,19119,56,67,1,21700,125811516,1172,1,66,12307,288043,2,22928,585,15199782,6086796,1610488269,585,274,2,1,2,2,295,1,1604231580,1558975028,50914628,120582444,120598828,2,1,5305627536,73389,73389,2,2,2,120582444,4,3,357124,5365000,1724073,21736,12241,1604231580,943826,13473515,3531
15105.90,262144,64,88077,5803863390,64,61,127,0,585,1068320,4,21170,56,67,1,21700,126076968,1172,1,66,13385,484411,2,22928,585,18689725,11300019,1752421840,585,274,2,1,2,2,295,1,1745527196,1699961652,97213150,131560551,131560551,2,1,5788664244,73389,73389,2,2,2,131560551,4,3,365152,7924681,1876322,26691,13319,1745527196,1041629,16811963,3531
20131.85,262144,64,93484,6160050574,64,61,128,0,585,1151280,4,22698,56,67,1,21700,126318288,1172,1,66,14180,608109,2,22928,585,20848267,16418335,1857118319,585,274,2,1,2,2,295,1,1849729436,1804041851,132595601,139655518,139655518,2,1,6144842792,73389,73389,2,2,2,139655518,4,3,373265,10712591,2001146,34581,14114,1849729436,1116699,18845945,3531
25166.56,262144,64,98300,6477530114,64,61,129,0,585,1224446,4,24066,56,67,1,21700,126571674,1172,1,66,14888,756546,2,22928,585,22991162,22075290,1950355003,585,274,2,1,2,2,295,1,1942528412,1896880504,163665513,146857557,146873941,2,1,6461732508,73389,73389,2,2,2,146857557,4,3,376688,13667091,2103696,40008,14822,1942528412,1184438,20886430,3531
30203.93,262144,64,103002,6787538550,64,61,130,0,585,1290340,4,25404,56,67,1,21700,126837126,1172,1,66,15579,1082302,2,22928,585,24368498,27387137,2041484671,585,274,2,1,2,2,295,1,2033230236,1987474902,184046647,153903948,153920332,2,1,6771773712,73389,73389,2,2,2,153903948,4,3,377263,16689136,2161189,43326,15514,2033230236,1247014,22206291,3531
35225.04,262144,64,108006,7117338858,64,61,130,0,585,1364108,4,26771,56,67,1,21700,126837126,1172,1,66,16316,1421751,2,22928,585,26434628,32850549,2138402196,585,274,2,1,2,2,295,1,2129699228,2083838380,237767778,161417283,161417283,2,1,7102360452,73389,73389,2,2,2,161417283,4,3,379322,19964430,2226935,46899,16250,2129699228,1317209,24205648,3531
40285.49,262144,64,112754,7429831046,64,61,131,0,585,1438340,4,28119,56,67,1,21700,126837126,1172,1,66,17010,1645388,2,22928,585,28127691,38049804,2229794134,585,274,2,1,2,2,295,1,2220663196,2175219951,328443095,168517144,168517144,2,1,7414033440,73389,73389,2,2,2,168500760,4,3,388869,23046965,2316788,53350,16944,2220663196,1384990,25808938,3531
45319.32,262144,64,118125,7783948518,64,61,132,0,585,1518677,4,29640,56,67,1,21700,127102578,1172,1,66,17801,1889762,2,22928,585,29919415,43259420,2333956100,585,274,2,1,2,2,295,1,2324341148,2278739514,415044545,176560800,176577184,2,1,7768675200,73389,73389,2,2,2,176560800,4,3,395154,25971809,2424248,57079,17735,2324341148,1461598,27494368,3531
50324.28,262144,64,135381,8920943130,64,61,135,1,585,1695759,4,34505,56,67,1,21700,127368030,1172,1,66,20337,1991152,2,22928,585,34667310,47911829,2667694808,585,274,2,1,2,2,295,1,2656739740,2611107371,448013992,202406055,202406055,2,1,8905145524,73389,73389,2,2,2,202389671,4,3,410368,28150002,2590375,63303,20271,2656739740,1632456,32076614,3531
