timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5007.77,262144,64,70968,4676237118,64,45,124,585,699744,1,16336,67,32,125546064,1172,1,66,10869,68590,2,1735,585,11369779,1006513,1421155097,585,446,2,1,2,2,265,1,1415750044,1370400027,25702108,105914063,105930447,2,1,4660218772,73389,73389,2,2,2,105914063,5,3,262850,2083387,1238695,14751,10803,1415750044,684993,10131014,3771
10012.10,262144,64,122370,8063476098,64,45,133,585,1126568,1,30798,67,32,127102578,1172,1,66,18423,72168,2,1735,585,22334050,1133250,2414993831,585,446,2,1,2,2,265,1,2405867932,2360427183,61716830,182906997,182923381,2,1,8047907868,73389,73389,2,2,2,182906997,5,3,277907,2920816,1410788,23599,18357,2405867932,1102969,20922707,3771
15024.21,262144,64,141748,9340455118,64,45,136,585,1330769,1,36300,67,32,127621416,1172,1,66,21270,121494,2,1735,585,26777662,4153639,2789642747,585,446,2,1,2,2,265,1,2779029916,2733662280,98243155,211924271,211946688,2,1,9324667924,73389,73389,2,2,2,211924271,5,3,285070,4710303,1545980,30374,21204,2779029916,1300395,25231250,3771
20048.16,262144,64,149417,9845850014,64,45,137,585,1441673,1,38448,67,32,127886868,1172,1,66,22398,193519,2,1735,585,29725468,8640985,2938281663,585,446,2,1,2,2,265,1,2927010204,2881431528,140346688,223418474,223434858,2,1,9830412856,73389,73389,2,2,2,223418474,5,3,293292,7104200,1671114,37319,22333,2927010204,1404354,28054532,3771
25099.41,262144,64,154640,10190002706,64,45,138,585,1517608,1,39927,67,32,127886868,1172,1,66,23163,333825,2,1735,585,31835738,13756561,3038888669,585,446,2,1,2,2,265,1,3027149212,2982080841,178179194,231234913,231251297,2,1,10174336172,73389,73389,2,2,2,231234913,5,3,305591,9776810,1818073,41131,23098,3027149212,1476477,30018010,3771
30154.53,262144,64,159692,10522948742,64,45,139,585,1594639,1,41360,67,32,128152320,1172,1,66,23909,557409,2,1735,585,32917341,18180863,3137135760,585,446,2,1,2,2,265,1,3124928924,3079381138,191743033,238813784,238813784,2,1,10507806496,73389,73389,2,2,2,238813784,5,3,309916,12479147,1898324,44958,23843,3124928924,1549681,31017753,3771
35251.00,262144,64,165073,10877456122,64,45,140,585,1673177,1,42879,67,32,128152320,1172,1,66,24700,865259,2,1735,585,35003288,23928712,3241294390,585,446,2,1,2,2,265,1,3228606876,3183051860,285697207,246859599,246859599,2,1,10860836008,73389,73389,2,2,2,246837182,5,3,313949,15602891,2003537,48864,24634,3228606876,1624313,32999826,3771
40261.74,262144,64,169955,11199019718,64,45,141,585,1743608,1,44268,67,32,128417772,1172,1,66,25414,1207102,2,1735,585,36325940,28495737,3335318479,585,446,2,1,2,2,265,1,3322192284,3277011321,309626399,254170293,254186677,2,1,11183492892,73389,73389,2,2,2,254170293,5,3,316455,19006749,2079681,52518,25348,3322192284,1691090,34246270,3771
45321.59,262144,64,174551,11501791754,64,45,142,585,1807362,1,45576,67,32,128417772,1172,1,66,26091,1422540,2,1735,585,38590247,34279222,3424606775,585,446,2,1,2,2,265,1,3411059100,3365516202,481030678,261046811,261063195,2,1,11486059684,73389,73389,2,2,2,261046811,5,3,320414,21755304,2169307,55876,26026,3411059100,1751486,36421310,3771
50332.93,262144,64,179820,11848959102,64,45,142,585,1879682,1,47013,67,32,128417772,1172,1,66,26865,1626028,2,1735,585,40043328,39327328,3526403435,585,446,2,1,2,2,265,1,3512377756,3467022947,551482408,268936978,268953362,2,1,11833227032,73389,73389,2,2,2,268936978,5,3,323037,24861313,2237517,59666,26799,3512377756,1820016,37806565,3771
