timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5024.13,7,262144,64,26510,1746963896,64,45,117,585,410199,1,3831,67,7029,124484256,1172,1,66,4340,915896,2,142873,585,5415692,17309233,562615605,585,840,2,1,2,2,637,1,560112028,513923267,38888103,39350372,39366756,2,1,1731416368,73389,73389,2,2,2,39350372,6,3,199371,13048811,1171457,15434,4275,560112028,394765,4243538,8632
10043.83,7,262144,64,45650,3008224688,64,45,120,585,600504,1,9213,67,7029,125015160,1172,1,66,7154,976911,2,142873,585,10233475,21012022,932799028,585,840,2,1,2,2,637,1,928817564,882700028,81708971,68023582,68023582,2,1,2992316712,73389,73389,2,2,2,68007198,6,3,216826,14952624,1343841,22554,7088,928817564,577950,8888235,8632
15063.03,7,262144,64,53310,3512884968,64,45,121,585,704133,1,11358,67,7029,125280612,1172,1,66,8278,1046537,2,142873,585,13015328,25758579,1080781934,585,840,2,1,2,2,637,1,1076142492,1030279731,129528860,79478984,79495368,2,1,3497075296,73389,73389,2,2,2,79478984,6,3,228693,17350228,1498491,31014,8212,1076142492,673119,11515263,8632
20082.89,7,262144,64,59916,3948216918,64,45,122,585,799272,1,13217,67,7029,125280612,1172,1,66,9249,1169246,2,142873,585,15073442,30416728,1208636199,585,840,2,1,2,2,637,1,1203413404,1157470783,177674657,89388257,89388257,2,1,3933083308,73389,73389,2,2,2,89388257,6,3,234784,19902256,1609105,42390,9183,1203413404,756882,13462395,8632
25121.91,7,262144,64,66163,4359864586,64,45,123,585,888977,1,14971,67,7029,125546064,1172,1,66,10166,1420341,2,142873,585,18167433,35819282,1329384782,585,840,2,1,2,2,637,1,1323606428,1277790668,221859352,98726249,98748666,2,1,4343954956,73389,73389,2,2,2,98726249,6,3,243397,22620614,1719658,48296,10100,1323606428,840681,16445828,8632
30146.19,7,262144,64,73306,4830522094,64,45,125,585,985152,1,17031,67,7029,125811516,1172,1,66,11216,1574498,2,142873,585,20736529,40534826,1467634274,585,840,2,1,2,2,637,1,1461232028,1415410225,274207457,109427987,109444371,2,1,4814831428,73389,73389,2,2,2,109427987,6,3,252978,25129294,1836531,52987,11151,1461232028,932165,18898004,8632
35151.58,7,262144,64,83715,5516137194,64,45,126,585,1107639,1,19926,67,7029,125811516,1172,1,66,12744,1672225,2,142873,585,23753685,45083934,1668768859,585,840,2,1,2,2,637,1,1661510044,1615823183,328082570,125013872,125030256,2,1,5500610368,73389,73389,2,2,2,125013872,6,3,262062,27400004,1992388,60545,12678,1661510044,1047094,21759437,8632
40157.65,7,262144,64,129278,8518853306,64,45,134,585,1471683,1,32738,67,7029,127368030,1172,1,66,19441,1674406,2,142873,585,35160674,45640978,2549771328,585,840,2,1,2,2,637,1,2539168156,2493555935,384827013,193256479,193272863,2,1,8503285076,73389,73389,2,2,2,193256479,6,3,295213,28210036,2248880,71066,19375,2539168156,1400617,32910443,8632
45172.47,7,262144,64,166787,10990315730,64,45,140,585,1783985,1,43350,67,7029,128152320,1172,1,66,24951,1679988,2,142873,585,44448009,46767305,3274993750,585,840,2,1,2,2,637,1,3261637020,3215991844,433229304,249427569,249443953,2,1,10974813036,73389,73389,2,2,2,249427569,6,3,312124,29333577,2437652,80947,24886,3261637020,1703038,42008035,8632
50188.09,7,262144,64,173150,11409710366,64,45,141,585,1870078,1,45138,67,7029,128417772,1172,1,66,25886,1808297,2,142873,585,46258181,51159978,3397976398,585,840,2,1,2,2,637,1,3384058268,3338620792,452536314,258968202,258968202,2,1,11394600888,73389,73389,2,2,2,258968202,6,3,318241,31750892,2545268,85058,25820,3384058268,1785020,43710702,8632
55199.07,7,262144,64,179015,11795937170,64,45,142,585,1948566,1,46794,67,7029,128417772,1172,1,66,26747,1937230,2,142873,585,48563825,56052146,3511348389,585,840,2,1,2,2,637,1,3496911260,3451484641,501224493,267734913,267751297,2,1,11780336172,73389,73389,2,2,2,267734913,6,3,319703,34341684,2624300,88940,26681,3496911260,1859626,45937722,8632
60215.01,7,262144,64,185323,12211727326,64,45,143,585,2030751,1,48567,67,7029,128683224,1172,1,66,27673,2114593,2,142873,585,50366710,60764994,3633278740,585,840,2,1,2,2,637,1,3618283932,3573055161,574306949,277193626,277193626,2,1,12195798648,73389,73389,2,2,2,277177242,6,3,324270,37170508,2731384,93190,27607,3618283932,1937561,47633049,8632
65234.79,7,262144,64,196465,12945911218,64,45,145,585,2162794,1,51719,67,7029,128948676,1172,1,66,29308,2202278,2,142873,585,53658809,65415109,3848498736,585,840,2,1,2,2,637,1,3832586652,3787654825,776355617,293881113,293881113,2,1,12930768972,73389,73389,2,2,2,293881113,6,3,328904,39441052,2891891,99260,29242,3832586652,2063534,50764466,8632
70253.84,7,262144,64,204716,13489568726,64,45,147,585,2269006,1,54076,67,7029,129214128,1172,1,66,30519,2286877,2,142873,585,57410532,70781645,4007929557,585,840,2,1,2,2,637,1,3991314844,3946579662,894744627,306227284,306243668,2,1,13474000496,73389,73389,2,2,2,306227284,6,3,340257,41948853,3025000,104337,30453,3991314844,2164669,54383362,8632
