timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5058.28,23,262144,64,24649,1624470496,64,44,116,585,393243,15,3267,58,67,7674,124484256,1172,1,66,4070,1083429,2,79536,585,4618585,20586748,526963108,585,1098,2,1,2,2,707,1,524591516,478131809,36702905,36577602,36577602,2,1,1609414488,73389,73389,2,2,2,36577602,10,3,174621,16002794,1039922,17697,4004,524591516,375546,3580136,7447
10080.05,23,262144,64,29756,1960755560,64,44,117,585,463744,15,4716,58,67,7674,124484256,1172,1,66,4818,1264561,2,79536,585,6084341,25631302,625593526,585,1098,2,1,2,2,707,1,622764444,576434024,63762900,44207784,44224168,2,1,1945142496,73389,73389,2,2,2,44207784,10,3,178887,18901490,1117200,21187,4753,622764444,442557,4968249,7447
15117.56,23,262144,64,36199,2385393076,64,44,118,585,551327,15,6510,58,67,7674,124749708,1172,1,66,5764,1511865,2,79536,585,8186197,30827707,750151020,585,1098,2,1,2,2,707,1,746758556,700614395,90025888,53863105,53879489,2,1,2369976620,73389,73389,2,2,2,53863105,10,3,184196,21682167,1223208,25308,5699,746758556,526019,6964472,7447
20135.01,23,262144,64,43393,2859513580,64,44,120,585,646681,15,8600,58,67,7674,125015160,1172,1,66,6820,1608242,2,79536,585,11066766,36667166,889186896,585,1098,2,1,2,2,707,1,885170588,839184656,145135058,64646763,64646763,2,1,2844457572,73389,73389,2,2,2,64646763,10,3,193817,24344598,1346570,30463,6755,885170588,616218,9720627,7447
25147.90,23,262144,64,49175,3240566348,64,44,121,585,721894,15,10230,58,67,7674,125280612,1172,1,66,7671,1742988,2,79536,585,12553817,41154519,1001114170,585,1098,2,1,2,2,707,1,996581788,950682613,187916353,73288435,73304819,2,1,3224691140,73389,73389,2,2,2,73288435,10,3,201125,26939007,1428360,34388,7605,996581788,687506,11125731,7447
30169.86,23,262144,64,54694,3604117696,64,44,121,585,795108,15,11736,58,67,7674,125280612,1172,1,66,8483,1888430,2,79536,585,13986233,45724469,1108042277,585,1098,2,1,2,2,707,1,1103012252,1056917878,256099333,81555434,81571818,2,1,3588439096,73389,73389,2,2,2,81555434,10,3,207372,29600580,1519574,37911,8417,1103012252,757197,12467161,7447
35191.38,23,262144,64,61402,4046134318,64,44,123,585,885025,15,13676,58,67,7674,125546064,1172,1,66,9468,2059807,2,79536,585,16305786,50747903,1237735747,585,1098,2,1,2,2,707,1,1232118172,1186123797,370678455,91612163,91612163,2,1,4030935172,73389,73389,2,2,2,91612163,10,3,216334,32187734,1631112,42116,9402,1232118172,842909,14675077,7447
40197.19,23,262144,64,82062,5407275282,64,44,126,585,1074788,15,19473,58,67,7674,125811516,1172,1,66,12502,2163639,2,79536,585,21547837,54547710,1636977957,585,1098,2,1,2,2,707,1,1629790620,1584084616,425439456,122544206,122544206,2,1,5391224168,73389,73389,2,2,2,122527822,10,3,236916,34144929,1804190,48865,12436,1629790620,1025923,19744251,7447
45203.36,23,262144,64,127583,8407238882,64,44,134,585,1432742,15,32276,58,67,7674,127368030,1172,1,66,19191,2165138,2,79536,585,33402903,54825411,2516918597,585,1098,2,1,2,2,707,1,2506400156,2460910908,501214912,190721277,190737661,2,1,8391736188,73389,73389,2,2,2,190721277,10,3,268169,34941376,2044078,59477,19125,2506400156,1373265,31358442,7447
50209.21,23,262144,64,172831,11388538930,64,44,141,585,1794085,15,45051,58,67,7674,128417772,1172,1,66,25838,2166909,2,79536,585,43726286,54972101,3391602606,585,1098,2,1,2,2,707,1,3377766812,3332418431,527932302,258487033,258487033,2,1,11372708556,73389,73389,2,2,2,258470649,10,3,292798,35740916,2245750,70167,25772,3377766812,1723918,41479704,7447
55215.13,23,262144,64,218541,14400382062,64,44,149,585,2157100,15,57951,58,67,7674,129479580,1172,1,66,32553,2170373,2,79536,585,54691075,55256886,4274953774,585,1098,2,1,2,2,707,1,4257784220,4212891693,573941137,326922374,326938758,2,1,14384584456,73389,73389,2,2,2,326922374,10,3,312795,36581731,2452862,80415,32487,4257784220,2076685,52236951,7447
