timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5010.47,262144,64,68232,4496134266,64,72,124,0,585,683016,5,15545,67,41,125546064,1172,1,66,10471,72552,2,2333,585,13393458,2403520,1368831545,585,281,2,1,2,2,375,1,1363583388,1317766331,30778402,101832732,101849116,2,1,4480640208,73389,73389,2,2,2,101832732,5,3,300855,3059690,1339563,17756,10405,1363583388,665260,12052135,4104
10017.13,262144,64,118837,7830875602,64,72,132,0,585,1088571,5,29826,67,41,127102578,1172,1,66,17904,73772,2,2333,585,23904804,2502623,2346751132,585,281,2,1,2,2,375,1,2337841564,2292465666,56118316,177631793,177631793,2,1,7815077996,73389,73389,2,2,2,177615409,5,3,317298,3886629,1542221,27642,17838,2337841564,1060929,22360862,4104
15022.12,262144,64,172195,11346761506,64,72,141,0,585,1530600,5,44877,67,41,128417772,1172,1,66,25745,74599,2,2333,585,34724129,2510946,3378333806,585,281,2,1,2,2,375,1,3365577116,3320243833,82278758,257514344,257536761,2,1,11330631136,73389,73389,2,2,2,257514344,5,3,340895,4711400,1738662,36785,25679,3365577116,1493815,32983511,4104
20026.58,262144,64,222306,14648717814,64,72,150,0,585,1934657,5,58992,67,41,129745032,1172,1,66,33106,75617,2,2333,585,45228839,2569303,4346789126,585,281,2,1,2,2,375,1,4330398108,4285473290,127644636,332578284,332594668,2,1,14633444496,73389,73389,2,2,2,332578284,5,3,365338,5492271,1931939,45653,33040,4330398108,1889004,43294378,4104
25042.58,262144,64,251303,16559224778,64,72,154,0,585,2204091,5,67165,67,41,130275936,1172,1,66,37365,110627,2,2333,585,51042515,4667174,4907190702,585,281,2,1,2,2,375,1,4888633756,4844006846,214064629,375987570,376003954,2,1,16543453080,73389,73389,2,2,2,375987570,5,3,382569,7047273,2124663,53870,37300,4888633756,2150221,48915050,4104
30065.38,262144,64,258924,17061329154,64,72,156,1,585,2315339,5,69356,67,41,130541388,1172,1,66,38485,186844,2,2333,585,54465938,9582273,5054651219,585,281,2,1,2,2,375,1,5035434396,4990715880,249257383,387410204,387410204,2,1,17046048976,73389,73389,2,2,2,387410204,5,3,395187,9233533,2301266,59118,38419,5035434396,2256221,52162109,4104
35070.66,262144,64,275565,18158019126,64,72,158,1,585,2502292,5,74004,67,41,130806840,1172,1,66,40931,262595,2,2333,585,58350815,13513122,5376551589,585,281,2,1,2,2,375,1,5356036508,5311310970,325782052,412346147,412346147,2,1,18142509572,73389,73389,2,2,2,412329763,5,3,419274,11200847,2497391,67115,40865,5356036508,2435177,55851365,4104
40075.20,262144,64,334339,22030802698,64,72,168,1,585,2959114,5,90528,67,41,132399552,1172,1,66,49565,262875,2,2333,585,69589431,13681247,6512488220,585,281,2,1,2,2,375,1,6487712156,6443488833,366512800,500346082,500362466,2,1,22015227608,73389,73389,2,2,2,500346082,5,3,461176,12075007,2725535,77389,49499,6487712156,2881725,66861651,4104
45091.99,262144,64,358570,23627299978,64,72,172,1,585,3206848,5,97410,67,41,132930456,1172,1,66,53122,295584,2,2333,585,75303032,16634494,6980558854,585,281,2,1,2,2,375,1,6953935260,6910161826,544986981,536633090,536649474,2,1,23611855960,73389,73389,2,2,2,536633090,5,3,477734,13718917,2984925,87189,53056,6953935260,3119659,72316163,4104
50097.30,262144,64,398752,26275014004,64,72,179,1,585,3567838,5,108699,67,41,133992264,1172,1,66,59023,309456,2,2333,585,83659410,18795329,7756984960,585,281,2,1,2,2,375,1,7727391132,7684157871,606773285,596809624,596826008,2,1,26259623456,73389,73389,2,2,2,596809624,5,3,513970,15056055,3275766,97549,58957,7727391132,3470289,80381931,4104
