timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5026.82,7,262144,64,29213,1924904060,64,44,117,0,585,461605,8,4565,67,3,124484256,1172,1,66,4736,355921,2,77688,585,6010528,10602335,614526875,585,753,2,1,2,2,786,1,611885468,565978936,26623555,43398935,43415319,2,1,1909553140,73389,73389,2,2,2,43398935,14,1,3,299052,7770798,1532029,18693,4670,611885468,442912,4477337,8120
10050.41,7,262144,64,34723,2288131036,64,44,118,0,585,539373,8,6125,67,3,124749708,1172,1,66,5548,530369,2,77688,585,7966521,15495286,721459788,585,753,2,1,2,2,786,1,718315932,672184825,52965737,51655583,51655583,2,1,2272845652,73389,73389,2,2,2,51655583,14,1,3,303390,10489303,1621897,22525,5482,718315932,516848,6343717,8120
15101.60,7,262144,64,39473,2601019748,64,44,119,0,585,609403,8,7474,67,3,124749708,1172,1,66,6246,751034,2,77688,585,9518426,20508726,813386258,585,753,2,1,2,2,786,1,809804188,763602896,84747737,58761477,58777861,2,1,2585504988,73389,73389,2,2,2,58761477,14,1,3,305798,13402753,1714324,25976,6180,809804188,583427,7802630,8120
20124.16,7,262144,64,43688,2878846700,64,44,120,1,585,669262,8,8679,67,3,125015160,1172,1,66,6866,1074386,2,77688,585,10958697,25617001,895043595,585,753,2,1,2,2,786,1,891068828,844869218,103215477,65072747,65089131,2,1,2863200868,73389,73389,2,2,2,65072747,14,1,3,306661,16569454,1766313,28988,6800,891068828,640274,9190165,8120
25207.60,7,262144,64,47772,3148088436,64,44,120,1,585,727092,8,9794,67,3,125015160,1172,1,66,7465,1385524,2,77688,585,12739497,30993671,973925371,585,753,2,1,2,2,786,1,969580956,923557068,168720224,71203793,71203793,2,1,3132966892,73389,73389,2,2,2,71203793,14,1,3,308315,20059429,1824340,32028,7399,969580956,695064,10913005,8120
30224.22,7,262144,64,52089,3432600060,64,44,121,1,585,789950,8,11025,67,3,125280612,1172,1,66,8101,1775846,2,77688,585,14793150,36907559,1057686159,585,753,2,1,2,2,786,1,1052942748,1006794136,221631174,77654327,77670711,2,1,3416790388,73389,73389,2,2,2,77654327,14,1,3,311906,23539099,1896253,35259,8035,1052942748,754691,12894434,8120
35250.62,7,262144,64,56424,3718037946,64,44,122,1,585,851677,8,12264,67,3,125280612,1172,1,66,8733,2148060,2,77688,585,16111632,42345072,1140918145,585,753,2,1,2,2,786,1,1135780252,1090176560,298590459,84147980,84164364,2,1,3702511120,73389,73389,2,2,2,84147980,14,1,3,318945,27121605,1986992,38443,8667,1135780252,813234,14122594,8120
40275.57,7,262144,64,60142,3963028054,64,44,122,1,585,904612,8,13278,67,3,125280612,1172,1,66,9282,2542737,2,77688,585,17274535,47588108,1213220575,585,753,2,1,2,2,786,1,1207738780,1161791590,345933787,89715937,89732321,2,1,3947501228,73389,73389,2,2,2,89715937,14,1,3,321155,31022941,2036859,41375,9216,1207738780,863237,15235631,8120
45296.61,7,262144,64,64120,4225322974,64,44,123,1,585,966983,8,14417,67,3,125546064,1172,1,66,9866,2862559,2,77688,585,18380952,52467534,1290131152,585,753,2,1,2,2,786,1,1284284828,1238530718,375268373,95683143,95683143,2,1,4210058292,73389,73389,2,2,2,95683143,14,1,3,325456,34666074,2107579,46661,9800,1284284828,920322,16270999,8120
50323.30,7,262144,64,68106,4487876730,64,44,124,1,585,1025718,8,15558,67,3,125546064,1172,1,66,10451,3179985,2,77688,585,19904782,57925964,1367304247,585,753,2,1,2,2,786,1,1361093020,1315301620,411982755,101636124,101652508,2,1,4471989456,73389,73389,2,2,2,101636124,14,1,3,334022,38125634,2190707,49542,10386,1361093020,976176,17712126,8120
55334.92,7,262144,64,71707,4724933674,64,44,124,1,585,1076992,8,16539,67,3,125546064,1172,1,66,10981,3479442,2,77688,585,20827924,62682001,1436978164,585,753,2,1,2,2,786,1,1430430108,1384616004,428190452,107017824,107034208,2,1,4708784256,73389,73389,2,2,2,107017824,14,1,3,340092,41396642,2262377,52371,10915,1430430108,1024621,18563865,8120
60361.74,7,262144,64,76147,5017771678,64,44,125,1,585,1145473,8,17803,67,3,125811516,1172,1,66,11633,3809484,2,77688,585,22010810,67700483,1522843300,585,753,2,1,2,2,786,1,1515889052,1470199026,529984690,113679191,113695575,2,1,5001884404,73389,73389,2,2,2,113679191,14,1,3,342070,44870792,2318862,58507,11567,1515889052,1086966,19689673,8120
65441.99,7,262144,64,80170,5282750266,64,44,126,1,585,1204320,8,18957,67,3,125811516,1172,1,66,12224,4120528,2,77688,585,23772594,73668582,1600676935,585,753,2,1,2,2,786,1,1593352604,1547670373,618623328,119714092,119714092,2,1,5267420048,73389,73389,2,2,2,119714092,14,1,3,348686,48081395,2412590,61561,12158,1593352604,1142759,21357269,8120
70470.19,7,262144,64,84841,5590461634,64,44,127,1,585,1268776,8,20246,67,3,125811516,1172,1,66,12911,4493222,2,77688,585,26322256,79564793,1691143982,585,753,2,1,2,2,786,1,1683399068,1637602338,793288431,126697106,126713490,2,1,5574672664,73389,73389,2,2,2,126697106,14,1,3,352907,51293767,2495707,64667,12845,1683399068,1204109,23824003,8120
75482.59,7,262144,64,91098,6002885322,64,44,128,1,585,1356359,8,22047,67,3,126318288,1172,1,66,13830,4601227,2,77688,585,28373289,84365131,1812154391,585,753,2,1,2,2,786,1,1803854236,1758127996,892174588,136082091,136082091,2,1,5987612004,73389,73389,2,2,2,136082091,14,1,3,355205,53960775,2587728,68950,13764,1803854236,1287409,25782589,8120
80511.47,7,262144,64,101832,6710330526,64,44,129,1,585,1488994,8,25031,67,3,126571674,1172,1,66,15410,4694793,2,77688,585,31907521,89191223,2020140101,585,753,2,1,2,2,786,1,2010947996,1964906814,937947199,152163370,152163370,2,1,6695188280,73389,73389,2,2,2,152163370,14,1,3,356996,56286283,2741377,75058,15344,2010947996,1413936,29163330,8120
85518.14,7,262144,64,137286,9046320114,64,44,135,1,585,1805723,8,34990,67,3,127368030,1172,1,66,20617,4726329,2,77688,585,40763965,93257214,2705253664,585,753,2,1,2,2,786,1,2693439900,2647800429,1028643847,205252553,205252553,2,1,9030391436,73389,73389,2,2,2,205236169,14,1,3,388613,57727348,3003529,85137,20551,2693439900,1720586,37758092,8120
