timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5095.34,262144,64,27934,1840818064,64,42,117,585,371064,4,4220,67,50,124484256,1172,1,66,4550,217912,2,12110,585,5178061,6786019,590066874,585,371,2,1,2,2,581,1,587637148,541380755,25129911,41492358,41492358,2,1,1825663752,73389,73389,2,2,2,41492358,7,3,242717,4697646,1065195,11313,4485,587637148,359751,4112334,4652
10153.39,262144,64,33628,2216103664,64,42,118,585,448178,4,5826,67,50,124749708,1172,1,66,5389,454647,2,12110,585,7200539,11548141,700417691,585,371,2,1,2,2,581,1,697475484,651095869,57218438,50011150,50027534,2,1,2200490600,73389,73389,2,2,2,50011150,7,3,251310,7491466,1183710,15724,5323,697475484,432454,6016235,4652
15181.80,262144,64,38977,2568248440,64,42,119,585,522675,4,7341,67,50,124749708,1172,1,66,6169,561232,2,12110,585,9190090,16569173,803135559,585,371,2,1,2,2,581,1,799711644,754006249,104327157,58018164,58034548,2,1,2552799216,73389,73389,2,2,2,58018164,7,3,255938,9895888,1273696,19556,6104,799711644,503119,7915624,4652
20204.68,262144,64,44374,2924069848,64,42,120,585,596206,4,8865,67,50,125015160,1172,1,66,6966,755615,2,12110,585,11351744,21494023,908083841,585,371,2,1,2,2,581,1,904176028,858100934,149994766,66110972,66110972,2,1,2908161872,73389,73389,2,2,2,66094588,7,3,262918,12599925,1369428,22991,6900,904176028,573215,9981175,4652
25237.61,262144,64,50372,3319278392,64,42,121,585,672891,4,10557,67,50,125280612,1172,1,66,7846,861302,2,12110,585,13072498,26397411,1024093165,585,371,2,1,2,2,581,1,1019650460,973653746,204710613,75080324,75096708,2,1,3303534256,73389,73389,2,2,2,75080324,7,3,266029,15200012,1441726,26710,7781,1019650460,646181,11629096,4652
30261.82,262144,64,56815,3743927974,64,42,122,585,757237,4,12371,67,50,125280612,1172,1,66,8792,1084142,2,12110,585,15255568,31368515,1148530032,585,371,2,1,2,2,581,1,1143513500,1097767656,259073813,84743837,84743837,2,1,3728728828,73389,73389,2,2,2,84743837,7,3,275485,17916103,1551619,32366,8726,1143513500,724871,13700748,4652
35271.44,262144,64,62422,4113246490,64,42,123,585,847040,4,13953,67,50,125546064,1172,1,66,9614,1255438,2,12110,585,17639568,36473790,1256913545,585,371,2,1,2,2,581,1,1251385756,1205770343,374764735,93125524,93141908,2,1,4097523056,73389,73389,2,2,2,93125524,7,3,284879,20596786,1668258,50715,9549,1251385756,796325,15967634,4652
40287.65,262144,64,68407,4507603066,64,42,124,585,929439,4,15641,67,50,125546064,1172,1,66,10495,1419978,2,12110,585,19648768,41197397,1372792129,585,371,2,1,2,2,581,1,1366729116,1321075230,404078705,102094876,102094876,2,1,4492174544,73389,73389,2,2,2,102094876,7,3,292422,23369032,1767250,56132,10429,1366729116,873307,17877689,4652
45304.58,262144,64,75413,4969402802,64,42,125,585,1022287,4,17606,67,50,125811516,1172,1,66,11526,1570411,2,12110,585,21542842,45802927,1508542277,585,371,2,1,2,2,581,1,1501864348,1456035633,446690351,112591814,112591814,2,1,4954039816,73389,73389,2,2,2,112591814,7,3,296378,25878268,1862420,60618,11460,1501864348,961669,19676769,4652
50310.46,262144,64,115013,7578938678,64,42,132,585,1332605,4,28757,67,50,127102578,1172,1,66,17343,1592154,2,12110,585,31724371,47107677,2273891671,585,371,2,1,2,2,581,1,2264310172,2218741122,528657868,171899996,171916380,2,1,7563599824,73389,73389,2,2,2,171899996,7,3,322129,26837460,2086130,70106,17277,2264310172,1262499,29634259,4652
55316.78,262144,64,158898,10470647706,64,42,139,585,1682731,4,41142,67,50,128152320,1172,1,66,23792,1593917,2,12110,585,42442992,47278221,3122382127,585,371,2,1,2,2,581,1,3109593500,3064096867,555827981,237611719,237628103,2,1,10454915636,73389,73389,2,2,2,237611719,7,3,339067,27613117,2304525,80336,23727,3109593500,1602395,40134234,4652
60322.57,262144,64,201873,13302200136,64,42,146,585,2022313,4,53247,67,50,129214128,1172,1,66,30104,1596357,2,12110,585,53193641,47480571,3952856303,585,371,2,1,2,2,581,1,3936919964,3891772869,590753153,301967888,301984272,2,1,13286587072,73389,73389,2,2,2,301967888,7,3,355289,28381070,2504788,90211,30038,3936919964,1932102,50684668,4652
