timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5016.04,262144,64,36511,2406105760,64,54,118,585,447426,2,6610,67,104,124749708,1172,1,66,5810,125020,2,6499,585,7242630,5362465,755673104,585,250,2,1,2,2,303,1,752656796,706644315,24732448,54327890,54344274,2,1,2390427160,73389,73389,2,2,2,54327890,4,3,298892,3846808,1428728,13181,5744,752656796,434245,5813802,4768
10028.32,262144,64,43631,2875111148,64,54,120,585,546564,2,8664,67,104,125015160,1172,1,66,6855,261083,2,6499,585,9765468,9957228,893401014,585,250,2,1,2,2,303,1,889758108,843733970,66210267,64990827,65007211,2,1,2859596388,73389,73389,2,2,2,64990827,4,3,307578,6164485,1549840,19217,6790,889758108,527347,8215651,4768
15032.70,262144,64,65037,4285684938,64,54,123,585,755165,2,14635,67,104,125546064,1172,1,66,9999,326536,2,6499,585,14362505,13347441,1306993783,585,250,2,1,2,2,303,1,1301717404,1256126835,120771725,97049048,97065432,2,1,4270158112,73389,73389,2,2,2,97049048,4,3,325321,8142629,1732695,26188,9934,1301717404,728978,12630086,4768
20038.18,262144,64,114931,7573564726,64,54,132,585,1169401,2,28723,67,104,127102578,1172,1,66,17332,328561,2,6499,585,25410541,13811272,2271765964,585,250,2,1,2,2,303,1,2262868380,2217217045,157557801,171785308,171785308,2,1,7557832656,73389,73389,2,2,2,171768924,4,3,350807,9018790,1947897,36132,17266,2262868380,1133269,23462662,4768
25043.09,262144,64,166245,10954529766,64,54,140,585,1595216,2,43179,67,104,128152320,1172,1,66,24869,332976,2,6499,585,35711587,13872063,3263250465,585,250,2,1,2,2,303,1,3250626972,3205577508,193078049,248618720,248635104,2,1,10939223680,73389,73389,2,2,2,248618720,4,3,398765,9899862,2192587,46409,24803,3250626972,1548807,33518843,4768
30047.40,262144,64,216246,14249180586,64,54,149,585,1998310,2,57278,67,104,129479580,1172,1,66,32215,333833,2,6499,585,46882780,13959687,4229860051,585,250,2,1,2,2,303,1,4213612956,4168719831,229038098,323480019,323496403,2,1,14233120836,73389,73389,2,2,2,323480019,4,3,434954,10701457,2398036,55818,32149,4213612956,1942492,44484151,4768
35052.15,262144,64,272874,17980599942,64,54,158,585,2482240,2,73270,67,104,130806840,1172,1,66,40534,334436,2,6499,585,57177055,13992801,5324370243,585,250,2,1,2,2,303,1,5304000924,5259398270,254437003,408307935,408324319,2,1,17965549140,73389,73389,2,2,2,408307935,4,3,468034,11622995,2633833,65664,40468,5304000924,2416576,54542854,4768
40078.53,262144,64,282832,18636923758,64,54,160,585,2600692,2,76097,67,104,131337744,1172,1,66,41999,437258,2,6499,585,59879516,17835882,5517216597,585,250,2,1,2,2,303,1,5496021404,5451349764,289488822,423228109,423228109,2,1,18622036796,73389,73389,2,2,2,423228109,4,3,473170,13859322,2743922,71402,41933,5496021404,2529290,57135420,4768
45097.30,262144,64,289387,19068635854,64,54,161,585,2692144,2,77940,67,104,131337744,1172,1,66,42960,550885,2,6499,585,61946422,22572669,5643888829,585,250,2,1,2,2,303,1,5622112668,5577528208,314816672,433033045,433049429,2,1,19053453980,73389,73389,2,2,2,433033045,4,3,477774,16434931,2845114,75907,42895,5622112668,2616237,59101409,4768
50115.15,262144,64,294519,19407090222,64,54,162,585,2762495,2,79392,67,104,131603196,1172,1,66,43716,701378,2,6499,585,63814819,27409224,5743325193,585,250,2,1,2,2,303,1,5721072028,5676497229,471005357,440732637,440732637,2,1,19392236028,73389,73389,2,2,2,440732637,4,3,486921,19016093,2954913,79595,43650,5721072028,2682900,60860084,4768
