timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5020.28,4,262144,64,36107,2379363764,55,46,118,0,585,532852,12,6500,58,3,124749708,1172,1,57,5743,573376,2,315745,585,7179980,15126904,748234118,585,1181,2,1,2,2,1107,1,745054620,698843236,38444986,53715649,53732033,2,1,2363488556,73389,73389,2,2,2,53715649,21,2,3,245436,11352999,1382331,44384,5686,745054620,488468,5797019,6788
10024.98,4,262144,64,88343,5821295966,55,46,127,0,585,962041,12,21243,58,3,126076968,1172,1,57,13414,575817,2,315745,585,17990347,15280435,1757462770,585,1181,2,1,2,2,1107,1,1750507932,1705026789,64615121,131953767,131970151,2,1,5805965748,73389,73389,2,2,2,131953767,21,2,3,288732,12240470,1612543,54428,13357,1750507932,907613,16377140,6788
15029.61,4,262144,64,136850,9017601626,55,46,135,0,585,1356282,12,34911,58,3,127368030,1172,1,57,20542,577182,2,315745,585,28730690,15570613,2695268494,585,1181,2,1,2,2,1107,1,2684789148,2639312593,111565801,204591160,204613577,2,1,9002011040,73389,73389,2,2,2,204591160,21,2,3,330241,13097680,1822886,64385,20485,2684789148,1291897,26907649,6788
20034.79,4,262144,64,186179,12268357046,55,46,144,0,585,1756176,12,48804,58,3,128948676,1172,1,57,27790,581105,2,315745,585,39709878,15738717,3648848909,585,1181,2,1,2,2,1107,1,3634799004,3589543509,155402080,278475452,278491836,2,1,12252919888,73389,73389,2,2,2,278475452,21,2,3,361635,13972475,2039395,74368,27733,3634799004,1681808,37669992,6788
25061.06,4,262144,64,202506,13343937810,55,46,146,0,585,1920774,12,53420,58,3,129214128,1172,1,57,30186,691443,2,315745,585,44251953,19094752,3964170607,585,1181,2,1,2,2,1107,1,3948847516,3904046649,217692763,302924193,302924193,2,1,13328664492,73389,73389,2,2,2,302924193,21,2,3,380261,16171311,2210666,80353,30129,3948847516,1840421,42041115,6788
30086.55,4,262144,64,208029,13707751302,55,46,147,0,585,1995310,12,54981,58,3,129214128,1172,1,57,30998,908859,2,315745,585,45945873,23826044,4071102936,585,1181,2,1,2,2,1107,1,4055277980,4010347530,269940927,311183000,311199384,2,1,13692052000,73389,73389,2,2,2,311183000,21,2,3,385942,18857224,2298036,84147,30941,4055277980,1911163,43647765,6788
35111.44,4,262144,64,213636,14077335270,55,46,148,0,585,2070202,12,56563,58,3,129479580,1172,1,57,31821,1149365,2,315745,585,48315593,29231111,4179610828,585,1181,2,1,2,2,1107,1,4163281308,4118386365,359811767,319587104,319603488,2,1,14061832576,73389,73389,2,2,2,319587104,21,2,3,395804,21611023,2430221,87976,31765,4163281308,1982226,45885146,6788
40134.78,4,262144,64,218573,14402479214,55,46,149,1,585,2136010,12,57966,58,3,129479580,1172,1,57,32548,1334570,2,315745,585,49843073,34430203,4275221781,585,1181,2,1,2,2,1107,1,4258439580,4213490308,386787234,326971526,326987910,2,1,14386747144,73389,73389,2,2,2,326971526,21,2,3,398660,24480170,2503107,91252,32491,4258439580,2044758,47339571,6788
45150.96,4,262144,64,224648,14802999482,55,46,150,1,585,2215714,12,59676,58,3,129745032,1172,1,57,33439,1496162,2,315745,585,51616456,39242621,4392549860,585,1181,2,1,2,2,1107,1,4375224732,4330539973,412153166,336086175,336086175,2,1,14787791700,73389,73389,2,2,2,336086175,21,2,3,403294,27119776,2603966,95232,33382,4375224732,2120482,49012244,6788
50215.89,4,262144,64,231641,15263947250,55,46,151,1,585,2304593,12,61641,58,3,130010484,1172,1,57,34467,1626464,2,315745,585,53760681,44161113,4527904508,585,1181,2,1,2,2,1107,1,4509966748,4465312112,437221841,346558537,346574921,2,1,15248575628,73389,73389,2,2,2,346558537,21,2,3,407362,29685060,2712039,99427,34410,4509966748,2205166,51048295,6788
