timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5030.44,8,262144,64,26366,1737381920,57,43,117,0,585,425815,8,3792,60,124484256,1172,1,59,4310,658508,2,357281,585,5735510,14069603,559552814,585,1733,2,1,2,2,783,1,557097372,511090132,39537154,39131347,39153764,2,1,1721779268,73389,73389,2,2,2,39131347,15,3,255930,10325413,1423112,18607,4252,557097372,407208,4311789,7250
10050.54,8,262144,64,32638,2150692120,57,43,118,0,585,514431,8,5556,60,124749708,1172,1,59,5233,803193,2,357281,585,7896801,18874325,681090218,585,1733,2,1,2,2,783,1,678076828,631988324,81607242,48524524,48540908,2,1,2135079056,73389,73389,2,2,2,48524524,15,3,264053,12846807,1551221,22878,5175,678076828,491553,6345370,7250
15055.96,8,262144,64,48902,3222409568,57,43,121,0,585,698944,8,10095,60,125015160,1172,1,59,7624,884118,2,357281,585,11768970,23162873,995630665,585,1733,2,1,2,2,783,1,991338908,945344429,113072825,72889186,72889186,2,1,3207124184,73389,73389,2,2,2,72889186,15,3,272872,14944837,1740582,32654,7565,991338908,666290,10028210,7250
20074.25,8,262144,64,71504,4711629866,57,43,124,0,585,936728,8,16485,60,125546064,1172,1,59,10945,943614,2,357281,585,17859015,26611013,1432644706,585,1733,2,1,2,2,783,1,1426629020,1380707710,223452243,106722912,106739296,2,1,4695808128,73389,73389,2,2,2,106722912,15,3,288607,16657946,1951203,50888,10886,1426629020,885840,15908326,7250
25090.43,8,262144,64,80837,5326462778,57,43,126,1,585,1054494,8,19138,60,125811516,1172,1,59,12313,1036616,2,357281,585,20564481,30952216,1612735788,585,1733,2,1,2,2,783,1,1605935516,1560434211,267094239,120697132,120713516,2,1,5310673808,73389,73389,2,2,2,120697132,15,3,295598,19002601,2078745,56295,12254,1605935516,998199,18486328,7250
30099.34,8,262144,64,88932,5860162122,57,43,127,1,585,1160688,8,21402,60,126076968,1172,1,59,13503,1210376,2,357281,585,24302891,36190778,1769406385,585,1733,2,1,2,2,783,1,1761911196,1716433546,333772602,132828152,132844536,2,1,5844438688,73389,73389,2,2,2,132828152,15,3,301755,21431230,2209328,61641,13444,1761911196,1099047,22094492,7250
35115.87,8,262144,64,94547,6230246246,57,43,128,1,585,1240600,8,22987,60,126318288,1172,1,59,14329,1348670,2,357281,585,26229052,40900323,1878176435,585,1733,2,1,2,2,783,1,1870176668,1824569618,356633175,141240448,141256832,2,1,6214579712,73389,73389,2,2,2,141240448,15,3,306254,24297318,2295273,69591,14270,1870176668,1171009,23933811,7250
40136.08,8,262144,64,99244,6539673616,57,43,129,2,585,1307034,8,24324,60,126571674,1172,1,59,15021,1582012,2,357281,585,28022281,46197303,1969308172,585,1733,2,1,2,2,783,1,1960878492,1915027789,391473712,148272614,148288998,2,1,6523995016,73389,73389,2,2,2,148272614,15,3,310397,27351826,2355687,72747,14962,1960878492,1234287,25665892,7250
45152.09,8,262144,64,103376,6812049014,57,43,130,2,585,1361623,8,25508,60,126837126,1172,1,59,15628,1912720,2,357281,585,29811509,52332316,2049245145,585,1733,2,1,2,2,783,1,2040439196,1994634270,432704142,154477388,154477388,2,1,6797005072,73389,73389,2,2,2,154477388,15,3,317662,30989703,2455366,75395,15569,2040439196,1286228,27355613,7250
50192.96,8,262144,64,107886,7109233218,57,43,130,2,585,1423959,8,26736,60,126837126,1172,1,59,16291,2107007,2,357281,585,30894953,57114851,2136560132,585,1733,2,1,2,2,783,1,2127339932,2081522589,462853255,161214642,161231026,2,1,7093444248,73389,73389,2,2,2,161214642,15,3,319439,34122109,2503001,78387,16232,2127339932,1345572,28390746,7250
55225.10,8,262144,64,112254,7397063046,57,43,131,2,585,1486662,8,27984,60,126837126,1172,1,59,16931,2385209,2,357281,585,32887386,62653483,2220849956,585,1733,2,1,2,2,783,1,2211226012,2165589058,553733225,167763480,167779864,2,1,7381593120,73389,73389,2,2,2,167763480,15,3,327578,37250387,2591706,81292,16872,2211226012,1405370,30294703,7250
60284.78,8,262144,64,116538,7679411982,57,43,132,2,585,1546715,8,29203,60,127102578,1172,1,59,17559,2715460,2,357281,585,34686460,68026718,2303558778,585,1733,2,1,2,2,783,1,2293539228,2248167879,624491253,174189438,174189438,2,1,7663614376,73389,73389,2,2,2,174173054,15,3,330588,40445099,2655099,84282,17500,2293539228,1462433,32030318,7250
