timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5033.29,6,262144,64,29656,1954201960,64,44,117,585,427955,9,4689,67,1,124484256,1172,1,66,4804,453731,2,132492,585,6163689,11526977,623330448,585,1485,2,1,2,2,599,1,620667292,574521609,31506304,44060328,44076712,2,1,1938654432,73389,73389,2,2,2,44060328,7,2,3,215108,8277961,1178694,15081,4738,620667292,412874,4982776,6400
10041.68,6,262144,64,38618,2544721016,64,44,119,585,555236,9,7242,67,1,124749708,1172,1,66,6119,576994,2,132492,585,8987169,15914790,796579059,585,1485,2,1,2,2,599,1,793158044,747178535,67254148,57477492,57493876,2,1,2529009648,73389,73389,2,2,2,57477492,7,2,3,227394,10591130,1321226,29868,6053,793158044,525368,7664685,6400
15052.00,6,262144,64,52137,3435745788,64,44,121,585,714301,9,11037,67,1,125280612,1172,1,66,8107,659598,2,132492,585,13121665,20118160,1058242715,585,1485,2,1,2,2,599,1,1053729180,1007717790,98970065,77736247,77736247,2,1,3419673972,73389,73389,2,2,2,77719863,7,2,3,235528,12655299,1518832,37330,8041,1053729180,676971,11601725,6400
20069.08,6,262144,64,62582,4123997702,64,44,123,585,855487,9,13998,67,1,125546064,1172,1,66,9640,773055,2,132492,585,16670667,24582596,1260042103,585,1485,2,1,2,2,599,1,1254662556,1208875179,146959422,93377317,93393701,2,1,4108601948,73389,73389,2,2,2,93377317,7,2,3,250127,14942608,1717311,49856,9574,1254662556,805631,14952696,6400
25082.48,6,262144,64,70710,4659328830,64,44,124,585,965646,9,16269,67,1,125546064,1172,1,66,10832,913759,2,132492,585,20061784,29752334,1416973150,585,1485,2,1,2,2,599,1,1410900380,1365373393,294414607,105537231,105553615,2,1,4643638164,73389,73389,2,2,2,105537231,7,2,3,266304,17489348,1886639,55186,10766,1410900380,910460,18173851,6400
30106.10,6,262144,64,77559,5110839414,64,44,125,585,1065610,9,18189,67,1,125811516,1172,1,66,11841,1080169,2,132492,585,21895630,34393605,1549827200,585,1485,2,1,2,2,599,1,1543152028,1497402741,327627488,115804793,115804793,2,1,5095410892,73389,73389,2,2,2,115804793,7,2,3,273337,19958031,2007137,69816,11775,1543152028,995794,19887069,6400
35119.82,6,262144,64,99012,6524457198,64,44,129,585,1280934,9,24261,67,1,126571674,1172,1,66,14993,1134037,2,132492,585,26802591,37695290,1964607259,585,1485,2,1,2,2,599,1,1956290972,1910563184,377456355,147928550,147944934,2,1,6508856200,73389,73389,2,2,2,147928550,7,2,3,281836,21571466,2169081,78451,14928,1956290972,1202483,24631774,6400
40131.01,6,262144,64,109143,7192118742,64,44,131,585,1407679,9,27135,67,1,126837126,1172,1,66,16483,1205858,2,132492,585,30157256,42184514,2160615949,585,1485,2,1,2,2,599,1,2151457180,2105719939,422095166,163102676,163119060,2,1,7176517744,73389,73389,2,2,2,163102676,7,2,3,287956,23818005,2316168,86045,16417,2151457180,1321634,27839209,6400
45144.91,6,262144,64,118117,7783424230,64,44,132,585,1531298,9,29637,67,1,127102578,1172,1,66,17798,1330890,2,132492,585,32368974,46533926,2333862639,585,1485,2,1,2,2,599,1,2323947932,2278552084,455201817,176544416,176560800,2,1,7767954304,73389,73389,2,2,2,176544416,7,2,3,290713,26337818,2430785,97006,17733,2323947932,1434301,29937415,6400
50156.48,6,262144,64,153719,10129113146,64,44,138,585,1855795,9,39673,67,1,127886868,1172,1,66,23031,1369414,2,132492,585,41944537,49951348,3022387240,585,1485,2,1,2,2,599,1,3009847708,2964295761,573508021,229862975,229862975,2,1,10113250004,73389,73389,2,2,2,229846591,7,2,3,329833,27819556,2696911,106353,22965,3009847708,1749442,39246983,6400
55172.34,6,262144,64,167640,11046483390,64,44,140,585,2032862,9,43581,67,1,128152320,1172,1,66,25077,1439098,2,132492,585,47230662,54911705,3291684100,585,1485,2,1,2,2,599,1,3278021020,3232479208,691288288,250711554,250711554,2,1,11030587480,73389,73389,2,2,2,250695170,7,2,3,338343,29783430,2907755,115872,25011,3278021020,1916990,44322839,6400
60177.14,6,262144,64,208278,13724190426,64,44,147,585,2414265,9,55050,67,1,129214128,1172,1,66,31043,1459867,2,132492,585,55966395,56743440,4076630549,585,1485,2,1,2,2,599,1,4059996572,4015111458,784751641,311559832,311582249,2,1,13708632608,73389,73389,2,2,2,311559832,7,2,3,369265,30970492,3134814,134120,30977,4059996572,2280145,52831831,6400
65197.41,6,262144,64,259897,17125626586,64,44,156,585,2847297,9,69621,67,1,130541388,1172,1,66,38628,1460680,2,132492,585,66518301,56966179,5074543332,585,1485,2,1,2,2,599,1,5054177692,5009472307,814545159,388864062,388880446,2,1,17110018728,73389,73389,2,2,2,388864062,7,2,3,411101,31925673,3335119,143647,38562,5054177692,2703650,63183852,6400
70211.50,6,262144,64,269016,17726434794,64,44,157,585,2967722,9,72162,67,1,130806840,1172,1,66,39969,1525740,2,132492,585,70281997,61670323,5251080340,585,1485,2,1,2,2,599,1,5229945244,5185119859,918363731,402518794,402535178,2,1,17710826936,73389,73389,2,2,2,402518794,7,2,3,419549,34287664,3504774,149356,39903,5229945244,2818366,66778095,6400
75225.11,6,262144,64,275913,18180825654,64,44,159,585,3062731,9,74154,67,1,130806840,1172,1,66,40983,1661065,2,132492,585,73174469,66358995,5384595662,585,1485,2,1,2,2,599,1,5362852252,5317982772,962905983,412854051,412870435,2,1,18165578244,73389,73389,2,2,2,412854051,7,2,3,427987,36660646,3631593,154923,40917,5362852252,2907808,69543950,6400
80231.55,6,262144,64,303022,19967262802,64,44,163,585,3302824,9,81765,67,1,131603196,1172,1,66,44965,1692138,2,132492,585,79325544,68650911,5908551964,585,1485,2,1,2,2,599,1,5884780956,5840277990,998060961,453433223,453455640,2,1,19951061812,73389,73389,2,2,2,453433223,7,2,3,441941,38090590,3776989,162219,44899,5884780956,3140605,75549337,6400
85236.46,6,262144,64,348999,22996869498,64,44,171,585,3671573,9,94697,67,1,132930456,1172,1,66,51717,1694833,2,132492,585,89679074,68928759,6796892828,585,1485,2,1,2,2,599,1,6769779100,6725873522,1059994705,522314806,522314806,2,1,22981130568,73389,73389,2,2,2,522298422,7,2,3,464600,38882548,3942526,171165,51651,6769779100,3500408,85736938,6400
