timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5077.04,7,262144,64,26428,1741589944,64,45,117,585,690673,7,3807,53,67,117392,124484256,1172,1,66,4329,855298,2,206464,585,0,4682754,18913369,561031381,585,1351,2,1,2,2,770,1,558539164,512397633,37808970,39235684,39235684,2,1,1725649200,73389,73389,2,2,2,39219300,10,3,125941,15061252,895762,22157,4263,558539164,668516,3786887,15092
10102.37,7,262144,64,32425,2136732952,64,45,118,585,781389,7,5498,53,67,117392,124749708,1172,1,66,5211,967227,2,206464,585,0,6210127,23384868,677166717,585,1351,2,1,2,2,770,1,674144668,627959288,57454730,48213228,48213228,2,1,2121382032,73389,73389,2,2,2,48213228,10,3,130759,17448571,970081,37070,5145,674144668,744319,5239279,15092
15114.12,7,262144,64,38756,2553764984,64,45,119,585,865523,7,7281,53,67,117392,124749708,1172,1,66,6139,1148959,2,206464,585,0,8795976,28503312,799355203,585,1351,2,1,2,2,770,1,795779484,749745910,105757503,57690484,57706868,2,1,2538381296,73389,73389,2,2,2,57690484,10,3,135603,20166507,1070098,41197,6073,795779484,824326,7725294,15092
20135.35,7,262144,64,45704,3011763632,64,45,120,585,959440,7,9230,53,67,117392,125015160,1172,1,66,7161,1313779,2,206464,585,0,10772704,33481833,934045974,585,1351,2,1,2,2,770,1,929866140,883706454,157099398,68105502,68105502,2,1,2996642088,73389,73389,2,2,2,68105502,10,3,143542,22790662,1198313,45700,7096,929866140,913740,9573710,15092
25140.85,7,262144,64,64604,4257042398,64,45,123,585,1135924,7,14531,53,67,117392,125546064,1172,1,66,9936,1403150,2,206464,585,0,16154449,37466923,1299087129,585,1351,2,1,2,2,770,1,1293459868,1247811945,210688419,96404039,96404039,2,1,4241056820,73389,73389,2,2,2,96387655,10,3,161243,24712733,1364881,52287,9870,1293459868,1083637,14789057,15092
30146.77,7,262144,64,107815,7104556030,64,45,130,585,1475614,7,26716,53,67,117392,126837126,1172,1,66,16288,1405492,2,206464,585,0,26800543,37608163,2134677440,585,1351,2,1,2,2,770,1,2125898140,2080113042,235294856,161116338,161132722,2,1,7089118872,73389,73389,2,2,2,161116338,10,3,183972,25468180,1570691,62434,16222,2125898140,1413180,25229565,15092
35152.60,7,262144,64,153551,10118103098,64,45,138,585,1844840,7,39628,53,67,117392,127886868,1172,1,66,23005,1407337,2,206464,585,0,38157807,37858824,3018555020,585,1351,2,1,2,2,770,1,3006439836,2961089051,272530442,229600831,229617215,2,1,10102436564,73389,73389,2,2,2,229600831,10,3,217299,26279430,1803974,73139,22939,3006439836,1771701,36353289,15092
40158.37,7,262144,64,196488,12947418546,64,45,145,585,2189637,7,51721,53,67,117392,128948676,1172,1,66,29312,1409597,2,206464,585,0,49305245,38300121,3848361603,585,1351,2,1,2,2,770,1,3833110940,3788106085,336850705,293913881,293913881,2,1,12931489868,73389,73389,2,2,2,293897497,10,3,249035,27071635,2028683,82711,29246,3833110940,2106926,47275576,15092
45164.88,7,262144,64,243196,16025269906,64,45,153,585,2566612,7,64885,53,67,117392,130275936,1172,1,66,36175,1411319,2,206464,585,0,59908487,38353432,4751314467,585,1351,2,1,2,2,770,1,4732658076,4687910534,361341989,363860424,363860424,2,1,16009137760,73389,73389,2,2,2,363844040,10,3,270862,27871745,2215229,92158,36109,4732658076,2474454,57692009,15092
50170.50,7,262144,64,295632,19480297242,64,45,162,585,2997264,7,79695,53,67,117392,131603196,1172,1,66,43881,1412350,2,206464,585,0,71031285,38442594,5765179561,585,1351,2,1,2,2,770,1,5742698908,5697943681,432911563,442393454,442393454,2,1,19464591080,73389,73389,2,2,2,442377070,10,3,297352,28717091,2448794,102686,43815,5742698908,2894578,68580635,15092
