arrival_ms,start_ms,end_ms,latency_ms,qid
624.3147,624.4066,213821.8076,213197.4010,np_default_87
1681.0887,1681.1674,218935.2359,217254.0685,np_default_87
7738.8371,7738.9316,222420.9340,214682.0024,np_default_87
9057.3752,9057.4171,225738.1952,216680.7782,np_default_87
9869.0533,9869.1418,26761.3648,16892.2230,p_default_330
13440.6858,13440.8029,30590.7678,17149.9649,p_default_330
34511.2190,34511.3109,45740.2118,11228.9008,p_default_330
35869.6403,35869.7140,241135.9708,205266.2568,np_default_87
36320.2638,36320.3609,241974.2306,205653.8697,np_default_87
45220.5139,45220.6156,246080.2481,200859.6325,np_default_87
49896.6487,49896.7368,250642.1541,200745.4173,np_default_87
51475.9439,51476.0281,68598.6243,17122.5962,p_default_330
56350.2272,56350.3013,73724.1876,17373.8864,p_default_330
72033.0925,72033.1552,260879.4165,188846.2614,np_default_87
74048.8621,74048.9318,259597.6677,185548.7359,np_default_87
75078.5862,75078.6655,99820.4065,24741.7411,p_default_330
77764.2556,77764.3565,109710.5167,31946.1603,p_default_330
78813.4495,78813.5593,260788.6443,181975.0850,np_default_87
83518.0254,83518.1236,263893.7055,180375.5818,np_default_87
86775.4265,86775.5172,262574.2727,175798.7555,np_default_87
86801.0164,86801.0475,266325.8273,179524.7798,np_default_87
88638.3155,88638.3946,124358.2002,35719.8056,p_default_330
93435.1211,93435.2235,265205.6132,171770.3896,np_default_87
95129.8455,95129.9145,265383.0359,170253.1214,np_default_87
97360.0502,97360.1176,132675.7718,35315.6543,p_default_330
105040.2760,105040.3694,267316.1362,162275.7668,np_default_87
105879.1696,105879.2625,268797.8435,162918.5810,np_default_87
110269.8717,110269.9673,267796.0246,157526.0573,np_default_87
116508.5209,116508.6145,160512.6788,44004.0644,p_default_330
117159.7789,117159.8316,270011.2594,152851.4278,np_default_87
120894.4458,120894.5289,167713.1899,46818.6610,p_default_330
126819.2056,126819.2841,174622.4810,47803.1969,p_default_330
143785.5347,143785.5898,193385.3363,49599.7465,p_default_330
144680.6734,144680.7451,274677.1051,129996.3600,np_default_87
145786.0533,145786.1200,274656.8175,128870.6975,np_default_87
147562.3237,147562.3845,275492.6387,127930.2542,np_default_87
152094.4104,152094.5186,200382.8110,48288.2924,p_default_330
165459.1312,165459.2092,275882.7436,110423.5344,np_default_87
165482.0490,165482.0804,206187.4291,40705.3487,p_default_330
165709.3133,165709.4021,276090.8468,110381.4447,np_default_87
177249.3980,177249.4988,210040.5186,32791.0199,p_default_330
