timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
557777.35,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,2097278,2,1,1081,0,0,0,0,0,0,0,0,0,0,0,0,1081,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
559782.83,3,253952,62,38020,2503949842,4,5448121,0,174,16,16,792,291,1,576,304276,0,27,14877,27,2957,105263210,1154,1,1081,0,4,7359,47132837,8,188411064,26,30,16,10,3646,576,1081,4,0,0,19543384,395747,814527490,0,576,572,0,3,1,14,14,7966,3,815226576,791214500,25309270,47970071,47970071,1,3,1,2494443724,73389,73389,14,14,14,47970075,10,3,106523,310998,558551,6810,815226576,304276,18985596,1989
561792.48,6,253952,62,72480,4773662442,9,11570384,0,319,21,21,792,519,1,576,534230,0,27,28466,27,2957,107507486,1154,1,1081,0,4,7359,90203101,8,360618300,26,35,16,10,3646,576,1081,4,0,0,35462318,499325,1535112764,0,576,572,0,3,1,14,14,7966,3,1537183906,1505809346,47519158,91604859,91621243,1,3,1,4761748764,73389,73389,14,14,14,91572095,10,3,124770,546350,844941,12812,1537183906,534230,34618762,1989
563798.17,11,253952,62,113101,7451727418,10,13889585,0,515,22,22,792,778,10,594,877618,0,27,44473,27,2957,117031422,1190,1,1081,0,4,7359,140988036,8,563693512,26,36,16,10,3646,594,1081,4,0,0,57697531,962213,2383159273,0,594,587,0,3,1,14,14,7966,3,2382202745,2349152734,72561613,143081933,143098317,1,3,1,7440260548,73389,73389,14,14,14,143081937,10,3,138435,897343,1260999,19821,2382202745,877618,56438715,2056
565802.56,13,253952,62,144836,9543457718,15,20335718,0,620,22,22,792,982,10,612,1071626,0,27,56886,27,2957,121795814,1226,1,1081,0,4,7359,180335396,8,721212428,26,36,16,10,3646,612,1081,4,0,0,71388280,964999,3048942346,0,612,598,0,3,1,14,14,7966,3,3048505924,3008099633,92698380,183232962,183265730,1,3,1,9528114056,73389,73389,14,14,14,183232966,10,3,158657,1095970,1518671,25347,3048505924,1071626,69872354,2119
567813.33,17,253952,62,177588,11698626310,17,24575457,0,790,27,27,792,1197,12,639,1342493,0,27,69823,27,2957,128512607,1280,1,1081,0,4,7359,221331087,8,885259784,26,41,16,10,3646,639,1081,4,0,0,89172498,1233701,3736664417,0,639,626,0,3,1,14,14,7966,3,3735471674,3687846131,114970628,224619712,224636096,1,3,1,11680225056,73389,73389,14,14,14,224619716,10,3,186608,1373006,1909305,31064,3735471674,1342493,87266615,2215
569818.50,18,253952,62,205456,13536404610,20,29087291,0,938,27,27,792,1374,12,778,1561820,2,27,80722,27,2957,152768439,1558,1,1081,0,4,7359,255886492,8,1023417056,26,41,16,10,3646,778,1081,4,0,0,103042765,1419761,4341803566,0,776,727,2,3,1,14,14,7966,3,4340667536,4268539788,133510123,259798197,259814581,1,3,1,13508654308,73389,73389,14,14,14,259781817,10,3,194842,1597337,2157923,36085,4340667536,1561820,100888812,2619
571826.34,18,253952,62,228583,15057892630,21,32670755,0,1025,29,29,792,1529,16,882,1729988,6,27,89783,27,2957,172564032,1766,1,1081,0,4,7359,284515554,8,1137997640,26,43,16,10,3646,882,1081,4,0,0,114344870,1517351,4849350151,0,876,812,6,3,1,14,14,7966,3,4846002691,4749869452,148504719,288897391,288930159,1,3,1,15022664364,73389,73389,14,14,14,288897395,10,3,215259,1769626,2396373,40308,4846002691,1729988,111951891,2913
573839.18,18,253952,62,254044,16735816004,21,34288433,0,1173,29,29,792,1685,17,891,1962424,8,27,99782,27,2957,174633068,1784,1,1081,0,4,7359,316252346,8,1264944764,26,43,16,10,3646,891,1081,4,0,0,128486236,1839133,5422105632,0,883,823,8,3,1,14,14,7966,3,5418274059,5281817921,164565950,320943102,320959486,1,3,1,16689041336,73389,73389,14,14,14,320943106,10,3,227167,2007391,2673084,45056,5418274059,1962424,125818056,2942
575846.88,30,253952,62,279636,18421911278,21,35801539,0,1302,29,29,792,1847,17,1152,2207547,8,27,109752,27,2957,219603675,2306,1,1081,0,4,7359,347859139,8,1391315788,26,43,16,10,3646,1152,1081,4,0,0,142689887,2266041,6012494935,0,1144,1106,8,3,1,14,14,7966,3,6008147847,5817585427,180683355,353016622,353049390,1,3,1,18356864376,73389,73389,14,14,14,353016626,10,3,238425,2257884,2966013,49936,6008147847,2207547,139729300,3859
577857.66,32,253952,62,304684,20071932300,21,37596446,0,1449,29,29,792,2004,18,1260,2447916,8,27,119484,27,2957,241113527,2522,1,1081,0,4,7359,378742514,8,1514840940,26,43,16,10,3646,1260,1081,4,0,0,156443379,2556984,6602585258,0,1252,1229,8,3,1,14,14,7966,3,6598657182,6342956691,196387650,384405258,384421642,1,3,1,19989073448,73389,73389,14,14,14,384405262,10,3,248908,2503545,3260738,54819,6598657182,2447916,153188560,4239
579861.84,33,253952,62,322456,21243045138,25,42288483,0,1514,29,29,792,2118,18,1260,2572600,8,27,126382,27,2957,241451375,2522,1,1081,0,4,7359,400667980,8,1602607236,26,43,16,10,3646,1260,1081,4,0,0,164521942,2625383,7028145380,0,1252,1229,8,3,1,14,14,7966,3,7023004321,6715919554,209292050,406660702,406660702,1,3,1,21145504568,73389,73389,14,14,14,406644322,10,3,262310,2631286,3436630,58343,7023004321,2572600,161091540,4239
581872.26,33,253952,62,341812,22519197732,26,44368099,0,1592,33,33,792,2238,18,1260,2737368,8,27,133962,27,2957,242983757,2522,1,1081,0,4,7359,424685475,8,1698483676,26,47,16,10,3646,1260,1081,4,0,0,174893508,2778976,7484359809,0,1252,1229,8,3,1,14,14,7966,3,7478990047,7121991405,221903662,430922742,430922742,1,3,1,22407982616,73389,73389,14,14,14,430922746,10,3,284356,2799908,3658357,62134,7478990047,2737368,171241740,4239
583881.19,34,253952,62,362940,23911106072,26,46036497,0,1720,33,33,792,2372,18,1260,2941869,8,27,142191,27,2957,243611189,2522,1,1081,0,4,7359,450741792,8,1802967168,26,47,16,10,3646,1260,1081,4,0,0,187097663,3007405,7985533281,0,1252,1229,8,3,1,14,14,7966,3,7979750564,7564918378,235993457,457382397,457398781,1,3,1,23783884676,73389,73389,14,14,14,457382401,10,3,301862,3008869,3927809,66304,7979750564,2941869,183176859,4239
585891.56,44,253952,62,386222,25444676848,26,47822406,0,1868,35,35,792,2522,19,1535,3174376,8,27,151251,27,2957,290290103,3072,1,1081,0,4,7359,479462678,8,1917786304,26,49,16,10,3646,1535,1081,4,0,0,200700922,3384252,8536420343,0,1527,1504,8,3,1,14,14,7966,3,8531342964,8053245551,251748543,486514359,486530743,1,3,1,25297894732,73389,73389,14,14,14,486497979,10,3,325982,3246399,4225881,70902,8531342964,3174376,196482518,5195
587904.19,56,253952,62,411222,27092946836,26,50632412,0,2032,35,35,792,2675,20,1629,3403621,8,27,160984,27,2957,310743501,3260,1,1081,0,4,7359,510362995,8,2041387368,26,49,16,10,3646,1629,1081,4,0,0,215528588,3759399,9133228770,0,1621,1598,8,3,1,14,14,7966,3,9126750144,8578156246,269717667,517855558,517855558,1,3,1,26928489048,73389,73389,14,14,14,517855562,10,3,334654,3480945,4520107,75803,9126750144,3403621,211016462,5541
589917.72,58,253952,62,433228,28542082068,28,54535208,0,2176,35,35,792,2818,21,1629,3612822,8,27,169543,27,2957,313253229,3260,1,1081,0,4,7359,537502288,8,2150009152,26,49,16,10,3646,1629,1081,4,0,0,228164122,4107570,9668855181,0,1621,1598,8,3,1,14,14,7966,3,9661284114,9039691727,286602083,545382332,545382332,1,3,1,28359881296,73389,73389,14,14,14,545382336,10,3,344845,3694894,4779571,80231,9661284114,3612822,223392971,5541
591922.33,62,253952,62,453912,29905194074,30,57434866,0,2294,36,36,792,2952,21,1629,3784179,8,27,177561,27,2957,315425109,3260,1,1081,0,4,7359,562943396,8,2251708900,26,50,16,10,3646,1629,1081,4,0,0,238574628,4238670,10176982047,0,1621,1598,8,3,1,14,14,7966,3,10170783270,9474657254,300033550,571233620,571233620,1,3,1,29704148272,73389,73389,14,14,14,571233624,10,3,356406,3870202,5010618,84462,10170783270,3784179,233572820,5541
593932.36,63,253952,62,472287,31116187100,32,60783917,0,2385,39,39,792,3060,21,1629,3933218,8,27,184673,27,2957,315738825,3260,1,1081,0,4,7359,585544478,8,2342113296,26,53,16,10,3646,1629,1081,4,0,0,247311998,4336639,10621924811,0,1621,1598,8,3,1,14,14,7966,3,10616276662,9861186310,312186897,594158649,594191417,1,3,1,30896249780,73389,73389,14,14,14,594158653,10,3,379026,4022632,5236455,88144,10616276662,3933218,242084676,5541
594458.50,63,253952,62,476920,31420770012,34,61666076,2,2418,39,39,792,3127,21,1629,3972365,8,27,186584,33,2957,323079298,3267,1,1081,1228,4,7359,591599349,8,2366397396,32,60,35,26,3818,1629,1081,4,1228,102,250106327,4379051,10729528615,8,1621,1598,8,3,1,14,14,7966,3,10720492360,9957263840,352633647,600037902,600037902,1,3,1,31201970936,73389,73389,14,14,14,600037906,10,3,391736,4062712,5336824,88979,10720492360,3972365,244778739,5541
