timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
464872.36,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
466881.84,0,253952,62,11940,785697330,0,2126490,0,97,5,5,3102,132,1,567,112180,0,9,4668,12,98537149,1136,1,0,4,3596,14702166,8,58808664,11,19,6,6327,567,0,0,6861295,459410,279125066,0,567,668,0,3,1,14,14,4194,0,3,278869637,250214655,9433321,14928810,14928810,1,3,1,0,776298152,73389,73389,14,14,14,14928814,10,3,52256,114728,250995,2374,278869637,112180,6610553,2019
468895.22,0,253952,62,25158,1656706182,0,4735631,0,189,5,5,3102,198,2,567,225477,0,9,9851,12,102012157,1136,1,0,4,3596,31179250,8,124717000,11,19,6,6327,567,0,0,14413136,762841,553046608,0,567,668,0,3,1,14,14,4194,0,3,552916666,524178415,19776500,31673641,31690025,1,3,1,0,1647029364,73389,73389,14,14,14,31673645,10,3,56753,230816,384731,4607,552916666,225477,14028931,2019
470899.36,0,253952,62,36420,2398464810,2,8224788,0,237,5,5,3102,288,4,567,298544,0,9,14281,12,103846189,1136,1,0,4,3596,45239381,8,180828468,11,19,6,6327,567,0,0,19596096,789088,788088719,0,567,668,0,3,1,14,14,4194,0,3,787884967,757858023,28577455,45950965,45950965,1,3,1,0,2389450212,73389,73389,14,14,14,45950969,10,3,60133,305896,481488,6595,787884967,298544,19115339,2019
472905.82,4,253952,62,48979,3225609742,2,8957762,0,302,6,6,3102,348,4,567,395104,0,9,19228,12,104775271,1136,1,0,4,3596,60946008,8,243784032,11,20,6,6327,567,0,0,26179323,915381,1047655348,0,567,668,0,3,1,14,14,4194,0,3,1047709470,1018350870,36005279,61848146,61848146,1,3,1,0,3216103624,73389,73389,14,14,14,61848150,10,3,64123,404911,596360,8727,1047709470,395104,25583942,2019
474910.52,5,253952,62,63323,4170442878,2,10263179,0,386,7,7,3102,460,4,585,509012,0,9,24890,13,109642803,1172,1,0,4,3596,78825228,8,315236264,12,21,6,6340,585,0,0,33786893,1114106,1350530500,0,585,687,0,3,1,14,14,4194,0,3,1350982417,1315916394,45087727,80014067,80030451,1,3,1,0,4160731516,73389,73389,14,14,14,80014071,10,3,75588,521744,778190,11277,1350982417,509012,33009973,2083
476915.73,6,253952,62,74834,4928338980,4,13526813,0,451,8,8,3102,546,4,585,579091,0,9,29418,13,110318499,1172,1,0,4,3596,93161097,8,372579740,12,22,6,6340,585,0,0,38698495,1114738,1589953928,0,585,687,0,3,1,14,14,4194,0,3,1588915289,1554636665,53283971,94588462,94588462,1,3,1,0,4918600056,73389,73389,14,14,14,94588466,10,3,83552,593766,861854,13274,1588915289,579091,37838099,2083
478926.97,7,253952,62,86071,5668531604,5,15817448,0,525,9,9,3102,593,4,594,650754,0,9,33814,13,114012353,1190,1,0,4,3596,107180003,8,428590788,12,23,6,6340,594,0,0,43616540,1127450,1830735643,0,594,690,0,3,1,14,14,4194,0,3,1829219715,1788171229,60499720,108792058,108792058,1,3,1,0,5657187048,73389,73389,14,14,14,108792062,10,3,92832,667308,953562,15215,1829219715,650754,42664647,2108
480934.56,7,253952,62,99581,6559847370,5,16522603,0,636,10,10,3102,700,4,603,766934,0,9,39163,13,118298760,1208,1,0,4,3596,124060273,8,496176576,12,24,6,6340,603,0,0,50902022,1353106,2111481406,0,603,697,0,3,1,14,14,4194,0,3,2111007819,2069105868,68698610,125896893,125913277,1,3,1,0,6546638468,73389,73389,14,14,14,125896897,10,3,96316,786278,1094501,17591,2111007819,766934,49809459,2138
482940.40,7,253952,62,112945,7439471264,6,18079700,0,735,11,11,3102,762,4,603,881997,0,9,44392,13,119565690,1208,1,0,4,3596,140706082,8,562824328,12,25,6,6340,603,0,0,58216372,1583423,2389813514,0,603,697,0,3,1,14,14,4194,0,3,2388283053,2346412169,77786381,142795657,142812041,1,3,1,0,7424522228,73389,73389,14,14,14,142779277,10,3,102527,904042,1261682,19849,2388283053,881997,56956901,2138
