timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
56654.82,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0
58660.84,4,253952,62,31877,2098514618,5,8173410,0,175,18,18,1096,248,1,558,290863,0,29,12481,31,30,101067897,1118,1,0,4,6850,39592681,13,158112264,30,32,14,3103,558,0,0,18376954,1010566,691434155,0,558,511,0,3,1,14,14,7458,3,692870829,663387882,27568761,40174334,40190718,1,3,1,2088213432,73389,73389,14,14,14,40157954,8,1,3,97829,297394,520711,5775,692870829,290863,17856980,1996
60668.34,4,253952,62,70354,4633717540,5,11139729,0,380,18,18,1096,499,3,558,628396,0,29,27654,31,30,106763049,1118,1,0,4,6850,87670402,13,350616924,30,32,14,3103,558,0,0,40624521,1647422,1491429930,0,558,511,0,3,1,14,14,7458,3,1491887235,1461449531,53403203,88938585,88938585,1,3,1,4624806452,73389,73389,14,14,14,88938589,8,1,3,115594,642733,932778,12411,1491887235,628396,39693235,1996
62675.30,10,253952,62,101873,6711207602,8,16705733,0,555,18,18,1096,704,4,585,904964,0,29,40058,31,30,114905602,1172,1,0,4,6850,126977367,13,507780304,30,32,14,3103,585,0,0,58837120,2201503,2146391771,0,585,542,0,3,1,14,14,7458,3,2145820945,2115509107,77777577,128890847,128890847,1,3,1,6701472108,73389,73389,14,14,14,128874467,8,1,3,132941,925797,1290199,17838,2145820945,904964,57549050,2088
64681.33,11,253952,62,129894,8557015404,9,19673086,0,728,18,18,1096,894,5,585,1161305,0,29,51102,31,30,117101614,1172,1,0,4,6850,161967305,13,647740120,30,32,14,3103,585,0,0,74915583,2760196,2729059123,0,585,542,0,3,1,14,14,7458,3,2727014683,2696735215,97358334,164346589,164395741,1,3,1,8546022660,73389,73389,14,14,14,164346593,8,1,3,144247,1187971,1616253,22673,2727145755,1161345,73302028,2088
66686.07,15,253952,62,152670,10058514334,13,25309100,0,858,18,18,1096,1031,5,594,1331068,0,29,60074,31,30,119226870,1190,1,0,4,6850,190438640,13,761690028,30,32,14,3103,594,0,0,86158185,2930892,3206924391,0,594,549,0,3,1,14,14,7458,3,3206010291,3169916175,114412084,193207771,193224155,1,3,1,10046804124,73389,73389,14,14,14,193207775,8,1,3,151122,1361811,1808977,26632,3206010291,1331068,84351357,2113
68700.52,16,253952,62,177394,11686090130,13,26453509,0,987,22,22,1096,1195,5,594,1521885,0,29,69799,31,30,120168018,1190,1,0,4,6850,221262829,13,884986536,30,36,14,3103,594,0,0,98784552,3203699,3723725377,0,594,549,0,3,1,14,14,7458,3,3721218282,3682759696,128461648,224486481,224486481,1,3,1,11673297044,73389,73389,14,14,14,224486485,8,1,3,170172,1557417,2059153,30919,3721218282,1521885,96729039,2113
70712.54,17,253952,62,204875,13499295738,13,28973528,0,1149,23,23,1096,1371,6,594,1769114,0,29,80624,31,30,120481734,1190,1,0,4,6850,255619511,13,1022283992,30,37,14,3103,594,0,0,114114180,3632786,4299641626,0,594,549,0,3,1,14,14,7458,3,4296282821,4253870203,146746245,259316584,259349352,1,3,1,13484462400,73389,73389,14,14,14,259316588,8,1,3,187111,1810485,2364113,35690,4296282821,1769114,111754260,2113
72717.04,19,253952,62,231747,15268258228,13,32375310,0,1316,23,23,1096,1545,17,621,1998029,0,29,91166,31,30,125328595,1244,1,0,4,6850,289006663,13,1155897220,30,37,14,3103,621,0,0,128658807,4024347,4865944838,0,621,576,0,3,1,14,14,7458,3,4862580957,4811480300,165076978,293292177,293292177,1,3,1,15250341268,73389,73389,14,14,14,293275797,8,1,3,210599,2044793,2664233,40387,4862580957,1998029,125999300,2216
74723.10,20,253952,62,255687,16846125524,17,37750275,0,1428,26,26,1096,1695,17,648,2162028,0,29,100580,31,30,130069279,1298,1,0,4,6850,318875447,13,1275372552,30,40,14,3103,648,0,0,139787999,4063640,5376611270,0,648,592,0,3,1,14,14,7458,3,5373186994,5309591489,181639798,323537807,323554191,1,3,1,16823965996,73389,73389,14,14,14,323537811,8,1,3,222573,2212986,2875798,44618,5373186994,2162028,136917392,2290
