timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
237706.79,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
239711.12,1,0,0,19129,1259212636,0,788,0,2,1,1,11299,117,1,594,130745,27,1787,16,27,122489018,1190,1,0,15,15,0,14,79,594,0,0,0,1986964,22,415494252,0,594,392,2,1,14,14,349,0,1,416448708,371433652,1990687,28298981,28315365,1,2,1,0,1245155164,73389,73389,14,14,14,28298981,6,3,364919,132946,810910,3195,416448708,130745,1176139,1864
241720.16,1,253952,62,36410,2397857714,3,3001895,0,5,31,31,11299,120,1,675,254324,27,6062,46,128,140299886,1352,1,0,45,45,21,14,296,675,0,0,0,6263740,1406161,753485406,0,675,437,2,1,14,14,349,0,1,755628848,704851796,18476075,54136044,54136044,1,2,1,0,2381265040,73389,73389,14,14,14,54119660,6,3,485524,259066,1221447,5784,755628848,254324,5042500,2096
243724.86,1,253952,62,56085,3694445718,3,3001895,0,5,31,31,11299,123,1,675,366008,27,11595,46,128,140830790,1352,1,0,45,45,21,14,296,675,0,0,0,10797870,1689446,1131802620,0,675,437,2,1,14,14,349,0,1,1134426928,1083809735,28260625,83609911,83609911,1,2,1,0,3678836084,73389,73389,14,14,14,83609911,6,3,495144,373590,1413634,8674,1134426928,366008,9384624,2096
245730.24,1,253952,62,76500,5039530362,3,3001895,0,5,31,31,11299,126,1,675,477866,27,17327,46,128,141361694,1352,1,0,45,45,21,14,296,675,0,0,0,15356390,1735330,1525452816,0,675,437,2,1,14,14,349,0,1,1527511856,1477044103,39410137,114181506,114181506,1,2,1,0,5023986264,73389,73389,14,14,14,114181506,6,3,512512,488255,1578835,11673,1527511856,477866,13778113,2096
247738.72,1,253952,62,92486,6093028802,3,3001895,0,5,31,31,11299,129,1,675,598251,27,21866,46,128,141892598,1352,1,0,45,45,21,14,296,675,0,0,0,19620575,3453545,1832166124,0,675,437,2,1,14,14,349,0,1,1834875696,1784975189,67062923,138111992,138128376,1,2,1,0,6076927648,73389,73389,14,14,14,138111992,6,3,542736,611080,1801679,14018,1834875696,598251,17819607,2096
249751.35,1,253952,62,107602,7088980018,3,3001895,0,6,31,31,11299,131,1,675,716505,27,26094,46,128,142158050,1352,1,0,45,45,21,14,296,675,0,0,0,23856954,5680578,2124186149,0,675,437,2,1,14,14,349,0,1,2126248752,2076205847,82797892,160752460,160752460,1,2,1,0,7072387344,73389,73389,14,14,14,160736076,6,3,565002,732558,2014466,16241,2126248752,716505,21843323,2096
251759.01,1,253952,62,121878,8029615542,4,4002267,0,7,31,31,11299,134,1,675,835173,27,30142,46,128,142423502,1352,1,0,45,45,21,14,296,675,0,0,0,28046964,8138697,2396413753,0,675,437,2,1,14,14,349,0,1,2401106736,2351122314,109025392,182133519,182133519,1,2,1,0,8013874836,73389,73389,14,14,14,182133519,6,3,594201,854898,2249950,18338,2401106736,835173,25797974,2096
253775.57,1,253952,62,136386,8985720870,5,5003191,0,8,31,31,11299,136,1,675,972711,27,34219,46,128,142942340,1352,1,0,45,45,21,14,296,675,0,0,0,32249735,10552630,2678203251,0,675,437,2,1,14,14,349,0,1,2680421168,2630602205,137681542,203864675,203864675,1,2,1,0,8970045700,73389,73389,14,14,14,203864675,6,3,621751,995353,2471453,20469,2680421168,972711,29778351,2096
255780.07,1,253952,62,156857,10334151158,6,6003576,0,8,31,31,11299,139,1,675,1083623,27,39956,46,128,143473244,1352,1,0,45,45,21,14,296,675,0,0,0,36923360,10737940,3067251353,0,675,437,2,1,14,14,349,0,1,3073346512,3024725594,161075386,234516031,234516031,1,2,1,0,10317984468,73389,73389,14,14,14,234499647,6,3,633987,1109024,2633445,23470,3073346512,1083623,34291183,2096
257794.32,1,253952,62,172948,11394530878,6,6003576,0,8,31,31,11299,142,1,675,1207359,27,44519,46,128,144004148,1352,1,0,45,45,21,14,296,675,0,0,0,41288046,12448020,3382481943,0,675,437,2,1,14,14,349,0,1,3383200720,3334556682,200119449,258610357,258626741,1,2,1,0,11378855708,73389,73389,14,14,14,258610357,6,3,670843,1235156,2863722,25834,3383200720,1207359,38425723,2096
259804.18,1,253952,62,188103,12393037998,6,6003576,0,8,31,31,11299,144,1,675,1338738,27,48758,46,128,144269600,1352,1,0,45,45,21,14,296,675,0,0,0,45552892,14777828,3671353857,0,675,437,2,1,14,14,349,0,1,3675229136,3626571174,218924102,281291785,281308169,1,2,1,0,12376838540,73389,73389,14,14,14,281291785,6,3,695892,1371881,3088870,28062,3675229136,1338738,42465535,2096
261816.04,1,253952,62,202106,13315782194,6,6003576,0,8,31,31,11299,147,1,675,1468816,27,52740,46,128,144800504,1352,1,0,45,45,21,14,296,675,0,0,0,49797170,17370755,3943430841,0,675,437,2,1,14,14,349,0,1,3944582096,3896238041,235613461,302279628,302279628,1,2,1,0,13299582736,73389,73389,14,14,14,302263244,6,3,731837,1505226,3351916,30117,3944582096,1468816,46446877,2096
263830.98,1,253952,62,216256,14248160182,6,6003576,0,8,31,31,11299,149,1,675,1597906,27,56725,46,128,145065956,1352,1,0,45,45,21,14,296,675,0,0,0,54103265,19994751,4215502376,0,675,437,2,1,14,14,349,0,1,4217080784,4168825947,254774812,323472271,323472271,1,2,1,0,14232059028,73389,73389,14,14,14,323455887,6,3,764528,1636515,3589372,32196,4217080784,1597906,50515613,2096
265835.93,1,253952,62,233284,15370212586,6,6003576,0,8,31,31,11299,152,1,675,1726446,27,61517,46,128,145596860,1352,1,0,45,45,21,14,296,675,0,0,0,58631718,21570265,4542136737,0,675,437,2,1,14,14,349,0,1,4544498640,4496772531,267484994,348973462,348989846,1,2,1,0,15354832328,73389,73389,14,14,14,348973462,6,3,790791,1767511,3797683,34694,4544498640,1726446,54835885,2096
267842.51,1,253952,62,252873,16660899042,6,6003576,0,8,31,31,11299,155,1,675,1838145,27,67041,46,128,146127764,1352,1,0,45,45,21,14,296,675,0,0,0,63112564,22010680,4918090000,0,675,437,2,1,14,14,349,0,1,4922117072,4874139234,284209647,378302032,378318416,1,2,1,0,16645289408,73389,73389,14,14,14,378302032,6,3,813802,1881847,4003678,37575,4922117072,1838145,59110903,2096
269855.87,1,253952,62,267694,17637517138,6,6003576,0,8,31,31,11299,157,1,675,1966369,27,71178,46,128,146393216,1352,1,0,45,45,21,14,296,675,0,0,0,67377552,24443721,5204330609,0,675,437,2,1,14,14,349,0,1,5207198672,5159636800,310652847,400500132,400500132,1,2,1,0,17622005808,73389,73389,14,14,14,400500132,6,3,846603,2013133,4248110,39750,5207198672,1966369,63131577,2096
271861.17,1,253952,62,287627,18950587446,6,6003576,0,8,31,31,11299,161,1,675,2075285,27,76832,46,128,146924120,1352,1,0,45,45,21,14,296,675,0,0,0,72042000,24664609,5588926331,0,675,437,2,1,14,14,349,0,1,5589932875,5543339927,319107148,430342639,430359023,1,2,1,0,18935076116,73389,73389,14,14,14,430342639,6,3,967151,2124703,4617094,42674,5589932875,2075285,67427206,2096
273872.42,1,253952,62,307538,20262641946,6,6003576,0,8,31,31,11299,164,1,675,2182630,27,82437,46,128,147455024,1352,1,0,45,45,21,14,296,675,0,0,0,76843755,24917649,5969581034,0,675,437,2,1,14,14,349,0,1,5973318475,5926946657,338527097,460168762,460168762,1,2,1,0,20246704632,73389,73389,14,14,14,460152378,6,3,1063495,2234627,4949355,45599,5973318475,2182630,71895852,2096
275881.12,1,253952,62,322451,21244565150,6,6003576,0,8,31,31,11299,168,1,675,2291808,27,86720,46,128,147985928,1352,1,0,45,45,21,14,296,675,0,0,0,81014838,27257619,6258623217,0,675,437,2,1,14,14,349,0,1,6259610985,6213933756,359056168,482491901,482491901,1,2,1,0,21229643644,73389,73389,14,14,14,482491901,6,3,1094693,2346663,5179554,47790,6259610985,2291808,75837863,2096
277894.69,1,253952,62,337519,22237222172,6,6003576,0,8,31,31,11299,171,1,675,2399380,27,91035,46,128,148516832,1352,1,0,45,45,21,14,296,675,0,0,0,85243539,29386446,6549023038,0,675,437,2,1,14,14,349,0,1,6549352458,6504000238,375154100,505056482,505056482,1,2,1,0,22222485208,73389,73389,14,14,14,505056482,6,3,1117614,2456512,5384604,50007,6549352458,2399380,79861645,2096
279902.93,1,253952,62,352431,23219804044,6,6003576,0,8,31,31,11299,173,8,675,2510017,27,95208,46,128,148782284,1352,1,0,45,45,21,14,296,675,0,0,0,89435876,31689780,6836072761,0,675,437,2,1,14,14,349,0,1,6836400138,6791272350,401051632,527385654,527385654,1,2,1,0,23204968776,73389,73389,14,14,14,527385654,6,3,1162404,2569540,5608312,52197,6836400138,2510017,83830409,2096
281907.75,1,253952,62,369898,24370731672,6,6003576,0,8,31,31,11299,177,8,675,2617061,27,100189,46,128,149844092,1352,1,0,45,45,21,14,296,675,0,0,0,93739743,32718761,7168484690,0,675,437,2,1,14,14,349,0,1,7171808067,7127635938,412416106,553529695,553546079,1,2,1,0,24355306580,73389,73389,14,14,14,553529695,6,3,1202705,2679930,5799161,54762,7171808067,2617061,87943577,2096
283914.56,1,253952,62,387821,25550819512,6,6003576,0,8,31,31,11299,182,8,675,2725522,27,105349,46,128,150374996,1352,1,0,45,45,21,14,296,675,0,0,0,98192776,33480673,7514292398,0,675,437,2,1,14,14,349,0,1,7515494683,7472508671,432758072,580372215,580372215,1,2,1,0,25536377460,73389,73389,14,14,14,580372215,6,3,1244695,2790894,5995101,57397,7515494683,2725522,92200831,2096
285884.06,1,253952,62,400982,26415782060,8,6022373,2,10,31,31,11299,194,8,675,2817858,27,109422,53,128,158511825,1359,1,1038,52,52,21,45,331,675,724,1038,118,102335847,35664826,7767146239,8,675,437,2,1,14,14,349,48175378,1,7763869224,7725268584,1287031047,600037902,600037902,1,2,1,48175378,26401667688,73389,73389,14,14,14,600037902,6,3,1263532,2885203,6184450,59330,7763869224,2817858,96154658,2096
