timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
85876.28,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
87887.15,6,253952,62,24281,1597952114,1,2742047,0,117,9,9,1208,207,1,567,222763,37,9513,19,3244,100757293,1136,1,0,4,5940,30105427,7,120356896,18,23,0,9,11135,567,0,0,13674029,371004,535460049,0,567,629,3,1,14,14,6563,3,537011714,505865781,16780506,30551781,30551781,1,3,1,1588692644,73389,73389,14,14,14,30551785,9,3,98770,227767,472247,4499,537011714,222763,13202262,2092
89891.70,6,253952,62,48282,3179653632,1,4110096,0,220,9,9,1208,374,2,567,406586,37,18949,19,3244,106380049,1136,1,0,4,5940,60010831,7,239849544,18,23,0,9,11135,567,0,0,25812530,538423,1030908260,0,567,629,3,1,14,14,6563,3,1031849297,1003850966,30422465,60949185,60965569,1,3,1,3169357652,73389,73389,14,14,14,60949189,9,3,113685,416066,663726,8631,1031849297,406586,25149736,2092
91901.48,7,253952,62,75889,4998293332,5,8787774,0,319,20,20,1208,541,2,585,605302,37,29817,26,3244,112421325,1172,1,0,4,5940,94516588,7,377743560,25,34,0,9,12889,585,0,0,39209172,748767,1607147598,0,585,643,3,1,14,14,6563,3,1607067819,1576819514,48745413,95913407,95929791,1,3,1,4987497196,73389,73389,14,14,14,95913411,9,3,150263,619614,975858,13385,1607067819,605302,38234752,2139
93914.79,13,253952,62,115982,7642117280,6,12605984,0,541,21,21,1208,798,3,585,972712,37,45624,26,3244,118357797,1172,1,0,4,5940,144625702,7,578179528,25,35,0,9,12889,585,0,0,62347518,1407110,2438025465,0,585,643,3,1,14,14,6563,3,2437571355,2408701181,76385944,146755379,146804531,1,3,1,7630427772,73389,73389,14,14,14,146738999,9,3,174393,995459,1447912,20269,2437571355,972712,60901856,2139
95924.77,20,253952,62,151931,10008725222,10,18820744,0,756,25,25,1208,1029,4,585,1301948,37,59768,26,3244,118671513,1172,1,0,4,5940,189525263,7,757842616,25,39,0,9,12889,585,0,0,82956315,2032910,3183615653,0,585,643,3,1,14,14,6563,3,3183089427,3153851018,103736684,192295029,192311413,1,3,1,9999341540,73389,73389,14,14,14,192295033,9,3,196418,1334624,1897812,26450,3183089427,1301948,81061455,2139
97929.02,21,253952,62,187194,12332655942,17,27866319,0,882,25,25,1208,1256,4,594,1573904,37,73597,26,3244,120169355,1190,1,0,4,5940,233401074,7,933410476,25,39,0,9,12889,594,0,0,100488316,2306369,3917033576,0,594,649,3,1,14,14,6563,3,3915438306,3885555787,130483179,236975790,236992174,1,3,1,12321889144,73389,73389,14,14,14,236959410,9,3,210087,1613099,2249122,32526,3915438306,1573904,98242833,2167
99936.46,22,253952,62,223943,14754479930,18,29892342,0,1029,32,32,1208,1492,11,594,1865457,37,88140,26,3244,120483071,1190,1,0,4,5940,279459828,7,1117710312,25,46,0,9,12889,594,0,0,119133743,2636826,4679569191,0,594,649,3,1,14,14,6563,3,4676931085,4648183681,151622040,283528201,283560969,1,3,1,14743466484,73389,73389,14,14,14,283528205,9,3,233528,1911413,2614560,38844,4676931085,1865457,116523517,2167
101945.04,27,253952,62,265468,17490341530,19,33416500,0,1243,33,33,1208,1757,11,630,2249535,37,104497,26,3244,126735629,1262,1,0,4,5940,331303602,7,1325085112,25,47,0,9,12889,630,0,0,142539598,3037294,5543034715,0,630,687,3,1,14,14,6563,3,5540100043,5509627444,178716479,336144407,336177175,1,3,1,17479509196,73389,73389,14,14,14,336144411,9,3,244095,2304179,3084945,46002,5540100043,2249535,139459821,2321
103955.89,33,253952,62,301198,19844648064,23,39833183,0,1430,33,33,1208,1988,12,639,2587744,37,118538,26,3244,128234598,1280,1,0,4,5940,375790283,7,1503161132,25,47,0,9,12889,639,0,0,162512232,3582922,6294055415,0,639,695,3,1,14,14,6563,3,6289100275,6251092031,205850512,381380065,381396449,1,3,1,19831763412,73389,73389,14,14,14,381380069,9,3,262807,2649985,3533223,52210,6289100275,2587744,158984882,2353
105963.58,34,253952,62,331043,21812213674,24,42159790,0,1574,34,34,1208,2179,12,639,2872594,37,130272,26,3244,128548314,1280,1,0,4,5940,413041259,7,1652035444,25,48,0,9,12889,639,0,0,178787695,4091356,6932165413,0,639,695,3,1,14,14,6563,3,6927910932,6872245940,224933085,419098070,419114454,1,3,1,21792247704,73389,73389,14,14,14,419081690,9,3,272566,2941221,3892577,57497,6927910932,2872594,174901587,2353
107970.94,38,253952,62,361116,23792851262,25,44704280,0,1729,34,34,1208,2373,12,648,3171008,37,142050,26,3244,130302454,1298,1,0,4,5940,450381374,7,1801395964,25,48,0,9,12889,648,0,0,195011541,4466042,7595825389,0,648,703,3,1,14,14,6563,3,7590346069,7499204101,244038043,456986836,456986836,1,3,1,23763315504,73389,73389,14,14,14,456986840,9,3,286223,3246228,4235166,63000,7590346069,3171008,190783437,2391
109977.93,41,253952,62,391974,25825659492,25,46557832,0,1894,35,35,1208,2572,13,729,3481451,37,154119,26,3244,143832604,1460,1,0,4,5940,488624014,7,1954431592,25,49,0,9,12889,729,0,0,211858278,4921517,8284614018,0,729,785,3,1,14,14,6563,3,8278280122,8142932725,263181964,495808602,495824986,1,3,1,25782047336,73389,73389,14,14,14,495808606,9,3,303210,3563577,4650623,68721,8278280122,3481451,207215345,2683
111992.04,47,253952,62,422940,27863786230,25,49040175,0,2082,35,35,1208,2766,14,828,3795432,37,166175,26,3244,160806366,1658,1,0,4,5940,526873600,7,2107429796,25,49,0,9,12889,828,0,0,228778390,5622552,9005896866,0,828,890,3,1,14,14,6563,3,9000129439,8791044673,283236177,534617661,534617661,1,3,1,27799266436,73389,73389,14,14,14,534601281,9,3,316676,3884723,5036063,74732,9000129439,3795432,223750628,3026
113998.81,51,253952,62,454061,29913135196,25,51397413,0,2260,35,35,1208,2964,14,1665,4088021,37,178260,26,3244,305262462,3332,1,0,4,5940,565105375,7,2260421500,25,49,0,9,12889,1665,0,0,245760522,6456309,9752933920,0,1665,1670,3,1,14,14,6563,3,9746488075,9445004461,303401508,573461844,573461844,1,3,1,29818311984,73389,73389,14,14,14,573429080,9,3,339444,4184209,5445186,80921,9746488075,4088021,240324258,6108
115359.73,52,253952,62,475291,31312153704,28,52718121,3,2368,51,51,1208,3127,14,2043,4306678,37,186584,41,3380,380264735,4095,1,1227,4,5940,591599349,7,2366397396,40,72,13,36,14265,2043,1227,116,257828120,7058333,10263674765,8,2043,2102,3,1,14,14,6563,3,10254506358,9890555877,347124181,600037902,600037902,1,3,1,31201970936,73389,73389,14,14,14,600037906,9,3,359817,4407619,5750165,85055,10254506358,4306678,252087321,7465
