timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5838.76,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
7849.74,1,0,0,14248,938004160,0,220480,0,12,1,1,10596,117,0,531,118933,23,1339,13,12,108763484,1064,1,0,12,15,11,227,531,0,0,0,1730469,53034,317704387,0,531,427,2,1,14,14,394,1,317751492,276975933,2000377,21059856,21059856,1,2,1,925912768,73389,73389,14,14,14,21043472,9,3,279818,120665,742043,2442,317751492,118933,988515,1855
9854.04,1,253952,62,27764,1828048034,6,7089586,0,46,10,10,10596,118,0,675,213490,23,3626,22,12,140034434,1352,1,0,21,24,11,1247,675,0,0,0,4154994,221495,587769515,0,675,528,2,1,14,14,394,1,589298480,538187055,11625335,41194016,41194016,1,2,1,1812536704,73389,73389,14,14,14,41194016,9,3,462546,217117,1258213,4515,589298480,213490,2896962,2335
11862.95,1,253952,62,36863,2427786842,8,10971201,0,54,10,10,10596,120,0,675,268093,23,6185,22,12,140299886,1352,1,0,21,24,11,1247,675,0,0,0,6331860,236721,764276102,0,675,528,2,1,14,14,394,1,764148528,713553553,17710972,54791404,54813821,1,2,1,2410821776,73389,73389,14,14,14,54791404,9,3,463962,273046,1330321,5849,764148528,268093,5001804,2335
13868.10,1,253952,62,47803,3148756594,10,14727388,0,98,12,12,10596,122,0,675,352507,23,9275,22,12,140565338,1352,1,0,21,26,11,1247,675,0,0,0,9288270,662205,973821700,0,675,528,2,1,14,14,394,1,975174448,924290660,25012341,71206396,71206396,1,2,1,3133081424,73389,73389,14,14,14,71206396,9,3,472950,359166,1458324,7459,975174448,352507,7830305,2335
15874.81,1,253952,62,58543,3856329562,10,16420772,0,116,13,13,10596,123,0,675,420968,23,12264,22,12,140830790,1352,1,0,21,27,11,1247,675,0,0,0,11882518,854764,1180223927,0,675,528,2,1,14,14,394,1,1181874992,1131096335,29545879,87281642,87298026,1,2,1,3840392248,73389,73389,14,14,14,87281642,9,3,480830,429190,1536121,9036,1181874992,420968,10346851,2335
17880.88,1,253952,62,72475,4774420702,10,17928326,0,158,14,14,10596,126,0,675,531498,23,16179,22,12,141361694,1352,1,0,21,28,11,1247,675,0,0,0,15813212,1737009,1446954457,0,675,528,2,1,14,14,394,1,1450048304,1399548164,35793894,108154797,108154797,1,2,1,4758811068,73389,73389,14,14,14,108154797,9,3,489177,542081,1692905,11082,1450048304,531498,14120898,2335
19892.15,1,253952,62,85915,5660002678,10,20951373,0,199,14,14,10596,128,0,675,641076,23,20006,22,12,141627146,1352,1,0,21,28,11,1247,675,0,0,0,19791938,2782488,1707778746,0,675,528,2,1,14,14,394,1,1708653360,1658369993,44536039,128284639,128284639,1,2,1,5643803220,73389,73389,14,14,14,128268255,9,3,491269,653931,1828294,13055,1708653360,641076,17964358,2335
21900.57,1,253952,62,99298,6541849102,10,23597585,0,237,14,14,10596,130,0,675,754666,23,23765,22,12,141892598,1352,1,0,21,28,11,1247,675,0,0,0,23711343,3729912,1962563447,0,675,528,2,1,14,14,394,1,1966471984,1916202894,52268653,148324369,148324369,1,2,1,6526272236,73389,73389,14,14,14,148324369,9,3,501419,769798,1974321,15022,1966471984,754666,21737852,2335
23906.64,1,253952,62,112159,7389485734,10,25712176,0,284,14,14,10596,132,0,675,870010,23,27383,22,12,142423502,1352,1,0,21,28,11,1247,675,0,0,0,27464776,4532610,2212634491,0,675,528,2,1,14,14,394,1,2214066992,2164018907,59050174,167585859,167585859,1,2,1,7373777796,73389,73389,14,14,14,167585859,9,3,508283,887333,2114777,16911,2214066992,870010,25350940,2335
