timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
534305.48,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,2097278,2,1,626,0,0,0,0,0,0,0,0,626,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
536309.66,0,0,0,18598,1224147568,0,0,0,0,1,1,5568,117,0,567,126093,138,1737,9,710,116910020,1136,1,626,0,8,15,79,7,765,567,0,626,6,0,0,1960728,9254,401205786,0,567,381,2,1,14,14,509,1,403472580,360973543,1970671,27522900,27539284,1,2,1,1211007600,73389,73389,14,14,14,27522900,11,3,346515,128154,782331,3096,403472580,126093,1178534,1780
538320.67,2,253952,62,36726,2418567090,20,21324730,0,58,24,24,5568,120,0,675,250051,138,6151,32,736,140299886,1352,1,626,0,31,38,82,7,869,675,0,626,6,0,0,5972037,839210,758475919,0,675,469,2,1,14,14,509,1,761658160,710885294,33644752,54594796,54611180,1,2,1,2402171024,73389,73389,14,14,14,54594796,11,3,482873,254567,1214432,5830,761658160,250051,4757854,2101
540331.01,2,253952,62,52353,3448538106,20,23616564,0,106,25,25,5568,122,0,675,364357,138,10523,32,736,140830790,1352,1,626,0,31,39,82,7,869,675,0,626,6,0,0,10110427,1748801,1061783523,0,675,469,2,1,14,14,509,1,1062861616,1011931015,41508527,78009186,78025570,1,2,1,3432404184,73389,73389,14,14,14,78009186,11,3,485207,371330,1333090,8128,1062861616,364357,8777723,2101
542342.35,2,253952,62,67542,4449538902,21,27743254,0,155,25,25,5568,125,0,675,480909,138,14831,32,736,141361694,1352,1,626,0,31,39,82,7,869,675,0,626,6,0,0,14068448,2537495,1353158199,0,675,469,2,1,14,14,509,1,1354890032,1304553432,49160473,100762183,100778567,1,2,1,4433536052,73389,73389,14,14,14,100762183,11,3,487144,490318,1460827,10357,1355021104,480938,12608133,2101
544347.23,2,253952,62,82597,5441226970,22,30527210,0,216,25,25,5568,127,1,675,578569,138,19044,32,736,141361694,1352,1,626,0,31,39,82,7,869,675,0,626,6,0,0,17809503,3013784,1642950737,0,675,469,2,1,14,14,509,1,1644428080,1594458400,58053111,123298314,123314698,1,2,1,5425125816,73389,73389,14,14,14,123298314,11,3,493398,590138,1580976,12565,1644428080,578569,16229157,2101
546357.00,2,253952,62,94228,6207723418,23,33117849,0,235,27,27,5568,129,1,675,633430,138,22331,32,736,141892598,1352,1,626,0,31,41,82,7,869,675,0,626,6,0,0,20219420,3094669,1868625722,0,675,469,2,1,14,14,509,1,1868823344,1818500133,63180341,140729114,140745498,1,2,1,6192081016,73389,73389,14,14,14,140729114,11,3,501596,646503,1660790,14277,1868823344,633430,18559361,2101
548366.46,2,253952,62,110492,7279440866,23,35098102,0,272,30,30,5568,132,1,675,739040,138,26933,32,736,142423502,1352,1,626,0,31,44,82,7,869,675,0,626,6,0,0,24251671,4285039,2178628481,0,675,469,2,1,14,14,509,1,2181823280,2131802546,71302438,165077392,165093776,1,2,1,7263405248,73389,73389,14,14,14,165077392,11,3,521240,754446,1827605,16665,2181823280,739040,22424944,2101
550375.07,2,253952,62,127047,8370229290,26,39996196,0,316,31,31,5568,134,1,675,848283,138,31553,32,736,142423502,1352,1,626,0,31,45,82,7,869,675,0,626,6,0,0,28269901,5440049,2498595175,0,675,469,2,1,14,14,509,1,2500590384,2450681549,82075406,189876230,189876230,1,2,1,8354554120,73389,73389,14,14,14,189876230,11,3,535655,866100,1973867,19097,2500590384,848283,26297059,2101
552385.29,2,253952,62,142764,9405833094,27,44274986,0,357,31,31,5568,137,1,675,960052,138,36005,32,736,142942340,1352,1,626,0,31,45,82,7,869,675,0,626,6,0,0,32302234,6389080,2802433529,0,675,469,2,1,14,14,509,1,2802973488,2753465563,91862047,213399275,213415659,1,2,1,9389568100,73389,73389,14,14,14,213399275,11,3,546227,980273,2121529,21404,2802973488,960052,30180879,2101
