timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
238212.01,1,0,0,19335,1272713052,0,0,0,0,1,1,4794,117,585,121164,24,1805,10,49,120717836,1172,1,0,9,15,0,8,332,585,0,0,0,1950215,29669,418770336,0,585,311,14,1,2,1,14,14,466,0,1,419594436,375343533,1983365,28610277,28626661,1,2,1,0,1258852188,73389,73389,14,14,14,28610277,16,3,368695,123166,835719,3219,419594436,121164,1114581,1728
240219.16,1,253952,62,39876,2626332750,4,4000261,0,6,26,26,4794,120,675,237145,24,7008,35,82,140299886,1352,1,0,34,40,25,8,441,675,0,0,0,6261441,41557,819460152,0,675,350,14,1,2,1,14,14,466,0,1,822344496,771601929,13316517,59327169,59343553,1,2,1,0,2610395436,73389,73389,14,14,14,59327169,16,3,477133,241732,1204197,6293,822344496,237145,5057507,1969
242224.80,1,253952,62,54446,3586235858,21,23241397,0,76,26,26,4794,123,675,353823,24,11147,35,82,140830790,1352,1,0,34,40,25,8,441,675,0,0,0,10289140,664651,1102189446,0,675,350,14,1,2,1,14,14,466,0,1,1102969648,1052164558,69347297,81150596,81150596,1,2,1,0,3570626224,73389,73389,14,14,14,81150596,16,3,493509,360815,1378485,8434,1102969648,353823,8911032,1969
244230.02,1,253952,62,63942,4212282042,24,27446660,0,95,26,26,4794,124,675,405467,24,13791,35,82,141096242,1352,1,0,34,40,25,8,441,675,0,0,0,12474153,684381,1285384810,0,675,350,14,1,2,1,14,14,466,0,1,1285684016,1235158140,76442034,95382642,95382642,1,2,1,0,4196115352,73389,73389,14,14,14,95366258,16,3,493726,413723,1433483,9828,1285684016,405467,11041137,1969
246243.07,1,253952,62,74367,4898945718,24,29615768,0,130,26,26,4794,126,675,469204,24,16745,35,82,141361694,1352,1,0,34,40,25,8,441,675,0,0,0,14986080,691751,1486278941,0,675,350,14,1,2,1,14,14,466,0,1,1486093104,1435960794,81151360,110984911,110984911,1,2,1,0,4882615188,73389,73389,14,14,14,110968527,16,3,499208,478962,1524189,11357,1486093104,469204,13462455,1969
248256.42,1,253952,62,88928,5858524454,24,31726638,0,166,28,28,4794,128,675,597622,24,20828,35,82,141627146,1352,1,0,34,42,25,8,441,675,0,0,0,18977502,1591281,1765201936,0,675,350,14,1,2,1,14,14,466,0,1,1766456112,1716394390,88570097,132797987,132797987,1,2,1,0,5843111428,73389,73389,14,14,14,132797987,16,3,513647,609915,1692889,13496,1766456112,597622,17285310,1969
250271.56,1,253952,62,103311,6806172330,26,37603063,0,212,31,31,4794,131,675,734618,24,24882,35,82,141892598,1352,1,0,34,45,25,8,441,675,0,0,0,22845511,2489948,2041888373,0,675,350,14,1,2,1,14,14,466,0,1,2043673392,1993520887,97983276,154326502,154326502,1,2,1,0,6790366088,73389,73389,14,14,14,154326502,16,3,526470,750047,1875654,15611,2043673392,734618,20970684,1969
252289.12,1,253952,62,117635,7749953582,27,42647151,0,258,32,32,4794,133,675,856551,24,28935,35,82,142423502,1352,1,0,34,46,25,8,441,675,0,0,0,26966981,3776411,2318840348,0,675,350,14,1,2,1,14,14,466,0,1,2319186736,2269352546,110438162,175781289,175781289,1,2,1,0,7734376716,73389,73389,14,14,14,175781289,16,3,542635,874474,2054069,17713,2319186736,856551,24913864,1969
254294.86,1,253952,62,131164,8641633714,28,46146383,0,305,32,32,4794,135,675,979602,24,32732,35,82,142688954,1352,1,0,34,46,25,8,441,675,0,0,0,30736798,4690871,2580579187,0,675,350,14,1,2,1,14,14,466,0,1,2579888944,2529984060,120158782,196048236,196048236,1,2,1,0,8626122384,73389,73389,14,14,14,196048236,16,3,551814,999756,2200807,19702,2579888944,979602,28537058,1969
256309.07,1,253952,62,140406,9250502850,31,49847896,0,326,34,34,4794,137,675,1034527,24,35364,35,82,142942340,1352,1,0,34,48,25,8,441,675,0,0,0,32998223,4700453,2757355440,0,675,350,14,1,2,1,14,14,466,0,1,2757753648,2707993986,126147181,209875000,209891384,1,2,1,0,9234500000,73389,73389,14,14,14,209875000,16,3,556659,1056025,2281573,21059,2757753648,1034527,30717806,1969
