timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
207886.35,3,253952,62,16427,1080976028,0,2320945,104,6,6,2519,165,0,567,156421,0,17,6433,10,98187235,1136,1,0,4,1973,20283521,9,81134084,9,20,3,2220,567,0,0,9133601,205656,372745550,0,567,1012,0,3,1,14,14,2702,3,373088814,343291762,10970973,20605422,20605422,1,3,1,1070630008,73389,73389,14,14,14,20589042,8,3,65853,159699,319994,3159,373088814,156421,8813927,5043
209893.71,5,253952,62,34043,2241768722,1,4057712,201,7,7,2519,256,1,567,307778,0,17,13336,11,100419445,1136,1,0,4,1973,42274695,9,168969408,10,21,3,2785,567,0,0,18779889,342033,739701384,0,567,1012,0,3,1,14,14,2702,3,739425280,708659934,23132633,42910018,42926402,1,3,1,2231320968,73389,73389,14,14,14,42910022,8,3,73446,314525,516975,6156,739425280,307778,18263582,5043
211901.66,13,253952,62,52197,3437031820,1,5834269,318,7,7,2519,401,1,576,461532,0,17,20511,11,103788680,1154,1,0,4,1973,64937907,9,259751628,10,21,3,2785,576,0,0,28787689,554851,1116289571,0,576,1027,0,3,1,14,14,2702,3,1116566704,1085282062,35100799,65896709,65896709,1,3,1,3426628900,73389,73389,14,14,14,65896713,8,3,78825,471982,725955,9350,1116566704,461532,28062464,5073
213911.48,15,253952,62,68283,4497819886,1,8253593,425,7,7,2519,488,1,576,597382,0,17,26846,11,106262210,1154,1,0,4,1973,85067923,9,340207052,10,21,3,2785,576,0,0,37737886,809626,1448562037,0,576,1027,0,3,1,14,14,2702,3,1447219396,1418906880,46729166,86314986,86314986,1,3,1,4488379304,73389,73389,14,14,14,86314990,8,3,91041,611053,900775,12071,1447219396,597382,36838457,5073
215916.11,15,253952,62,83704,5513819912,3,11493405,522,8,8,2519,607,1,585,723272,0,17,32916,11,109076429,1172,1,0,4,1973,104263207,9,417052828,10,22,3,2785,585,0,0,45903788,994100,1767956297,0,585,1039,0,3,1,14,14,2702,3,1767204768,1738911935,58293399,105832587,105848971,1,3,1,5503294556,73389,73389,14,14,14,105832591,8,3,108863,740047,1062494,14767,1767204768,723272,44842947,5109
217927.15,15,253952,62,95920,6317611794,5,14778041,579,11,11,2519,660,1,594,796000,0,17,37716,11,112420547,1190,1,0,4,1973,119526201,9,478104804,10,25,3,2785,594,0,0,51067919,998211,2027346218,0,594,1044,0,3,1,14,14,2702,3,2026947591,1991942570,66751170,121289559,121305943,1,3,1,6306205132,73389,73389,14,14,14,121273179,8,3,119607,814716,1171369,16881,2026947591,796000,49898399,5134
219934.42,17,253952,62,118398,7798609100,5,16397548,684,13,13,2519,821,1,612,992922,0,17,46560,13,117568221,1226,1,0,4,1973,147531764,9,589997712,12,27,3,2814,612,0,0,63509818,1279847,2492934332,0,612,1059,0,3,1,14,14,2702,3,2492030272,2458860326,81070893,149735552,149751936,1,3,1,7784544800,73389,73389,14,14,14,149702788,8,3,133245,1016126,1430070,20778,2492030272,992922,62082045,5201
221947.96,23,253952,62,145767,9603557660,5,18320456,862,15,15,2519,999,2,639,1238693,0,17,57337,15,126744668,1280,1,0,4,1973,181702827,9,726682364,14,29,3,2908,639,0,0,79209370,1549633,3077904298,0,639,1086,0,3,1,14,14,2702,3,3076068976,3028008013,98939615,184375524,184391908,1,3,1,9587527280,73389,73389,14,14,14,184375528,8,3,150777,1267561,1718680,25627,3076068976,1238693,77493526,5305
223952.39,27,253952,62,171369,11288927450,7,21697050,994,16,16,2519,1151,3,648,1449755,0,17,67327,15,130415709,1298,1,0,4,1973,213465230,9,853796384,14,30,3,2908,648,0,0,93073480,1806387,3618642202,0,648,1095,0,3,1,14,14,2702,3,3616358671,3559556449,116408363,216723068,216739452,1,3,1,11269599568,73389,73389,14,14,14,216723072,8,3,162816,1483645,2022333,30083,3616358671,1449755,91054471,5334
225958.63,28,253952,62,191317,12601536308,12,27156513,1083,19,19,2519,1283,3,666,1571671,0,17,75187,15,133726401,1334,1,0,4,1973,238351547,9,953148260,14,33,3,2908,666,0,0,101683139,1816669,4044287716,0,666,1108,0,3,1,14,14,2702,3,4042224319,3974038275,130458777,241907374,241907374,1,3,1,12579183480,73389,73389,14,14,14,241907378,8,3,180489,1608617,2170094,33620,4042224319,1571671,99516702,5378
227965.62,31,253952,62,209695,13814089400,15,31314661,1130,21,21,2519,1392,3,675,1684727,2,17,82384,15,135180134,1352,1,0,4,1973,261145964,9,1044519232,14,35,3,2908,675,0,0,109467741,1819244,4453174689,0,673,1115,2,3,1,14,14,2702,3,4449735540,4357492989,142429058,265067368,265116520,1,3,1,13783503168,73389,73389,14,14,14,265067372,8,3,195228,1724485,2314915,36982,4449735540,1684727,107156797,5405
