timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
142546.01,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
144549.22,253952,62,25199,1659151838,0,0,0,0,20,20,6662,118,0,675,113608,9,17,2897,35,12,140034434,1352,1,0,34,34,14,491,675,0,0,0,2296054,38,536187901,0,666,183,9,2,1,14,14,291,1,539753264,488761753,2582775,37358445,37358445,1,2,1,1643771580,73389,73389,14,14,14,37358445,4,3,467174,115559,721259,4137,539753264,113608,1574900,1241
146553.13,253952,62,45939,3025801134,0,381560,0,28,20,20,6662,121,0,675,196271,9,17,8730,35,12,140565338,1352,1,0,34,34,14,491,675,0,0,0,5950127,93363,932839404,0,666,183,9,2,1,14,14,291,1,938998576,888393311,22151252,68411209,68427593,1,2,1,3010093196,73389,73389,14,14,14,68411209,4,3,486678,200090,866482,7183,938998576,196271,5083919,1241
148557.68,253952,62,56152,3698836630,18,19690427,0,74,21,21,6662,123,0,675,260340,9,17,11614,35,12,140830790,1352,1,0,34,35,14,491,675,0,0,0,8544631,134381,1135580318,0,666,183,9,2,1,14,14,291,1,1135737648,1085105059,63646245,83708215,83708215,1,2,1,3683161460,73389,73389,14,14,14,83708215,4,3,491816,265500,950996,8684,1135737648,260340,7594018,1241
150563.86,253952,62,64680,4260913062,19,22899655,0,129,22,22,6662,124,0,675,318809,9,17,13992,35,12,141096242,1352,1,0,34,36,14,491,675,0,0,0,10596468,154409,1297404714,0,666,183,9,2,1,14,14,291,1,1299839792,1249405826,68863439,96486403,96486403,1,2,1,4245401732,73389,73389,14,14,14,96486403,4,3,495438,325160,1023867,9936,1299839792,318809,9573059,1241
152569.97,253952,62,72563,4780187870,20,25879165,0,152,22,22,6662,126,0,675,375711,9,17,16251,35,12,141361694,1352,1,0,34,36,14,491,675,0,0,0,12647603,161330,1451629517,0,666,183,9,2,1,14,14,291,1,1451883312,1401235622,73970747,108285869,108285869,1,2,1,4763857340,73389,73389,14,14,14,108269485,4,3,496034,383276,1084850,11096,1451883312,375711,11563295,1241
154576.55,253952,62,85819,5653711222,20,28307148,0,200,24,24,6662,128,0,675,484698,9,17,19988,35,12,141627146,1352,1,0,34,38,14,491,675,0,0,0,16310447,922694,1704588908,0,666,183,9,2,1,14,14,291,1,1706687280,1656518885,81165388,128137183,128153567,1,2,1,5638036052,73389,73389,14,14,14,128137183,4,3,509347,494296,1243876,13040,1706687280,484698,15067230,1241
156583.73,253952,62,99706,6568587790,20,30746206,0,244,24,24,6662,130,0,675,599431,9,17,23884,35,12,141892598,1352,1,0,34,38,14,491,675,0,0,0,20390877,1734030,1974217083,0,666,183,9,2,1,14,14,291,1,1974336304,1924063695,89031041,148914193,148930577,1,2,1,6552224492,73389,73389,14,14,14,148914193,4,3,513114,611376,1392370,15082,1974336304,599431,18999299,1241
158595.10,253952,62,113655,7488058494,21,34270745,0,288,25,25,6662,132,0,675,723356,9,17,27791,35,12,142423502,1352,1,0,34,39,14,491,675,0,0,0,24485269,2533108,2241484500,0,666,183,9,2,1,14,14,291,1,2242509616,2192831406,97898639,169826149,169826149,1,2,1,7472350556,73389,73389,14,14,14,169826149,4,3,522373,740537,1562189,17128,2242509616,723356,22924024,1241
160599.70,253952,62,124231,8184618106,23,37256261,0,319,25,25,6662,134,0,675,786582,9,17,30785,35,12,142423502,1352,1,0,34,39,14,491,675,0,0,0,26989052,2620304,2446575081,0,666,183,9,2,1,14,14,291,1,2446457648,2396421997,103509910,185657794,185657794,1,2,1,8168942936,73389,73389,14,14,14,185657794,4,3,524088,805153,1644178,18684,2446457648,786582,25345918,1241
