timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
488122.94,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
490132.62,10,253952,62,11518,757727422,4,5062211,106,9,9,2183,129,0,558,116667,0,1,4489,11,96410421,1118,1,4,579,14147262,7,56589048,10,23,0,2,2271,558,6837176,451021,269662060,0,558,562,0,3,1,14,14,1147,3,270208340,241298733,12337646,14398489,14398489,1,3,1,748721460,73389,73389,14,14,14,14398493,9,3,54284,119125,241669,2304,270208340,116667,6595749,1997
492141.22,12,253952,62,23859,1570332120,5,6613352,220,10,10,2183,190,1,558,228231,0,1,9340,11,98944281,1118,1,4,579,29597021,7,118323344,10,24,0,2,2271,558,14159476,658729,526164360,0,558,562,0,3,1,14,14,1147,3,526853811,497208241,21382443,30019301,30035685,1,3,1,1561003684,73389,73389,14,14,14,30019305,9,3,64854,233276,419652,4396,526853811,228231,13740314,1997
494147.83,14,253952,62,36352,2394020428,6,8233289,330,10,10,2183,299,1,558,342025,0,1,14295,11,100790379,1118,1,4,579,45215201,7,180860804,10,24,0,2,2271,558,21451169,814773,790635092,0,558,562,0,3,1,14,14,1147,3,790811326,756586103,30420902,45860853,45860853,1,3,1,2384764388,73389,73389,14,14,14,45860857,9,3,72588,349725,552975,6647,790811326,342025,20898941,1997
496157.00,16,253952,62,48172,3173675404,6,8950430,430,10,10,2183,353,1,567,448971,0,1,18926,11,104460101,1136,1,4,579,59968473,7,239744636,10,24,0,2,2271,567,28500002,1108626,1029995683,0,567,571,0,3,1,14,14,1147,3,1029667086,1001863946,38464443,60858629,60858629,1,3,1,3164648740,73389,73389,14,14,14,60858633,9,3,77791,459002,698800,8589,1029667086,448971,27802196,2038
498161.74,16,253952,62,57231,3768922542,8,11521404,500,10,10,2183,433,1,576,509280,0,1,22497,11,106598895,1154,1,4,579,71226381,7,284840972,10,24,0,2,2271,576,32835724,1139704,1222006033,0,576,577,0,3,1,14,14,1147,3,1220850025,1189606612,45397231,72292058,72292058,1,3,1,3759187048,73389,73389,14,14,14,72292062,9,3,81246,520805,759909,10215,1220850025,509280,32076984,2063
500166.33,17,253952,62,66604,4386014914,9,12963897,550,12,12,2183,466,1,576,567697,0,1,26136,11,107853759,1154,1,4,579,82852814,7,331346508,10,26,0,2,2271,576,37196942,1142975,1417273859,0,576,577,0,3,1,14,14,1147,3,1415940573,1383690474,51202276,84167411,84167411,1,3,1,4376705404,73389,73389,14,14,14,84167415,9,3,92711,580686,858955,11781,1415940573,567697,36339339,2063
502173.92,17,253952,62,76288,5024442196,10,14800895,621,14,14,2183,551,1,585,635511,2,1,30004,11,110864006,1172,1,4,579,95031704,7,380062140,10,28,0,2,2271,585,42289180,1275652,1614324536,0,583,584,2,3,1,14,14,1147,3,1613586822,1584781159,58247857,96437695,96437695,1,3,1,5014760172,73389,73389,14,14,14,96437699,9,3,104199,650184,967783,13467,1613586822,635511,41322937,2091
504186.97,17,253952,62,87072,5734669494,10,16241746,720,14,14,2183,600,1,594,726587,2,1,34216,11,113931747,1190,1,4,579,108458921,7,433706288,10,28,0,2,2271,594,48642260,1545463,1843931809,0,592,593,2,3,1,14,14,1147,3,1843024040,1808503162,66272485,110086394,110086394,1,3,1,5724492520,73389,73389,14,14,14,110086398,9,3,107162,743566,1071404,15329,1843024040,726587,47572620,2126
506199.47,19,253952,62,97927,6450294266,10,17594726,810,14,14,2183,691,1,603,817048,4,1,38525,11,116942336,1208,1,4,579,122026403,7,488105612,10,28,0,2,2271,603,55142179,1773606,2068284201,0,599,603,4,3,1,14,14,1147,3,2066712682,2033855072,74337271,123849337,123849337,1,3,1,6440165556,73389,73389,14,14,14,123849341,9,3,111158,836203,1180100,17231,2066712682,817048,53964062,2159
508209.86,19,253952,62,109294,7198506414,10,18599044,908,14,14,2183,748,1,612,911532,4,1,42978,11,119357095,1226,1,4,579,136224464,7,544768544,10,28,0,2,2271,612,61859123,2103419,2300236452,0,608,618,4,3,1,14,14,1147,3,2298691269,2269319988,82378003,138233157,138233157,1,3,1,7188124196,73389,73389,14,14,14,138233161,9,3,116398,932936,1299668,19130,2298691269,911532,60561681,2190
510214.21,19,253952,62,117938,7768965638,12,21388475,985,14,14,2183,819,1,639,963596,6,1,46392,11,126005107,1280,1,4,579,146947932,7,587791728,10,28,0,2,2271,639,65686011,2114186,2489415435,0,633,641,6,3,1,14,14,1147,3,2487191663,2449340452,89000777,149188403,149188403,1,3,1,7757796988,73389,73389,14,14,14,149188407,9,3,124155,986435,1375614,20728,2487191663,963596,64312785,2274
512225.10,19,253952,62,129161,8508092292,12,22413393,1069,16,16,2183,874,1,648,1048463,8,1,50788,11,129304875,1298,1,4,579,160971097,7,643755276,10,30,0,2,2271,648,71736052,2270413,2718643300,0,640,650,8,3,1,14,14,1147,3,2716067004,2682138334,96226281,163398032,163398032,1,3,1,8496697696,73389,73389,14,14,14,163398036,9,3,133544,1073363,1501550,22592,2716067004,1048463,70237113,2302
514235.61,19,253952,62,140777,9273083546,12,23503360,1182,16,16,2183,969,1,675,1158854,8,1,55390,11,134068856,1352,1,4,579,175486795,7,701826528,10,30,0,2,2271,675,78487939,2475055,2968143329,0,667,680,8,3,1,14,14,1147,3,2965869754,2923457855,104231925,178071361,178071361,1,3,1,9259710804,73389,73389,14,14,14,178071365,9,3,138343,1186165,1628585,24710,2965869754,1158854,76862201,2398
516247.35,21,253952,62,153257,10095678566,12,24111670,1269,16,16,2183,1032,1,684,1279452,8,1,60273,11,136183502,1370,1,4,579,191012933,7,763987148,10,30,0,2,2271,684,85764240,2661801,3236301224,0,676,690,8,3,1,14,14,1147,3,3233775120,3183218341,112282786,193816768,193833152,1,3,1,10078471968,73389,73389,14,14,14,193816772,9,3,143591,1309315,1773561,26902,3233775120,1279452,83993787,2436
518254.79,21,253952,62,166674,10978361950,12,25196833,1340,17,17,2183,1134,4,702,1406734,8,1,65546,11,139193090,1406,1,4,579,207689274,7,830757096,10,31,0,2,2271,702,93467497,2762088,3531033165,0,694,708,8,3,1,14,14,1147,3,3528769856,3462390197,121144509,210723724,210756492,1,3,1,10957633680,73389,73389,14,14,14,210723728,9,3,150270,1439402,1926462,29388,3528769856,1406734,91544419,2494
520267.98,24,253952,62,180050,11858808474,13,26951511,1399,18,18,2183,1209,5,729,1528816,8,1,70760,11,144616894,1460,1,4,579,224258783,7,896970820,10,32,0,2,2271,729,101223282,2876965,3824694565,0,721,733,8,3,1,14,14,1147,3,3821368113,3740968068,130758914,227556952,227573336,1,3,1,11832961536,73389,73389,14,14,14,227556956,9,3,153882,1564284,2054690,31792,3821368113,1528816,99172238,2596
522272.81,25,253952,62,191839,12635768204,14,29360261,1455,18,18,2183,1296,5,738,1621271,8,1,75373,11,146429508,1478,1,4,579,238865539,7,955462156,10,32,0,2,2271,738,107282133,3776664,4084110901,0,730,743,8,3,1,14,14,1147,3,4081529526,3986937855,139273106,242436166,242436166,1,3,1,12605828696,73389,73389,14,14,14,242419786,9,3,159930,1658926,2173803,33977,4081529526,1621271,105112188,2624
524287.83,26,253952,62,202408,13331881130,16,32183962,1516,21,21,2183,1347,5,738,1694337,8,1,79511,11,146441574,1478,1,4,579,252071687,7,1008092992,10,35,0,2,2271,738,112784155,3842250,4307473799,0,730,743,8,3,1,14,14,1147,3,4304747828,4206988261,147662358,255765377,255765377,1,3,1,13299799636,73389,73389,14,14,14,255765381,9,3,173659,1733905,2282499,35796,4304747828,1694337,110505718,2624
526305.37,27,253952,62,215949,14223509690,16,33522630,1622,21,21,2183,1442,5,765,1817755,8,1,84830,11,150949044,1532,1,4,579,268871536,7,1075486144,10,35,0,2,2271,765,121221786,4110812,4608145472,0,757,771,8,3,1,14,14,1147,3,4606342503,4488804677,157700347,272837888,272837888,1,3,1,14186718240,73389,73389,14,14,14,272821508,9,3,179965,1860303,2419020,38322,4606342503,1817755,118807118,2732
528317.67,31,253952,62,230620,15192898192,16,34438644,1752,22,22,2183,1531,5,855,1959352,8,1,90592,11,166875578,1712,1,4,579,287141102,7,1148499784,10,36,0,2,2271,855,130225755,4419349,4938862867,0,847,860,8,3,1,14,14,1147,3,4934681716,4796121132,167847409,291336634,291336634,1,3,1,15149505000,73389,73389,14,14,14,291336638,9,3,188130,2005132,2612054,41029,4934681716,1959352,127618359,3053
530322.14,35,253952,62,246390,16231480698,16,36056338,1841,22,22,2183,1636,5,927,2111070,8,1,96716,11,179854690,1856,1,4,579,306591129,7,1226299960,10,36,0,2,2271,927,139549976,4556195,5287861315,0,919,922,8,3,1,14,14,1147,3,5283355566,5124703166,178956288,311186233,311186233,1,3,1,16181684148,73389,73389,14,14,14,311186237,9,3,198587,2160364,2797769,43924,5283355566,2111070,136756186,3288
