timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
531476.60,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
533481.50,0,253952,62,11705,770284304,1,1939847,78,4,4,4181,127,0,558,80160,0,8,4577,17,96084639,1118,1,4,431,14436249,6,57744996,16,18,12,157,558,5364731,212,278473892,558,385,0,3,1,14,14,917,3,279148211,245137747,7304457,14642090,14642090,1,3,1,761388712,73389,73389,14,14,14,14642094,7,3,86763,82108,226644,2367,279148211,80160,5138297,1413
535486.51,0,253952,62,26392,1738132642,1,2397947,141,6,6,4181,197,3,567,184558,0,8,10333,19,100080143,1136,1,4,431,32742227,6,130968908,18,20,12,186,567,12851263,21105,583119908,567,396,0,3,1,14,14,917,3,584463610,550090546,15267483,33242187,33242187,1,3,1,1727741788,73389,73389,14,14,14,33225807,7,3,98299,189072,384553,4844,584463610,184558,12467199,1443
537500.28,3,253952,62,40125,2642253036,3,5129345,232,9,9,4181,307,3,567,281771,0,8,15742,20,101684921,1136,1,4,431,49901023,6,199280612,19,23,12,199,567,19717993,101185,869127816,567,396,0,3,1,14,14,917,3,869569112,834776284,24783196,50630312,50630312,1,3,1,2632776256,73389,73389,14,14,14,50630316,7,3,105122,288664,515280,7251,869569112,281771,19203451,1443
539509.39,3,253952,62,57204,3767557864,3,7288040,351,10,10,4181,411,3,585,434690,0,8,22471,21,108969854,1172,1,4,431,71193911,6,284646532,20,24,12,211,585,29828418,448951,1221651967,585,414,0,3,1,14,14,917,3,1221637614,1189186617,37522976,72244621,72277389,1,3,1,3756720324,73389,73389,14,14,14,72244625,7,3,116742,444999,733724,10161,1221637614,434690,29095785,1521
541516.29,5,253952,62,77295,5090865874,3,8993466,487,10,10,4181,550,3,585,627689,0,8,30379,21,111805364,1172,1,4,431,96268720,6,384945528,20,24,12,211,585,41971790,840364,1645753383,585,414,0,3,1,14,14,917,3,1645534146,1606378318,51744686,97676402,97676402,1,3,1,5079172936,73389,73389,14,14,14,97676406,7,3,123538,642142,974450,13695,1645534146,627689,40998841,1521
543528.82,6,253952,62,98633,6497128008,3,10193864,630,10,10,4181,685,4,585,823337,0,8,38767,21,115256240,1172,1,4,431,122854904,6,491354900,20,24,12,211,585,54619809,1098213,2088517206,585,414,0,3,1,14,14,917,3,2087011963,2049417196,65818147,124690954,124690954,1,3,1,6482225704,73389,73389,14,14,14,124658190,7,3,132178,842155,1195640,17361,2087011963,823337,53426112,1521
545533.86,15,253952,62,119004,7840306414,5,13249094,730,10,10,4181,817,4,585,965575,0,8,46728,21,117428120,1172,1,4,431,148161758,6,592582288,20,24,12,211,585,64253630,1114495,2518434052,585,414,0,3,1,14,14,917,3,2516415842,2472584524,78519862,150488772,150488772,1,3,1,7825416176,73389,73389,14,14,14,150488776,7,3,143211,987723,1374742,20925,2516415842,965575,62881226,1521
547540.17,17,253952,62,143408,9447803574,5,14241045,860,15,15,4181,970,5,594,1171593,2,8,56381,24,120112071,1190,1,4,431,178724220,6,714767720,23,29,12,2018,594,77706941,1358958,3030344800,592,426,2,3,1,14,14,917,3,3029196825,2979172249,93210669,181357438,181373822,1,3,1,9429734840,73389,73389,14,14,14,181341058,7,3,155774,1198363,1630066,25177,3029196825,1171593,76079691,1550
549549.40,21,253952,62,170917,11261299742,6,17106350,1016,15,15,4181,1149,5,603,1425278,2,8,67196,24,121924948,1208,1,4,431,213038327,6,851959416,23,29,12,2018,603,93546103,1802766,3610690951,601,438,2,3,1,14,14,917,3,3608050444,3550810775,112375903,216175919,216192303,1,3,1,11241147820,73389,73389,14,14,14,216175923,7,3,176746,1457565,1977401,29992,3608050444,1425278,91572089,1581
551560.71,23,253952,62,197352,13002643160,7,19127861,1175,17,17,4181,1318,5,621,1675566,2,8,77598,24,125247530,1244,1,4,431,246003718,6,983950336,23,31,12,2018,621,108682728,2210724,4168731181,619,458,2,3,1,14,14,917,3,4166241864,4100060888,129851938,249600045,249616429,1,3,1,12979202372,73389,73389,14,14,14,249600049,7,3,197009,1716572,2317135,34621,4166241864,1675566,106369496,1652
553565.56,27,253952,62,238187,15693864088,8,21854419,1341,24,24,4181,1585,8,648,2013907,4,8,93616,31,130314704,1298,1,4,431,296799329,6,1187003408,30,38,12,2519,648,130465970,2599582,5025489349,644,537,4,3,1,14,14,917,3,5023557509,4948276056,154798588,301294429,301310813,1,3,1,15667310340,73389,73389,14,14,14,301294433,7,3,222798,2062628,2769238,41730,5023557509,2013907,127701430,1756
555574.69,31,253952,62,279280,18400111008,15,30831043,1481,31,31,4181,1849,9,648,2316096,4,8,109823,31,130628420,1298,1,4,431,348174356,6,1392568300,30,45,12,2519,648,150304686,2721858,5895335497,644,537,4,3,1,14,14,917,3,5890915900,5801378298,183757947,353272103,353288487,1,3,1,18370149388,73389,73389,14,14,14,353272107,7,3,246378,2371963,3168990,48912,5890915900,2316096,147141162,1756
557580.75,40,253952,62,329315,21696998444,15,34194756,1725,32,32,4181,2170,11,666,2777024,4,8,129429,31,133882269,1334,1,4,431,410379267,6,1641387992,30,46,12,2519,666,179233887,3255842,6968671125,662,555,4,3,1,14,14,917,3,6966073704,6842668782,216591711,416448624,416462849,1,3,1,21654476512,73389,73389,14,14,14,416432244,7,3,268111,2843187,3743847,57821,6966073704,2777024,175496457,1819
559585.11,40,253952,62,369427,24340769166,18,39751947,1921,32,32,4181,2427,12,720,3124462,4,8,145144,31,144385609,1442,1,4,431,460210082,6,1840646412,30,46,12,2519,720,201123636,3603855,7845723373,716,603,4,3,1,14,14,917,3,7840138669,7678027128,244313432,467087955,467104339,1,3,1,24288573692,73389,73389,14,14,14,467087959,7,3,282366,3198467,4151498,65091,7840138669,3124462,196979318,2018
561591.72,41,253952,62,401519,26453821388,25,47835154,2054,38,38,4181,2628,12,837,3350127,6,8,157749,31,164234342,1676,1,4,431,500148239,6,2000334272,30,52,12,2519,837,216194099,3706418,8553895891,831,718,6,3,1,14,14,917,3,8549634903,8347131568,267643301,507464486,507497254,1,3,1,26387301336,73389,73389,14,14,14,507448106,7,3,302798,3429572,4432366,70978,8549634903,3350127,211769506,2441
563597.86,42,253952,62,439356,28945048358,25,51193764,2266,38,38,4181,2865,13,1197,3718629,6,8,172477,31,227386654,2396,1,4,431,546815325,6,2187196560,30,52,12,2519,1197,238468409,5210458,9439096921,1191,1113,6,3,1,14,14,917,3,9432367510,9139720725,293823588,554851396,554867780,1,3,1,28851420656,73389,73389,14,14,14,554835016,7,3,320262,3806446,4909270,78312,9432367510,3718629,233567662,3746
565602.68,43,253952,62,471548,31066309486,33,60356429,2379,40,40,4181,3071,13,1512,3954304,6,8,184955,31,283799825,3026,1,4,431,586374125,6,2345431772,30,54,12,2519,1512,253148536,5277982,10214723117,1506,1284,6,3,1,14,14,917,3,10206908959,9815657720,317757647,595131338,595147722,1,3,1,30946829608,73389,73389,14,14,14,595131342,7,3,339310,4047668,5239202,84723,10206908959,3954304,247918470,4548
