timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
102853.33,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
104861.39,6,253952,62,27875,1834453778,3,6044595,0,148,13,13,3815,231,1,567,264298,0,2,10907,28,0,101384725,1136,1,0,4,723,34542388,9,137975492,27,27,0,14,185,567,0,0,16021963,639718,612728004,0,567,554,0,3,1,14,14,1302,0,3,613499041,580428072,22715974,35083672,35100056,1,3,1,0,1824350976,73389,73389,14,14,14,35083676,9,3,105835,269840,521904,5146,613499041,264298,15500619,1986
106871.85,11,253952,62,56249,3704059418,3,9347713,0,315,13,13,3815,420,1,585,510054,0,2,22093,28,0,108040048,1172,1,0,4,723,69995640,9,279659708,27,27,0,14,185,585,0,0,32289361,1169624,1199627561,0,585,577,0,3,1,14,14,1302,0,3,1199686160,1169017293,42813571,71043000,71057225,1,3,1,0,3694236032,73389,73389,14,14,14,71043004,9,3,114628,521034,805071,10031,1199686160,510054,31485438,2054
108885.76,14,253952,62,84448,5563409474,4,11681769,0,461,13,13,3815,586,1,594,771765,0,2,33190,28,0,113943081,1190,1,0,4,723,105157573,9,420630292,27,27,0,14,185,594,0,0,48746520,1519971,1790190208,0,594,586,0,3,1,14,14,1302,0,3,1790588873,1755135466,61942421,106737581,106753965,1,3,1,0,5549614544,73389,73389,14,14,14,106723360,9,3,147439,788281,1187498,14909,1790588873,771765,47560743,2082
110892.24,18,253952,62,113046,7447924432,4,13090600,0,611,14,14,3815,779,15,612,1039689,0,2,44420,28,0,119100681,1226,1,0,4,723,140811666,9,563117616,27,28,0,14,185,612,0,0,65737534,2100684,2394525837,0,612,602,0,3,1,14,14,1302,0,3,2393461414,2349257052,80887982,142918093,142918093,1,3,1,0,7431740868,73389,73389,14,14,14,142918097,9,3,160542,1061971,1521427,19925,2393461414,1039689,64218419,2154
112900.57,20,253952,62,141646,9331503204,4,15707547,0,766,14,14,3815,960,27,621,1302862,0,2,55685,28,0,123700221,1244,1,0,4,723,176500726,9,705938452,27,28,0,14,185,621,0,0,82665181,2770719,2991200936,0,621,612,0,3,1,14,14,1302,0,3,2989282139,2942687177,101074777,179100764,179117148,1,3,1,0,9312387792,73389,73389,14,14,14,179084384,9,3,169960,1330935,1871920,24867,2989282139,1302862,80796150,2194
114915.91,30,253952,62,170520,11233538996,4,18296497,0,944,15,15,3815,1151,28,648,1575232,2,2,67041,28,0,129568166,1298,1,0,4,723,212522073,9,849894624,27,29,0,14,185,648,0,0,99661286,3324537,3596469397,0,646,644,2,3,1,14,14,1302,0,3,3593749751,3541708867,121205713,215668459,215684843,1,3,1,0,11214759900,73389,73389,14,14,14,215668463,9,3,188859,1609013,2228949,29893,3593749751,1575232,97435802,2302
116927.75,45,253952,62,209772,13818632086,5,22114617,0,1167,20,20,3815,1402,28,702,1954732,4,2,82443,32,0,140070869,1406,1,0,4,723,261356102,9,1045101108,31,34,0,14,235,702,0,0,124067089,4161807,4433663890,0,698,693,4,3,1,14,14,1302,0,3,4432760204,4357591402,150256406,265227334,265276486,1,3,1,0,13791821400,73389,73389,14,14,14,265227338,9,3,223551,1996874,2725323,36867,4432760204,1954732,121346010,2506
118938.85,51,253952,62,251578,16573789632,5,25939951,0,1387,20,20,3815,1668,32,738,2361466,6,2,98897,32,0,147205155,1478,1,0,4,723,313549142,9,1253873600,31,34,0,14,235,738,0,0,149629508,5106836,5317885508,0,732,737,6,3,1,14,14,1302,0,3,5314214724,5226285393,180602558,318150074,318158266,1,3,1,0,16542951912,73389,73389,14,14,14,318133694,9,3,245247,2412529,3253110,44174,5314214724,2361466,146381466,2646
120945.33,64,253952,62,296564,19538003710,6,29926069,0,1618,25,25,3815,1959,33,765,2785869,6,2,116589,35,0,152339338,1532,1,0,4,723,369622599,9,1478296524,34,39,0,14,266,765,0,0,176754287,5803347,6266106455,0,759,767,6,3,1,14,14,1302,0,3,6265670098,6160721146,212312162,375072669,375089053,1,3,1,0,19502926852,73389,73389,14,14,14,375056289,9,3,276498,2846346,3798055,52059,6265670098,2785869,172962199,2757
