timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
41418.84,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
43427.56,1,0,0,21016,1383409972,0,88513,0,3,1,1,6213,117,648,116339,25,1963,16,24,133647014,1298,1,0,15,15,14,14,68,648,0,0,0,1885114,729,456383366,0,648,251,2,1,14,14,301,1,456818884,408011563,1975457,31112711,31112711,1,2,1,1368959284,73389,73389,14,14,14,31112711,4,3,401887,118376,767289,3503,456818884,116339,1117908,1623
45434.02,1,253952,62,35473,2336185030,1,3995311,0,39,5,5,6213,120,675,241630,25,5783,20,24,140299886,1352,1,0,19,19,14,14,93,675,0,0,0,5698165,699225,736974744,0,675,280,2,1,14,14,301,1,737803056,686781229,8765513,52737371,52737371,1,2,1,2320444324,73389,73389,14,14,14,52737371,4,3,469133,246110,1096338,5648,737803056,241630,4602061,1725
47446.00,1,253952,62,49695,3273547062,1,7114111,0,79,7,7,6213,122,675,370162,25,9797,22,24,140830790,1352,1,0,21,21,14,14,116,675,0,0,0,9650070,1782167,1009727701,0,675,280,2,1,14,14,301,1,1011350320,960769452,19415437,74042543,74042543,1,2,1,3257871892,73389,73389,14,14,14,74042543,4,3,485905,376968,1297573,7735,1011350320,370162,8352861,1725
49450.19,1,253952,62,61346,4041088778,5,12309461,0,118,7,7,6213,124,675,452152,25,13085,22,24,141096242,1352,1,0,21,21,14,14,116,675,0,0,0,12541858,2001255,1235278423,0,675,280,2,1,14,14,301,1,1235745584,1185120063,27862669,91491886,91491886,1,2,1,4025642984,73389,73389,14,14,14,91491886,4,3,488060,460669,1383562,9447,1235745584,452152,11158758,1725
51455.66,1,253952,62,73179,4820823498,6,13745859,0,138,10,10,6213,126,675,531507,25,16421,22,24,141361694,1352,1,0,21,24,14,14,116,675,0,0,0,15449068,2344238,1461484275,0,675,280,2,1,14,14,301,1,1463417648,1413113862,32733242,109209406,109209406,1,2,1,4805213864,73389,73389,14,14,14,109209406,4,3,504139,541745,1517653,11184,1463417648,531507,13931988,1725
53467.12,1,253952,62,88198,5810417722,6,16426742,0,177,11,11,6213,128,675,652373,25,20630,22,24,141627146,1352,1,0,21,25,14,14,116,675,0,0,0,19387742,3099221,1751681698,0,675,280,2,1,14,14,301,1,1752562480,1702317940,40576736,131694226,131710610,1,2,1,5794545944,73389,73389,14,14,14,131694226,4,3,507313,665053,1667357,13390,1752562480,652373,17721093,1725
55480.76,1,253952,62,102907,6779430334,7,19923828,0,224,11,11,6213,130,675,769746,25,24761,22,24,141892598,1352,1,0,21,25,14,14,116,675,0,0,0,23368923,3841730,2034668742,0,675,280,2,1,14,14,301,1,2035809072,1985700617,48371955,153722453,153722453,1,2,1,6763787932,73389,73389,14,14,14,153722453,4,3,512161,784817,1808851,15551,2035809072,769746,21560917,1725
57489.58,1,253952,62,117321,7729375278,8,23459062,0,264,12,12,6213,133,675,883433,25,28849,22,24,142423502,1352,1,0,21,26,14,14,116,675,0,0,0,27401873,4589892,2312549930,0,675,280,2,1,14,14,301,1,2313157424,2263283468,57806519,175306153,175322537,1,2,1,7713470732,73389,73389,14,14,14,175306153,4,3,521573,900799,1973314,17667,2313157424,883433,25429546,1725
59495.35,1,253952,62,131990,8696031902,8,25933650,0,308,13,13,6213,135,675,1009530,25,32957,22,24,142688954,1352,1,0,21,27,14,14,116,675,0,0,0,31375742,5330471,2595141383,0,675,280,2,1,14,14,301,1,2595748656,2545918611,65270030,197283069,197283069,1,2,1,8680455036,73389,73389,14,14,14,197283069,4,3,527102,1032319,2123320,19823,2595748656,1009530,29253546,1725
