timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
476200.23,0,0,19415,1277955932,0,0,0,1,1,5998,117,585,126677,22,1812,16,0,120717836,1172,1,0,15,15,14,77,585,0,0,0,1970329,19202,419950645,0,585,397,2,1,14,14,3658,1,421036228,376858474,1990581,28741349,28741349,1,2,1,1264619356,73389,73389,14,14,14,28741349,12,3,329648,128881,764256,3230,421036228,126677,1206164,2078
478205.23,253952,62,40093,2640554062,16,16001623,16,28,28,5998,120,675,227926,22,7067,43,109,140299886,1352,1,0,42,42,14,286,675,0,0,0,6191176,33435,824047043,0,675,456,2,1,14,14,3658,1,826800944,775755495,27478574,59654849,59654849,1,2,1,2624092460,73389,73389,14,14,14,59638465,12,3,441405,232767,1113132,6327,826800944,227926,5078312,2343
480211.84,253952,62,53973,3555237330,24,26968315,60,29,29,5998,123,675,326154,22,11014,43,109,140830790,1352,1,0,42,43,14,286,675,0,0,0,9849626,636586,1093666729,0,675,456,2,1,14,14,3658,1,1093925680,1043115326,59673564,80446084,80446084,1,2,1,3539627696,73389,73389,14,14,14,80446084,12,3,454273,333114,1262586,8365,1093925680,326154,8587451,2343
482224.59,253952,62,68260,4496859202,25,30949605,100,30,30,5998,125,675,443765,22,15030,43,109,141361694,1352,1,0,42,44,14,286,675,0,0,0,13789562,1768432,1368792978,0,675,456,2,1,14,14,3658,1,1368652592,1318380550,68230284,101833176,101849560,1,2,1,4480659744,73389,73389,14,14,14,101833176,12,3,460520,453875,1418101,10461,1368652592,443765,12372023,2343
484229.56,253952,62,80047,5273060428,28,35862020,145,30,30,5998,127,675,518799,22,18348,43,109,141361694,1352,1,0,42,44,14,286,675,0,0,0,16774209,2069381,1594994826,0,675,456,2,1,14,14,3658,1,1595538224,1545302055,78097774,119489478,119489478,1,2,1,5257537032,73389,73389,14,14,14,119489478,12,3,463696,530522,1511175,12192,1595538224,518799,15263701,2343
486240.74,253952,62,92566,6098271682,28,37408353,174,33,33,5998,129,675,606307,22,21875,43,109,141892598,1352,1,0,42,47,14,286,675,0,0,0,19946000,2487540,1833664174,0,675,456,2,1,14,14,3658,1,1836579632,1786533706,83545767,138243064,138243064,1,2,1,6081973920,73389,73389,14,14,14,138226680,12,3,466325,619930,1631291,14031,1836579632,606307,18315492,2343
488257.07,253952,62,107338,7071678514,30,40676692,224,34,34,5998,131,675,730577,22,26014,43,109,142158050,1352,1,0,42,48,14,286,675,0,0,0,23988365,3255731,2120852800,0,675,456,2,1,14,14,3658,1,2121399088,2071142434,91654663,160359244,160359244,1,2,1,7055085840,73389,73389,14,14,14,160342860,12,3,469888,746661,1787125,16204,2121399088,730577,22202167,2343
490267.08,253952,62,121745,8020899254,30,43151555,264,36,36,5998,133,675,852139,22,30053,43,109,142423502,1352,1,0,42,50,14,286,675,0,0,0,28028985,4427899,2397021109,0,675,456,2,1,14,14,3658,1,2398485296,2348535449,100431256,181928719,181945103,1,2,1,8004863636,73389,73389,14,14,14,181928719,12,3,479349,870484,1944696,18318,2398485296,852139,26085354,2343
492280.29,253952,62,135892,8953080634,32,49102248,308,37,37,5998,136,675,973182,22,34076,43,109,142942340,1352,1,0,42,51,14,286,675,0,0,0,32053620,5333987,2669652992,0,675,456,2,1,14,14,3658,1,2670590768,2621098267,111085739,203121362,203121362,1,2,1,8937339928,73389,73389,14,14,14,203121362,12,3,484537,993837,2096705,20394,2670590768,973182,29958113,2343
494289.74,253952,62,150929,9943854506,32,52829990,359,37,37,5998,138,675,1086008,22,38290,43,109,143207792,1352,1,0,42,51,14,286,675,0,0,0,36220491,6231375,2959336983,0,675,456,2,1,14,14,3658,1,2959997744,2910670222,121418880,225630758,225647142,1,2,1,9927753352,73389,73389,14,14,14,225630758,12,3,488947,1109120,2250035,22602,2959997744,1086008,33971804,2343
