timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
225433.01,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
227437.29,1,0,0,18957,1247940444,0,1147,0,2,1,1,10641,117,0,585,128573,9,1771,16,29,120717836,1172,1,0,15,15,14,72,585,0,0,0,1991427,111,412216942,0,585,378,2,1,14,14,354,1,412647620,368096302,1995138,28053221,28069605,1,2,1,1234341724,73389,73389,14,14,14,28053221,5,3,361642,130624,797493,3166,412647620,128573,1194027,1763
229441.75,1,253952,62,34474,2270449114,27,27792413,0,57,29,29,10641,119,0,675,220347,9,5481,44,74,140299886,1352,1,0,43,43,14,234,675,0,0,0,5180375,255299,717949171,0,675,434,2,1,14,14,354,1,718666544,667540927,40172396,51240394,51256778,1,2,1,2254577336,73389,73389,14,14,14,51240394,5,3,482083,224353,1159956,5502,718666544,220347,4020625,2015
231451.18,1,253952,62,46737,3078364314,27,29463809,0,78,31,31,10641,121,0,675,298046,9,8938,44,74,140565338,1352,1,0,43,45,14,234,675,0,0,0,8043554,504029,951890819,0,675,434,2,1,14,14,354,1,954596144,903730661,45078987,69596890,69613274,1,2,1,3062263160,73389,73389,14,14,14,69596890,5,3,492361,303823,1258694,7302,954596144,298046,6785179,2015
233457.47,1,253952,62,61600,4057734922,27,32504253,0,123,31,31,10641,124,0,675,415658,9,13154,44,74,141096242,1352,1,0,43,45,14,234,675,0,0,0,12058369,1254727,1239079902,0,675,434,2,1,14,14,354,1,1240595248,1190019583,52470660,91868718,91868718,1,2,1,4042223592,73389,73389,14,14,14,91868718,5,3,497522,423836,1405160,9484,1240595248,415658,10653671,2015
235467.47,1,253952,62,77279,5090848358,29,36149097,0,166,32,32,10641,126,0,675,534790,9,17538,44,74,141361694,1352,1,0,43,46,14,234,675,0,0,0,16274990,2008214,1541734509,0,675,434,2,1,14,14,354,1,1542322992,1492077374,62373838,115334419,115350803,1,2,1,5074714436,73389,73389,14,14,14,115334419,5,3,511137,545499,1579978,11786,1542322992,534790,14695620,2015
237472.56,1,253952,62,90023,5930486290,31,39347711,0,206,33,33,10641,128,0,675,614210,9,21176,44,74,141627146,1352,1,0,43,47,14,234,675,0,0,0,19430523,2388455,1787599753,0,675,434,2,1,14,14,354,1,1787951920,1737429144,69276476,134426036,134442420,1,2,1,5914745584,73389,73389,14,14,14,134426036,5,3,515452,626736,1702576,13660,1787951920,614210,17728663,2015
239477.32,1,253952,62,101630,6695475410,31,40881543,0,240,33,33,10641,130,0,675,670483,9,24401,44,74,141892598,1352,1,0,43,47,14,234,675,0,0,0,21757313,2388477,2010501899,0,675,434,2,1,14,14,354,1,2011036464,1961105313,73146922,151815876,151815876,1,2,1,6679898544,73389,73389,14,14,14,151815876,5,3,520352,684368,1766766,15362,2011036464,670483,19991341,2015
241488.92,1,253952,62,116348,7665343298,31,43278378,0,297,36,36,10641,133,0,675,774572,9,28584,44,74,142423502,1352,1,0,43,50,14,234,675,0,0,0,25430032,2838440,2290729601,0,675,434,2,1,14,14,354,1,2294545200,2244637469,80117949,173841944,173858328,1,2,1,7649045536,73389,73389,14,14,14,173841944,5,3,530600,790664,1927186,17525,2294545200,774572,23503774,2015
243494.06,1,253952,62,128361,8456874498,34,47364118,0,337,36,36,10641,135,0,675,840676,9,31965,44,74,142688954,1352,1,0,43,50,14,234,675,0,0,0,28180342,2997125,2526360430,0,675,434,2,1,14,14,354,1,2525887280,2476015176,87184421,191846184,191846184,1,2,1,8441232096,73389,73389,14,14,14,191846184,5,3,532303,858348,2004156,19290,2525887280,840676,26177205,2015
