timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
595766.81,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
597770.98,0,0,19593,1289621340,0,3877,5,1,1,10809,116,612,130004,34,1830,16,37,126031382,1226,1,0,15,15,9,14,81,612,0,0,0,1984114,42,425045775,0,612,353,2,1,14,14,338,0,1,426917892,380485892,1988586,28978917,28995301,1,2,1,0,1275072348,73389,73389,14,14,14,28978917,6,3,374640,132182,838470,3273,426917892,130004,1145742,1803
599778.34,253952,62,37497,2469360798,10,10010318,18,18,18,10809,120,675,257310,34,6361,33,49,140299886,1352,1,0,32,32,9,14,146,675,0,0,0,6195927,1374733,770279061,0,675,394,2,1,14,14,338,0,1,776469296,725716251,24615110,55764093,55764093,1,2,1,0,2453620092,73389,73389,14,14,14,55764093,6,3,487048,262087,1254209,5943,776469296,257310,4941668,1977
601784.65,253952,62,51432,3387913998,14,16402432,64,18,18,10809,122,675,367310,34,10271,33,49,140830790,1352,1,0,32,32,9,14,146,675,0,0,0,10252410,2496601,1042004874,0,675,394,2,1,14,14,338,0,1,1044904752,994230184,39088535,76626897,76643281,1,2,1,0,3371583468,73389,73389,14,14,14,76626897,6,3,499740,374458,1439385,7991,1044904752,367310,8813406,1977
603791.64,253952,62,66176,4359485822,14,18919126,112,19,19,10809,124,675,485086,34,14408,33,49,141096242,1352,1,0,32,33,9,14,146,675,0,0,0,14401595,3432774,1326967998,0,675,394,2,1,14,14,338,0,1,1328675632,1278224524,47370191,98726693,98726693,1,2,1,0,4343253596,73389,73389,14,14,14,98710309,6,3,513856,494778,1610207,10156,1328675632,485086,12791914,1977
605804.00,253952,62,79881,5262169386,16,23629143,158,21,21,10809,127,675,598285,34,18319,33,49,141361694,1352,1,0,32,35,9,14,146,675,0,0,0,18315423,4473817,1589635054,0,675,394,2,1,14,14,338,0,1,1592392496,1542092240,57973089,119243718,119243718,1,2,1,0,5246002696,73389,73389,14,14,14,119227334,6,3,524017,610297,1779029,12168,1592392496,598285,16537049,1977
607814.51,253952,62,93995,6192453530,16,27861437,201,21,21,10809,129,675,712344,34,22265,33,49,141892598,1352,1,0,32,35,9,14,146,675,0,0,0,22474311,5627979,1862659766,0,675,394,2,1,14,14,338,0,1,1864235824,1814050349,68505448,140385050,140385050,1,2,1,0,6176942200,73389,73389,14,14,14,140385050,6,3,540543,727316,1948768,14242,1864235824,712344,20526331,1977
609828.10,253952,62,108173,7126666526,17,31463092,240,21,21,10809,131,675,827051,34,26242,33,49,142158050,1352,1,0,32,35,9,14,146,675,0,0,0,26476239,6496880,2137395329,0,675,394,2,1,14,14,338,0,1,2137389872,2087220920,77564760,161594077,161610461,1,2,1,0,7110139388,73389,73389,14,14,14,161594077,6,3,546894,844454,2123138,16326,2137389872,827051,24354023,1977
611834.90,253952,62,122085,8043181494,17,34385288,286,22,22,10809,134,675,937708,34,30202,33,49,142423502,1352,1,0,32,36,9,14,146,675,0,0,0,30426241,7164637,2403614245,0,675,394,2,1,14,14,338,0,1,2404776752,2355049332,85480212,182444815,182444815,1,2,1,0,8027571860,73389,73389,14,14,14,182444815,6,3,555258,957559,2288205,18367,2404907824,937762,28139097,1977
613840.84,253952,62,136045,8963131774,18,38188955,328,23,23,10809,136,675,1057875,34,34120,33,49,142942340,1352,1,0,32,37,9,14,146,675,0,0,0,34596946,7996608,2672444396,0,675,394,2,1,14,14,338,0,1,2673474352,2624029328,94937716,203350738,203373155,1,2,1,0,8947432472,73389,73389,14,14,14,203350738,6,3,567627,1080159,2457746,20416,2673474352,1057875,32140393,1977
