timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
558639.60,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
560644.58,0,0,18066,1189016964,0,0,0,0,1,1,5200,117,1,549,126869,4,1687,11,113102204,1100,1,0,10,15,9,530,549,0,0,0,1981552,14330,389803677,0,549,396,2,1,14,14,423,1,391676100,350656209,1996409,26746819,26746819,1,2,1,1176139140,73389,73389,14,14,14,26730435,11,3,342924,128925,780485,3006,391676100,126869,1201157,2039
562653.29,253952,62,33860,2229944558,17,19207872,0,35,23,23,5200,119,1,675,239329,4,5318,33,140299886,1352,1,0,32,37,9,764,675,0,0,0,5777028,979204,704347548,0,675,472,2,1,14,14,423,1,706738992,655661134,30079629,50316857,50333241,1,2,1,2213941708,73389,73389,14,14,14,50316857,11,3,477868,244234,1190048,5411,706738992,239329,4587214,2395
564657.80,253952,62,46016,3030847406,21,24775324,0,83,23,23,5200,121,1,675,327775,4,8778,33,140565338,1352,1,0,32,37,9,764,675,0,0,0,9039993,1469662,940396891,0,675,472,2,1,14,14,423,1,940702512,889852181,39681407,68525897,68525897,1,2,1,3015139468,73389,73389,14,14,14,68525897,11,3,478025,334515,1289983,7196,940702512,327775,7750371,2395
566667.97,253952,62,57457,3784626562,21,26367877,0,107,24,24,5200,123,1,675,394514,4,11969,33,140830790,1352,1,0,32,38,9,764,675,0,0,0,11719672,1623888,1160440883,0,675,472,2,1,14,14,423,1,1160903472,1110159666,44135742,85647560,85663944,1,2,1,3768492640,73389,73389,14,14,14,85647560,11,3,481619,402770,1366208,8876,1160903472,394514,10353919,2395
568677.89,253952,62,71398,4703572978,21,27875768,0,146,25,25,5200,125,1,675,497511,4,15881,33,141361694,1352,1,0,32,39,9,764,675,0,0,0,15639082,2534277,1428624367,0,675,472,2,1,14,14,423,1,1429470000,1378844448,51081640,106543132,106543132,1,2,1,4687176912,73389,73389,14,14,14,106526748,11,3,484784,508009,1489874,10925,1429470000,497511,14149804,2395
570683.43,253952,62,81608,5376146414,23,31588432,0,177,25,25,5200,127,1,675,551160,4,18776,33,141361694,1352,1,0,32,39,9,764,675,0,0,0,17915685,2578808,1625327119,0,675,472,2,1,14,14,423,1,1625684784,1575411477,57184446,121834105,121834105,1,2,1,5360700620,73389,73389,14,14,14,121834105,11,3,484817,562973,1549045,12422,1625684784,551160,16367329,2395
572691.10,253952,62,95201,6272020850,23,33101151,0,211,31,31,5200,129,1,675,651379,4,22597,33,141892598,1352,1,0,32,45,9,764,675,0,0,0,21658513,3445566,1886556983,0,675,472,2,1,14,14,423,1,1887435568,1837284649,64288690,142182972,142199356,1,2,1,6256050768,73389,73389,14,14,14,142182972,11,3,504062,665318,1729105,14419,1887435568,651379,19930226,2395
574701.72,253952,62,109306,7201196332,27,40143121,0,253,33,33,5200,131,1,675,762134,4,26553,33,142158050,1352,1,0,32,47,9,764,675,0,0,0,25611744,5578020,2154738570,0,675,472,2,1,14,14,423,1,2159016752,2109038777,76915779,163287662,163304046,1,2,1,7184657128,73389,73389,14,14,14,163287662,11,3,515963,778332,1870369,16491,2159016752,762134,23742338,2395
576714.99,253952,62,123263,8120648354,29,44848069,0,289,33,33,5200,134,1,675,868321,4,30521,33,142423502,1352,1,0,32,47,9,764,675,0,0,0,29755536,6826709,2425274006,0,675,472,2,1,14,14,423,1,2427452208,2377728378,88501413,184203936,184203936,1,2,1,8104252288,73389,73389,14,14,14,184187552,11,3,525735,886747,2018702,18539,2427452208,868321,27737936,2395
