timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
88759.77,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0
90764.05,0,0,19467,1281363804,0,0,0,0,1,1,5212,117,594,122092,51,1818,11,2999,122489018,1190,1,0,10,15,0,9,6155,594,0,0,0,1957857,18191,419950647,0,594,344,2,1,14,14,508,1,422871236,377957372,1976913,28806885,28823269,1,2,1,1267502940,73389,73389,14,14,14,28806885,9,1,3,368700,124112,794727,3244,422871236,122092,1163217,1720
92776.26,253952,62,35633,2346670790,2,2001797,0,2,32,32,5212,120,675,251417,51,5860,42,3013,140299886,1352,1,0,41,46,1,9,6424,675,0,0,0,5872231,1606918,738669326,0,675,374,2,1,14,14,508,1,740817712,689831993,18486330,52966747,52983131,1,2,1,2330536868,73389,73389,14,14,14,52966747,9,1,3,480068,255755,1153357,5671,740817712,251417,4719078,1946
94789.82,253952,62,50157,3303824694,2,2001797,0,2,32,32,5212,122,675,365067,51,9929,42,3013,140830790,1352,1,0,41,46,1,9,6424,675,0,0,0,10258550,4098355,1017578823,0,675,374,2,1,14,14,508,1,1020394288,969639267,35757877,74714287,74730671,1,2,1,3287428628,73389,73389,14,14,14,74714287,9,1,3,493399,371669,1356221,7804,1020394288,365067,8902652,1946
96795.79,253952,62,65526,4316621970,2,2001797,0,2,32,32,5212,124,675,495399,51,14225,42,3013,141096242,1352,1,0,41,46,1,9,6424,675,0,0,0,14629150,6263588,1312482938,0,675,374,2,1,14,14,508,1,1316354864,1265665126,50783174,97754004,97754004,1,2,1,4301176176,73389,73389,14,14,14,97754004,9,1,3,511385,504298,1545741,10062,1316354864,495399,13083845,1946
98800.19,253952,62,85668,5643549834,2,2001797,0,2,32,32,5212,128,675,606081,51,19940,42,3013,141627146,1352,1,0,41,46,1,9,6424,675,0,0,0,19183411,6263922,1700245343,0,675,374,2,1,14,14,508,1,1703803696,1653554250,60149482,127901774,127918158,1,2,1,5627678056,73389,73389,14,14,14,127901774,9,1,3,516291,617551,1683043,13018,1703803696,606081,17500993,1946
100811.25,253952,62,101643,6696327378,2,2001797,0,2,32,32,5212,130,675,731790,51,24404,42,3013,141892598,1352,1,0,41,46,1,9,6424,675,0,0,0,23787850,8129616,2008257087,0,675,374,2,1,14,14,508,1,2011298608,1961394925,83289206,151832260,151832260,1,2,1,6680619440,73389,73389,14,14,14,151832260,9,1,3,549899,745583,1937012,15364,2011298608,731790,21851596,1946
102822.71,253952,62,116403,7668947778,2,2001797,0,2,32,32,5212,133,675,861000,51,28613,42,3013,142423502,1352,1,0,41,46,1,9,6424,675,0,0,0,27980551,10049827,2287816533,0,675,374,2,1,14,14,508,1,2295724848,2245662925,98880603,173940248,173940248,1,2,1,7652650016,73389,73389,14,14,14,173923864,9,1,3,578175,877971,2181606,17534,2295724848,861000,25799819,1946
104830.27,253952,62,130956,8627736774,2,2001797,0,2,32,32,5212,135,675,994922,51,32678,42,3013,142688954,1352,1,0,41,46,1,9,6424,675,0,0,0,32417280,12587510,2572885271,0,675,374,2,1,14,14,508,1,2575825712,2525971009,126073394,195714523,195730907,1,2,1,8611439012,73389,73389,14,14,14,195714523,9,1,3,609353,1014097,2429014,19671,2575825712,994922,29989264,1946
106841.59,253952,62,145229,9568175690,2,2001797,0,2,32,32,5212,137,675,1131349,51,36699,42,3013,142942340,1352,1,0,41,46,1,9,6424,675,0,0,0,36429473,14906128,2845094376,0,675,374,2,1,14,14,508,1,2850683696,2800935649,141843825,217087390,217103774,1,2,1,9551845160,73389,73389,14,14,14,217087390,9,1,3,634996,1152748,2667389,21768,2850683696,1131349,33763190,1946
108850.63,253952,62,160088,10546959782,2,2001797,0,2,32,32,5212,140,675,1264871,51,40928,42,3013,143738696,1352,1,0,41,46,1,9,6424,675,0,0,0,40916610,17146128,3128291320,0,675,374,2,1,14,14,508,1,3135736784,3086879264,158074604,239340675,239357059,1,2,1,10530989700,73389,73389,14,14,14,239340675,9,1,3,665251,1288591,2894798,23946,3135736784,1264871,38023026,1946
110861.28,253952,62,174246,11479862058,2,2001797,0,2,32,32,5212,142,675,1395325,51,44868,42,3013,144004148,1352,1,0,41,46,1,9,6424,675,0,0,0,45167796,19640836,3403255714,0,675,374,2,1,14,14,508,1,3407973328,3359499013,178608692,260549702,260566086,1,2,1,11464186888,73389,73389,14,14,14,260549702,9,1,3,703654,1422021,3145390,26023,3407973328,1395325,42023722,1946
112870.07,253952,62,188281,12404703406,2,2001797,0,2,32,32,5212,144,675,1541928,51,48806,42,3013,144269600,1352,1,0,41,46,1,9,6424,675,0,0,0,49591753,22284481,3673362149,0,675,374,2,1,14,14,508,1,3678505936,3629980128,197137925,281570313,281570313,1,2,1,12388372876,73389,73389,14,14,14,281553929,9,1,3,734603,1570885,3386116,28087,3678505936,1541928,46207051,1946
114876.72,253952,62,202116,13316437554,2,2001797,0,2,32,32,5212,147,675,1669854,51,52739,42,3013,144800504,1352,1,0,41,46,1,9,6424,675,0,0,0,53557288,24562774,3941511838,0,675,374,2,1,14,14,508,1,3944582096,3896401039,212156740,302279628,302296012,1,2,1,13300303632,73389,73389,14,14,14,302279628,9,1,3,766027,1700988,3603567,30117,3944582096,1669854,49955243,1946
