timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
266808.97,0,0,18022,1186133380,0,0,0,0,1,1,5214,117,549,119874,19,1683,6,0,113102204,1100,1,626,0,5,15,4,2555,549,0,626,9,0,0,1962674,19064,390196336,0,549,298,2,1,14,14,448,1,390758596,349813278,1982467,26681283,26681283,1,2,1,1173976452,73389,73389,14,14,14,26681283,13,3,342771,121860,790019,2999,390758596,119874,1172745,1751
268823.17,253952,62,34715,2286243290,19,21141512,0,42,25,25,5214,119,675,241225,19,5549,30,45,140299886,1352,1,626,0,29,39,4,2886,675,0,626,9,0,0,5766983,1035803,719275731,0,675,348,2,1,14,14,448,1,723254064,672151004,33070056,51600842,51617226,1,2,1,2270437048,73389,73389,14,14,14,51600842,13,3,499320,245499,1264870,5537,723254064,241225,4502327,2084
270827.78,253952,62,47834,3150788210,22,26071467,0,95,25,25,5214,122,675,337392,19,9288,30,45,140565338,1352,1,626,0,29,39,4,2886,675,0,626,9,0,0,9247440,2593649,975505461,0,675,348,2,1,14,14,448,1,975829808,924871629,42777798,71239164,71255548,1,2,1,3134523216,73389,73389,14,14,14,71239164,13,3,504518,343605,1377747,7464,975829808,337392,7870019,2084
272832.71,253952,62,58846,3876186970,23,28962062,0,128,25,25,5214,123,675,392262,19,12347,30,45,140830790,1352,1,626,0,29,39,4,2886,675,0,626,9,0,0,11508386,2596603,1186882573,0,675,348,2,1,14,14,448,1,1187773232,1136932663,47983635,87740394,87740394,1,2,1,3860577336,73389,73389,14,14,14,87740394,13,3,509019,399732,1450482,9081,1187773232,392262,10058324,2084
274839.08,253952,62,72590,4781957342,23,30342911,0,177,27,27,5214,126,675,481360,19,16262,30,45,141361694,1352,1,626,0,29,41,4,2886,675,0,626,9,0,0,14967531,3174930,1450996902,0,675,348,2,1,14,14,448,1,1452145456,1401728669,53794615,108318637,108335021,1,2,1,4766020028,73389,73389,14,14,14,108318637,13,3,522176,490779,1568775,11098,1452145456,481360,13399314,2084
276852.64,253952,62,87696,5777253198,25,34788776,0,214,29,29,5214,128,675,585548,19,20494,30,45,141627146,1352,1,626,0,29,43,4,2886,675,0,626,9,0,0,18980936,4025896,1741737568,0,675,348,2,1,14,14,448,1,1742863152,1692636270,63812263,130950913,130950913,1,2,1,5761840172,73389,73389,14,14,14,130950913,13,3,531918,597354,1712897,13316,1742863152,585548,17268758,2084
278860.72,253952,62,102616,6760359358,25,38037749,0,267,30,30,5214,130,675,691948,19,24689,30,45,141892598,1352,1,626,0,29,44,4,2886,675,0,626,9,0,0,23010207,4734043,2026712015,0,675,348,2,1,14,14,448,1,2030041904,1980059755,72376249,153280085,153296469,1,2,1,6744323740,73389,73389,14,14,14,153280085,13,3,542821,708462,1864061,15507,2030041904,691948,21147032,2084
280869.30,253952,62,117219,7722690606,26,42915347,0,313,30,30,5214,133,675,793774,19,28818,30,45,142423502,1352,1,626,0,29,44,4,2886,675,0,626,9,0,0,27062433,5572257,2311029138,0,675,348,2,1,14,14,448,1,2311191344,2261431639,82855076,175158697,175175081,1,2,1,7706982668,73389,73389,14,14,14,175158697,13,3,551440,812635,2015198,17652,2311191344,793774,25048272,2084
282873.70,253952,62,128107,8439962902,28,46271175,0,337,30,30,5214,135,675,847774,19,31898,30,45,142423502,1352,1,626,0,29,44,4,2886,675,0,626,9,0,0,29329961,5573472,2521881967,0,675,348,2,1,14,14,448,1,2520906544,2471052941,88489335,191463319,191463319,1,2,1,8424386036,73389,73389,14,14,14,191463319,13,3,551934,867928,2083957,19252,2520906544,847774,27247133,2084
284883.22,253952,62,142568,9392988038,28,48458090,0,376,32,32,5214,137,675,952109,19,35951,30,45,142942340,1352,1,626,0,29,46,4,2886,675,0,626,9,0,0,33179902,6079125,2799109202,0,675,348,2,1,14,14,448,1,2799303472,2749694348,95381533,213120747,213120747,1,2,1,9377312868,73389,73389,14,14,14,213120747,13,3,566428,974502,2236515,21376,2799303472,952109,30944662,2084
286889.79,253952,62,157737,10392088290,28,51128601,0,421,32,32,5214,139,675,1061890,19,40198,30,45,143473244,1352,1,626,0,29,46,4,2886,675,0,626,9,0,0,37320033,6561866,3090745020,0,675,348,2,1,14,14,448,1,3090385872,3041660103,103104281,235832784,235832784,1,2,1,10376642496,73389,73389,14,14,14,235832784,13,3,570444,1086779,2389671,23600,3090385872,1061890,34931805,2084
288903.09,253952,62,172117,11339539558,30,55212293,0,463,34,34,5214,142,675,1173067,19,44282,30,45,144004148,1352,1,626,0,29,48,4,2886,675,0,626,9,0,0,41382374,6970282,3366661555,0,675,348,2,1,14,14,448,1,3366947792,3318517022,112031753,257369491,257369491,1,2,1,11324257604,73389,73389,14,14,14,257369491,13,3,581733,1200388,2552135,25710,3366947792,1173067,38831823,2084
290914.17,253952,62,186433,12283061974,30,58139405,0,507,34,34,5214,144,675,1287321,19,48297,30,45,144269600,1352,1,626,0,29,48,4,2886,675,0,626,9,0,0,45412915,7508126,3641141224,0,675,348,2,1,14,14,448,1,3642723280,3594426137,119904864,278805735,278822119,1,2,1,12267452340,73389,73389,14,14,14,278805735,13,3,587359,1317123,2696017,27814,3642723280,1287321,42718634,2084
292923.67,253952,62,200692,13222583386,30,60849125,0,552,35,35,5214,146,675,1401639,19,52295,30,45,144535052,1352,1,626,0,29,49,4,2886,675,0,626,9,0,0,49440424,8113339,3917457351,0,675,348,2,1,14,14,448,1,3917319120,3869007799,127671270,300162218,300162218,1,2,1,13206416696,73389,73389,14,14,14,300145834,13,3,596082,1434536,2861845,29909,3917319120,1401639,46580465,2084
294931.40,253952,62,214835,14154502622,31,65377124,0,591,35,35,5214,149,675,1509741,19,56318,30,45,145065956,1352,1,626,0,29,49,4,2886,675,0,626,9,0,0,53476836,8805023,4188658210,0,675,348,2,1,14,14,448,1,4189293520,4141407287,137288952,321346669,321346669,1,2,1,14138532540,73389,73389,14,14,14,321330285,13,3,607403,1545088,3027087,31984,4189293520,1509741,50451785,2084
