timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
18535.47,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
20545.79,5,253952,62,35294,2323114760,5,7118498,0,189,17,17,1279,273,7,567,336775,2,33,13821,29,3192,104461555,1136,1,0,4,5621,43764043,13,174927036,28,31,11,3448,567,0,0,21452962,962581,763153188,0,565,552,2,3,1,14,14,6272,0,3,763628510,734290100,29533058,44487200,44503584,1,3,1,0,2312482464,73389,73389,14,14,14,44470820,10,3,116718,344508,656363,6371,763628510,336775,20797432,5781
22558.38,15,253952,62,69699,4590188160,6,10207915,0,365,18,18,1279,499,10,576,641267,2,33,27377,29,3192,112271234,1154,1,0,4,5621,86785058,13,346881860,28,32,11,3448,576,0,0,42713594,1750631,1477018615,0,574,566,2,3,1,14,14,6272,0,3,1477215939,1448096196,54660586,88058167,88090935,1,3,1,0,4579024716,73389,73389,14,14,14,88058171,10,3,131473,656384,999509,12300,1477215939,641267,41715634,5817
24562.95,17,253952,62,104377,6876878326,6,11949639,0,540,18,18,1279,725,13,585,942558,2,33,40985,29,3192,118044081,1172,1,0,4,5621,129893088,13,519442960,28,32,11,3448,585,0,0,62389128,2093539,2198030329,0,583,578,2,3,1,14,14,6272,0,3,2196357958,2167849908,76298141,132058548,132058548,1,3,1,0,6867044528,73389,73389,14,14,14,132058552,10,3,150216,964734,1399309,18279,2196357958,942558,60992058,5852
26576.00,20,253952,62,134917,8887557310,11,17943392,0,708,23,23,1279,919,13,603,1176709,2,33,53072,29,3192,121668356,1208,1,0,4,5621,168207993,13,672767516,28,37,11,3448,603,0,0,77666868,2263871,2833094746,0,601,585,2,3,1,14,14,6272,0,3,2832279678,2801329890,97775919,170690627,170707011,1,3,1,0,8875060668,73389,73389,14,14,14,170674247,10,3,175025,1204501,1723300,23545,2832279678,1176709,75946407,5908
28584.43,38,253952,62,175235,11544992654,12,22253313,0,923,28,28,1279,1180,17,603,1562180,2,33,68952,29,3192,122295788,1208,1,0,4,5621,218552334,13,874209336,28,42,11,3448,603,0,0,101817505,3423386,3675544583,0,601,585,2,3,1,14,14,6272,0,3,3672606671,3638570622,127470920,221770611,221786995,1,3,1,0,11532071804,73389,73389,14,14,14,221770615,10,3,193539,1598698,2209783,30512,3672606671,1562180,99611380,5908
30598.91,47,253952,62,217629,14337684378,13,28220440,0,1135,29,29,1279,1456,24,603,1953890,2,33,85625,30,3192,122295788,1208,1,0,4,5621,271486795,13,1085624124,29,43,11,3607,603,0,0,127341856,4517445,4554872777,0,601,585,2,3,1,14,14,6272,0,3,4552772108,4517816138,160111498,275476353,275492737,1,3,1,0,14324770388,73389,73389,14,14,14,275476357,10,3,210371,1999581,2712397,37809,4552772108,1953890,124633983,5908
32603.91,57,253952,62,262101,17267935434,14,33038990,0,1355,31,31,1279,1740,26,603,2337032,2,33,103144,30,3192,122295788,1208,1,0,4,5621,327032372,13,1308000012,29,45,11,3607,603,0,0,152818930,5218886,5480913088,0,601,585,2,3,1,14,14,6272,0,3,5477351403,5440311060,191065203,331811283,331827667,1,3,1,0,17253447048,73389,73389,14,14,14,331797062,10,3,230605,2391978,3203252,45468,5477351403,2337032,149621082,5908
34613.45,58,253952,62,312637,20599301056,18,39056808,0,1512,36,36,1279,2061,26,603,2702123,2,33,123026,31,3192,122295788,1208,1,0,4,5621,390123629,13,1560236216,30,50,11,3708,603,0,0,177335785,5273516,6550949366,0,601,585,2,3,1,14,14,6272,0,3,6547445307,6490795599,221661429,395771633,395788017,1,3,1,0,20580124948,73389,73389,14,14,14,395771637,10,3,258757,2766026,3662831,54359,6547445307,2702123,173678324,5908
36618.02,65,253952,62,378640,24946505250,18,41467634,0,1791,46,46,1279,2492,32,783,3299539,6,33,148858,41,4343,151804553,1568,1,0,4,5621,471999934,13,1887870552,40,60,11,5213,783,0,0,213839117,6004705,7978329302,0,777,717,6,3,1,14,14,6272,0,3,7976823656,7863970403,261278266,479061612,479110764,1,3,1,0,24909499920,73389,73389,14,14,14,479028848,10,3,316384,3376794,4466543,66248,7976823656,3299539,209380233,6456
