timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
298501.79,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,3,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
300506.63,2,253952,62,31363,2066096044,1,2964156,0,162,12,12,1077,252,0,567,269836,0,20,12278,19,103206691,1136,1,0,4,5676,38899389,7,155468612,18,26,0,6,4277,567,0,0,17508099,451542,684010261,0,567,649,0,3,1,14,14,6335,0,3,684417643,653433487,20709793,39534914,39551298,1,3,1,0,2055815560,73389,73389,14,14,14,39534918,10,3,100566,276272,535011,5728,684417643,269836,16973708,5197
302515.36,3,253952,62,54824,3611491106,7,10033420,0,243,17,17,1077,407,0,576,401399,0,20,21539,19,107471288,1154,1,0,4,5676,68219232,7,272747832,18,31,0,6,4277,576,0,0,27363531,465427,1168336470,0,576,656,0,3,1,14,14,6335,0,3,1169194340,1139966279,37881950,69258859,69275243,1,3,1,0,3600608732,73389,73389,14,14,14,69242479,10,3,117393,411617,718639,9768,1169194340,401399,26645878,5220
304527.57,4,253952,62,87389,5756047706,7,11242720,0,441,18,18,1077,621,3,585,690845,0,20,34354,19,112747107,1172,1,0,4,5676,108864211,7,435262940,18,32,0,6,4277,585,0,0,45970396,846613,1844612996,0,585,667,0,3,1,14,14,6335,0,3,1844940653,1815187013,57972609,110499868,110499868,1,3,1,0,5745993168,73389,73389,14,14,14,110499872,10,3,132260,707945,1097331,15391,1844940653,690845,44874685,5255
306542.68,9,253952,62,125335,8257355962,7,14012999,0,626,20,20,1077,854,3,594,1030514,0,20,49284,21,118962755,1190,1,0,4,5676,156200849,7,624738768,20,34,0,6,4303,594,0,0,67833386,1255839,2632619216,0,594,673,0,3,1,14,14,6335,0,3,2632751557,2602639126,83081043,158577706,158610474,1,3,1,0,8244336808,73389,73389,14,14,14,158544942,10,3,155054,1055701,1540960,21897,2632751557,1030514,66294802,5284
308546.38,17,253952,62,156907,10337969518,14,21793553,0,740,20,20,1077,1062,4,594,1231181,0,20,61713,21,120181421,1190,1,0,4,5676,195649727,7,782534200,20,34,0,6,4303,594,0,0,82072868,1272908,3288704029,0,594,673,0,3,1,14,14,6335,0,3,3287130095,3257663966,105111887,198605855,198622239,1,3,1,0,10327504492,73389,73389,14,14,14,198605859,10,3,164432,1261545,1743817,27336,3287130095,1231181,80331964,5284
310550.48,25,253952,62,192248,12666046766,15,24019208,0,900,27,27,1077,1289,5,594,1499333,0,20,75619,21,120483071,1190,1,0,4,5676,239749541,7,958998164,20,41,0,6,4303,594,0,0,100085976,1435382,4021567805,0,594,673,0,3,1,14,14,6335,0,3,4020119010,3990587247,125472114,243366821,243399589,1,3,1,0,12653370788,73389,73389,14,14,14,243334057,10,3,190020,1536172,2088998,33399,4020119010,1499333,98000588,5284
312558.06,29,253952,62,221241,14576134728,21,31112633,0,1006,32,32,1077,1478,8,603,1687324,0,20,87080,21,122294067,1208,1,0,4,5676,276074974,7,1104170684,20,46,0,6,4303,603,0,0,113026382,1476927,4630220903,0,603,677,0,3,1,14,14,6335,0,3,4627628494,4592466670,145560732,280079813,280112581,1,3,1,0,14564150308,73389,73389,14,14,14,280079817,10,3,204882,1728883,2332760,38447,4627628494,1687324,110697722,5308
314569.35,31,253952,62,258574,17036081498,21,33458066,0,1215,33,33,1077,1715,14,612,2025403,0,20,101763,21,123792375,1226,1,0,4,5676,322664438,7,1290464008,20,47,0,6,4303,612,0,0,134252163,1809125,5408416111,0,612,683,0,3,1,14,14,6335,0,3,5407035595,5367331774,169439551,327350961,327367345,1,3,1,0,17022250004,73389,73389,14,14,14,327350965,10,3,217716,2074743,2751546,44900,5407035595,2025403,131505465,5345
316574.89,34,253952,62,303324,19984316858,21,35105157,0,1440,37,37,1077,2003,21,630,2446242,0,20,119359,24,127043349,1262,1,0,4,5676,378445868,7,1513654020,23,51,0,6,4337,630,0,0,160307127,2284065,6356817770,0,630,701,0,3,1,14,14,6335,0,3,6352857316,6297206703,197610790,383929492,383945876,1,3,1,0,19964333616,73389,73389,14,14,14,383929496,10,3,263951,2505359,3345324,52751,6352857316,2446242,156967550,5413
318585.27,39,253952,62,365776,24099452504,21,38136799,0,1720,46,46,1077,2401,21,756,3030268,2,20,143771,33,149771781,1514,1,0,4,5676,455870812,7,1823297728,32,60,0,6,5607,756,0,0,197271454,2945045,7720564564,0,754,843,2,3,1,14,14,6335,0,3,7719349973,7598697319,238283182,462654368,462703520,1,3,1,0,24056323232,73389,73389,14,14,14,462621604,10,3,308015,3103138,4109680,64116,7719349973,3030268,193183536,5901
320589.05,40,253952,62,425161,28010488398,29,49380186,0,1954,53,53,1077,2774,27,1350,3537262,6,20,166780,33,254999846,2702,1,0,4,5676,528904863,7,2115554832,32,67,0,6,5607,1350,0,0,227828033,3314575,9158471465,0,1344,1321,6,3,1,14,14,6335,0,3,9153679395,8846278850,280322243,536840049,536872817,1,3,1,0,27914830612,73389,73389,14,14,14,536823669,10,3,340142,3622273,4750701,76007,9153679395,3537262,223085416,7718
