timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
469037.79,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
471042.55,0,0,18184,1196750212,0,0,0,0,1,1,6880,117,549,129965,27,1698,11,179,113102204,1100,1,0,10,15,9,4596,549,0,0,0,1985592,1312,393473658,0,549,379,2,1,14,14,439,0,1,393904324,352942441,1988000,26910659,26927043,1,2,1,0,1184068996,73389,73389,14,14,14,26910659,11,3,345325,132088,835168,3023,393904324,129965,1150513,1760
473055.55,253952,62,34096,2245411054,8,9865470,0,34,13,13,6880,119,675,252921,27,5382,23,197,140299886,1352,1,0,22,27,9,5454,675,0,0,0,5685102,1316637,708649252,0,675,467,2,1,14,14,439,0,1,711457584,660206334,19502084,50677305,50677305,1,2,1,0,2229080524,73389,73389,14,14,14,50660921,11,3,487124,257350,1291975,5447,711457584,252921,4393301,2165
475060.09,253952,62,47811,3149280882,9,13235527,0,90,13,13,6880,122,675,356067,27,9282,23,197,140565338,1352,1,0,22,27,9,5454,675,0,0,0,9220688,1988850,973135129,0,675,467,2,1,14,14,439,0,1,975305520,924418700,27348468,71206396,71222780,1,2,1,0,3133081424,73389,73389,14,14,14,71206396,11,3,488903,362545,1403963,7460,975305520,356067,7817012,2165
477065.30,253952,62,58978,3884849788,12,16941853,0,119,14,14,6880,123,675,416756,27,12383,23,197,140830790,1352,1,0,22,28,9,5454,675,0,0,0,11554997,1995866,1187399969,0,675,467,2,1,14,14,439,0,1,1190263600,1139460117,33466580,87937002,87937002,1,2,1,0,3869228088,73389,73389,14,14,14,87937002,11,3,489006,424628,1475892,9100,1190263600,416756,10079485,2165
479073.79,253952,62,70125,4619614746,13,18640758,0,135,16,16,6880,125,675,476278,27,15536,23,197,141361694,1352,1,0,22,30,9,5454,675,0,0,0,13969222,2051569,1404421317,0,675,467,2,1,14,14,439,0,1,1404697392,1354249886,37692173,104630522,104646906,1,2,1,0,4603742968,73389,73389,14,14,14,104630522,11,3,497820,485573,1546625,10736,1404697392,476278,12423070,2165
481080.80,253952,62,86112,5672913270,13,21881812,0,173,19,19,6880,128,675,584850,27,20066,23,197,141627146,1352,1,0,22,33,9,5454,675,0,0,0,17893119,3563675,1710872955,0,675,467,2,1,14,14,439,0,1,1712323376,1662136342,47302570,128579551,128579551,1,2,1,0,5656779348,73389,73389,14,14,14,128563167,11,3,513741,596348,1717114,13083,1712323376,584850,16176616,2165
483086.33,253952,62,101850,6709893330,16,27861578,0,221,21,21,6880,130,675,693206,27,24469,23,197,141892598,1352,1,0,22,35,9,5454,675,0,0,0,21704030,4962953,2009976789,0,675,467,2,1,14,14,439,0,1,2015755056,1965322404,59272172,152143556,152143556,1,2,1,0,6693595568,73389,73389,14,14,14,152127172,11,3,527462,706849,1892585,15398,2015755056,693206,19812180,2165
485092.50,253952,62,113006,7445260178,19,32683500,0,247,21,21,6880,132,675,742086,27,27631,23,197,142423502,1352,1,0,22,35,9,5454,675,0,0,0,23887094,5051554,2228426320,0,675,467,2,1,14,14,439,0,1,2230319920,2180340282,67127155,168853460,168869844,1,2,1,0,7429552240,73389,73389,14,14,14,168853460,11,3,530315,756957,1971998,17035,2230319920,742086,21915912,2165
487098.63,253952,62,129922,8559707098,19,34615024,0,279,23,23,6880,135,675,850858,27,32393,23,197,142688954,1352,1,0,22,37,9,5454,675,0,0,0,28015848,6110877,2555855390,0,675,467,2,1,14,14,439,0,1,2555771696,2506065057,74763858,194184778,194184778,1,2,1,0,8544130232,73389,73389,14,14,14,194184778,11,3,545097,868077,2123713,19518,2555771696,850858,25893081,2165
489111.45,253952,62,146477,9650495522,20,37878631,0,314,25,25,6880,138,675,957413,27,37025,23,197,142942340,1352,1,0,22,39,9,5454,675,0,0,0,31927673,7770409,2871752435,0,675,467,2,1,14,14,439,0,1,2874538800,2824954465,84459832,218975424,218975424,1,2,1,0,9634918656,73389,73389,14,14,14,218975424,11,3,553953,977658,2294111,21950,2874538800,957413,29634654,2165
491123.46,253952,62,163203,10752431682,20,41118327,0,349,26,26,6880,140,675,1078672,27,41749,23,197,143738696,1352,1,0,22,40,9,5454,675,0,0,0,36015032,9194578,3193915405,0,675,467,2,1,14,14,439,0,1,3195898832,3146953840,94653215,244007512,244023896,1,2,1,0,10736330528,73389,73389,14,14,14,244007512,11,3,561525,1101279,2463114,24405,3195898832,1078672,33553154,2165
493130.54,253952,62,180132,11867730570,22,45723176,0,383,27,27,6880,143,675,1202192,27,46531,23,197,144004148,1352,1,0,22,41,9,5454,675,0,0,0,40108846,10502690,3519526081,0,675,467,2,1,14,14,439,0,1,3521350608,3472966717,105677087,269371598,269371598,1,2,1,0,11851629416,73389,73389,14,14,14,269355214,11,3,571827,1227313,2644684,26888,3521350608,1202192,37465554,2165
495140.97,253952,62,196851,12969266898,23,49862642,0,423,28,28,6880,146,675,1326032,27,51250,23,197,144535052,1352,1,0,22,42,9,5454,675,0,0,0,44192900,11981504,3843947267,0,675,467,2,1,14,14,439,0,1,3843132368,3794932407,116566932,294408004,294408004,1,2,1,0,12953952176,73389,73389,14,14,14,294408004,11,3,584235,1353519,2835906,29343,3843132368,1326032,41358540,2165
497146.36,253952,62,212567,14005070618,24,53129277,0,468,28,28,6880,148,675,1438506,27,55644,23,197,145065956,1352,1,0,22,42,9,5454,675,0,0,0,47805430,13127414,4146309571,0,675,467,2,1,14,14,439,0,1,4145908688,4097732536,125373595,317937082,317953466,1,2,1,0,13989231608,73389,73389,14,14,14,317937082,11,3,590895,1468066,2983749,31653,4145908688,1438506,44823334,2165
499152.14,253952,62,224292,14777727450,26,56798583,0,498,28,28,6880,150,675,1501433,27,58970,23,197,145331408,1352,1,0,22,42,9,5454,675,0,0,0,50083769,13134616,4370792879,0,675,467,2,1,14,14,439,0,1,4371483600,4323646211,131335882,335507146,335507146,1,2,1,0,14762314424,73389,73389,14,14,14,335507146,11,3,594508,1532324,3058589,33374,4371483600,1501433,47026918,2165
