timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
543544.27,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
545548.71,0,0,18790,1236730480,0,0,0,1,1,5405,117,2,567,128060,35,1754,16,1,116910020,1136,1,15,15,14,2542,567,1966414,21041,406187986,567,484,2,1,14,14,1906,1,407142596,364724849,1987810,27801428,27817812,1,2,1,1223262832,73389,73389,14,14,14,27801428,13,3,355965,130150,778075,3124,407142596,128060,1188433,2625
547554.54,253952,62,35473,2336185030,18,19606574,46,22,22,5405,120,2,675,237178,35,5805,37,22,140299886,1352,1,36,36,14,2718,675,5828164,874835,735406698,675,567,2,1,14,14,1906,1,737803056,686781229,31034943,52737371,52737371,1,2,1,2320444324,73389,73389,14,14,14,52737371,13,3,488396,241643,1140380,5648,737803056,237178,4688023,2935
549562.30,253952,62,50133,3302251830,19,23753367,88,25,25,5405,122,2,675,346027,35,9925,37,22,140830790,1352,1,36,39,14,2718,675,9826451,2107996,1018013280,675,567,2,1,14,14,1906,1,1020263216,969170216,42317551,74681519,74697903,1,2,1,3285986836,73389,73389,14,14,14,74681519,13,3,500155,352859,1325997,7803,1020263216,346027,8500837,2935
551570.17,253952,62,65216,4296040358,20,27611687,130,25,25,5405,124,2,675,457943,35,14147,37,22,141096242,1352,1,36,39,14,2718,675,13801604,3712986,1306505882,675,567,2,1,14,14,1906,1,1310325552,1259657895,53207074,97272835,97289219,1,2,1,4280004740,73389,73389,14,14,14,97272835,13,3,516944,467073,1519566,10016,1310325552,457943,12282554,2935
553574.24,253952,62,78260,5155670078,22,31316367,187,25,25,5405,126,2,675,538449,35,17845,37,22,141361694,1352,1,36,39,14,2718,675,17148749,4210416,1561688058,675,567,2,1,14,14,1906,1,1561328432,1510985813,61148960,116821045,116821045,1,2,1,5140125980,73389,73389,14,14,14,116821045,13,3,520401,549529,1625323,11931,1561328432,538449,15524065,2935
555584.50,253952,62,90116,5936646674,23,33921698,212,27,27,5405,128,2,675,599516,35,21150,37,22,141627146,1352,1,36,41,14,2718,675,19842072,4350559,1788942939,675,567,2,1,14,14,1906,1,1789524784,1739236079,66666689,134573492,134573492,1,2,1,5920512752,73389,73389,14,14,14,134557108,13,3,528768,612245,1715165,13672,1789524784,599516,18127655,2935
557595.27,253952,62,105886,6975989338,24,37080318,264,28,28,5405,131,2,675,711772,35,25618,37,22,142158050,1352,1,36,42,14,2718,675,23996094,5079398,2090817348,675,567,2,1,14,14,1906,1,2093349680,2043176366,74634865,158184490,158184490,1,2,1,6960117560,73389,73389,14,14,14,158184490,13,3,541778,726995,1876644,15990,2093349680,711772,22120350,2935
559599.67,253952,62,119110,7847162152,25,40217815,317,28,28,5405,133,2,675,794942,35,29363,37,22,142423502,1352,1,36,42,14,2718,675,27368337,5584429,2344301991,675,567,2,1,14,14,1906,1,2347629360,2297771197,82705956,177988811,177988811,1,2,1,7830786788,73389,73389,14,14,14,177972427,13,3,543802,812163,1997674,17930,2347629360,794942,25371690,2935
561606.17,253952,62,130171,8576025562,26,42831343,335,30,30,5405,135,2,675,853025,35,32462,37,22,142688954,1352,1,36,44,14,2718,675,29845204,5725488,2557786367,675,567,2,1,14,14,1906,1,2560490288,2510820115,87982769,194545226,194561610,1,2,1,8559989944,73389,73389,14,14,14,194545226,13,3,553275,871744,2080680,19554,2560490288,853025,27765657,2935
