timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
85207.31,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,2097278,2,1,1081,0,0,0,0,0,0,0,0,0,0,0,0,1081,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
87215.68,4,253952,62,25742,1694894744,5,6969214,139,13,13,3790,214,0,567,246704,4,5,10085,19,2,102265543,1136,1,1081,0,4,1545,31921917,7,127558440,18,27,5,3767,567,0,1081,6,0,0,14534452,430596,567052699,0,563,570,4,3,1,14,14,2149,3,566677797,536516685,21926624,32410921,32410921,1,3,1,1685367924,73389,73389,14,14,14,32410925,9,3,99910,252036,508603,4737,566677797,246704,14026361,4813
89221.16,6,253952,62,50768,3344084378,5,8701157,268,13,13,3790,383,7,576,468812,4,5,19948,19,2,108772094,1154,1,1081,0,4,1545,63141586,7,252501744,18,27,5,3767,576,0,1081,6,0,0,28261817,713746,1085698965,0,572,581,4,3,1,14,14,2149,3,1086256891,1055738542,37613085,64125078,64141462,1,3,1,3334504088,73389,73389,14,14,14,64125082,9,3,105763,479130,762126,9068,1086256891,468812,27500703,4848
91226.41,7,253952,62,71330,4698537362,9,13149045,330,17,17,3790,514,7,576,593197,4,5,28036,19,2,110340674,1154,1,1081,0,4,1545,88827600,7,355116396,18,31,5,3767,576,0,1081,6,0,0,37030243,717718,1513490762,0,572,581,4,3,1,14,14,2149,3,1512683093,1482093388,50833534,90160908,90177292,1,3,1,4688367248,73389,73389,14,14,14,90160912,9,3,140314,606617,938957,12604,1512683093,593197,36092651,4848
93235.61,10,253952,62,113688,7488978384,9,15678301,534,23,23,3790,784,8,576,965163,4,5,44711,21,2,116301278,1154,1,1081,0,4,1545,141744697,7,566849696,20,37,5,4256,576,0,1081,6,0,0,60882007,1374159,2388194626,0,572,581,4,3,1,14,14,2149,3,2388119475,2360756105,77849849,143801114,143850266,1,3,1,7477657960,73389,73389,14,14,14,143801118,9,3,163108,987175,1472353,19856,2388119475,965163,59411872,4848
95242.41,12,253952,62,147916,9744970750,11,21728021,697,23,23,3790,1007,11,585,1271585,4,5,58196,21,2,118357797,1172,1,1081,0,4,1545,184490389,7,737832328,20,37,5,4256,585,0,1081,6,0,0,80724703,2022010,3101138041,0,581,592,4,3,1,14,14,2149,3,3098945509,3071072403,104399896,187203923,187220307,1,3,1,9734604028,73389,73389,14,14,14,187203927,9,3,183212,1300637,1886442,25761,3098945509,1271585,78841170,4878
97247.85,14,253952,62,186045,12256993098,11,23187737,860,25,25,3790,1247,11,585,1592806,4,5,73150,21,2,118671513,1172,1,1081,0,4,1545,231989196,7,927698356,20,39,5,4256,585,0,1081,6,0,0,101176625,2439698,3890146808,0,581,592,4,3,1,14,14,2149,3,3889053507,3861715275,126657046,235527965,235527965,1,3,1,12247454212,73389,73389,14,14,14,235527969,9,3,203979,1629093,2292530,32313,3889053507,1592806,98887754,4878
99256.83,22,253952,62,220200,14507622168,17,31284548,970,30,30,3790,1467,12,594,1820794,4,5,86648,21,2,120484254,1190,1,1081,0,4,1545,274770886,7,1098695580,20,44,5,4256,594,0,1081,6,0,0,116689475,2499072,4602175905,0,590,597,4,3,1,14,14,2149,3,4600656700,4570506519,150407542,278771252,278787636,1,3,1,14496105136,73389,73389,14,14,14,278771256,9,3,225791,1862634,2597364,38228,4600656700,1820794,114096385,4906
101267.94,26,253952,62,261456,17226536896,17,33747734,1179,30,30,3790,1736,12,612,2173406,4,5,102902,21,2,124108579,1226,1,1081,0,4,1545,326244530,7,1304913348,20,44,5,4256,612,0,1081,6,0,0,139781089,2815443,5473215256,0,608,615,4,3,1,14,14,2149,3,5470858356,5427434859,176255878,330977414,331026566,1,3,1,17210825560,73389,73389,14,14,14,330977418,9,3,234867,2223486,3009684,45453,5470858356,2173406,136776472,4990
103277.19,34,253952,62,301710,19877723042,17,35277339,1366,30,30,3790,1995,14,666,2528228,4,5,118675,21,2,133357062,1334,1,1081,0,4,1545,376250994,7,1504810064,20,44,5,4256,666,0,1081,6,0,0,162475472,3290095,6327318780,0,662,666,4,3,1,14,14,2149,3,6322608511,6264109468,200936405,381879777,381879777,1,3,1,19857748436,73389,73389,14,14,14,381879781,9,3,249334,2586535,3420954,52529,6322608511,2528228,159060368,5197
105283.10,36,253952,62,330994,21807219828,20,41519207,1535,30,30,3790,2181,15,666,2778723,4,5,130220,21,2,133996560,1334,1,1081,0,4,1545,412849150,7,1651396600,20,44,5,4256,666,0,1081,6,0,0,178715580,3749039,6948917944,0,662,666,4,3,1,14,14,2149,3,6943975394,6872575779,223857278,418918290,418918290,1,3,1,21783751112,73389,73389,14,14,14,418918294,9,3,255578,2842954,3734515,57680,6943975394,2778723,174987508,5197
107291.04,46,253952,62,360398,23743219774,21,43856964,1701,30,30,3790,2374,17,684,3033788,4,5,141756,21,2,137307027,1370,1,1081,0,4,1545,449446181,7,1797599544,20,44,5,4256,684,0,1081,6,0,0,194989941,4238092,7584224796,0,680,684,4,3,1,14,14,2149,3,7577848785,7484006860,242936031,456004240,456020624,1,3,1,23712220512,73389,73389,14,14,14,456004244,9,3,262709,3104017,4030898,62950,7577848785,3033788,190966058,5259
109301.62,53,253952,62,390386,25721126142,21,45170122,1837,31,31,3790,2565,19,720,3294798,4,5,153515,21,2,144174353,1442,1,1081,0,4,1545,486692874,7,1946642384,20,45,5,4256,720,0,1081,6,0,0,211553774,4625186,8250067846,0,716,717,4,3,1,14,14,2149,3,8243782132,8110077517,261162415,493799403,493864939,1,3,1,25677568988,73389,73389,14,14,14,493799407,9,3,272638,3371291,4352084,68476,8243782132,3294798,207209298,5386
111308.75,54,253952,62,420988,27735524572,21,47598496,2012,31,31,3790,2751,20,783,3574815,6,5,165446,21,2,154638949,1568,1,1081,0,4,1545,524565800,7,2098263200,20,45,5,4256,783,0,1081,6,0,0,228513501,5269349,8949225289,0,777,789,6,3,1,14,14,2149,3,8943095195,8749443149,281085225,532244781,532244781,1,3,1,27675876676,73389,73389,14,14,14,532228401,9,3,284613,3657952,4702556,74286,8943095195,3574815,223819161,5604
113318.79,56,253952,62,451702,29758821926,21,50025540,2180,31,31,3790,2947,21,1296,3869274,6,5,177395,21,2,242935522,2594,1,1081,0,4,1545,562405601,7,2249493028,20,45,5,4256,1296,0,1081,6,0,0,245461525,6083183,9685255246,0,1290,1283,6,3,1,14,14,2149,3,9677483452,9394714693,301338293,570608869,570625253,1,3,1,29671661220,73389,73389,14,14,14,570608873,9,3,304197,3960931,5054705,80393,9677483452,3869274,240415674,10464
114904.73,62,253952,62,475233,31308340550,21,52437077,2317,42,42,3790,3127,21,1755,4097275,6,5,186584,35,600,331435011,3519,1,1081,1227,4,1545,591599349,7,2366397396,34,63,27,4923,1755,1,1081,6,1227,146,258690914,6841576,10249518952,8,1749,1805,6,3,1,14,14,2149,3,10240339198,9888637743,347683585,600037902,600037902,1,3,1,31201970936,73389,73389,14,14,14,600037906,9,3,328633,4193899,5396674,84981,10240339198,4097275,253303615,12105
