timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
147648.22,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149652.74,2,253952,62,82500,5434351140,2,4731182,219,25,25,535,582,1,567,665269,2,33,32403,37,109155229,1136,1,0,4,751,102767123,6,410551896,36,39,28,11,4967,567,0,0,42856382,62125,1741880345,0,565,399,2,3,1,14,14,1254,3,1744509265,1713830772,47656274,104298968,104331736,1,3,1,5421842432,73389,73389,14,14,14,104266204,7,3,350719,679968,1494237,14522,1744509265,665269,41363722,2943
151657.52,2,253952,62,157894,10401410752,5,9727942,514,30,30,535,1066,1,603,1313967,2,33,62056,41,120040481,1208,1,0,4,751,196799871,6,786876396,40,44,28,11,5015,603,0,0,85235378,241078,3307154865,0,601,429,2,3,1,14,14,1254,3,3308432916,3277856053,95212618,199785947,199851483,1,3,1,10388017308,73389,73389,14,14,14,199769567,7,3,463978,1344181,2495487,27516,3308432916,1313967,82741939,3071
153663.62,6,253952,62,213307,14052020668,13,20294894,765,33,33,535,1419,3,648,1808103,4,33,83896,41,129616010,1298,1,0,4,751,265964482,6,1063793288,40,47,28,11,5015,648,0,0,118012174,645461,4473515488,0,644,482,4,3,1,14,14,1254,3,4472529473,4428318789,138936787,269941164,269973932,1,3,1,14036088592,73389,73389,14,14,14,269924784,7,3,507687,1849876,3189443,37185,4472529473,1808103,114826907,3238
155672.56,10,253952,62,266258,17540538310,15,24547335,1018,34,34,535,1762,4,711,2317321,8,33,104653,41,141592063,1424,1,0,4,751,331765981,6,1326999288,40,48,28,11,5015,711,0,0,149873452,1133458,5626950964,0,703,550,8,3,1,14,14,1254,3,5623920583,5531248752,175538689,336746297,336746297,1,3,1,17509955508,73389,73389,14,14,14,336729917,7,3,523754,2370459,3753923,46736,5623920583,2317321,146124728,3474
157679.43,13,253952,62,308878,20348283168,20,31811719,1239,34,34,535,2032,4,909,2745156,10,33,121308,41,177776428,1820,1,0,4,751,384559917,6,1538174868,40,48,28,11,5015,909,0,0,175345947,1549548,6592968946,0,899,802,10,3,1,14,14,1254,3,6589304784,6422135948,208701616,390275245,390308013,1,3,1,20293460804,73389,73389,14,14,14,390258865,7,3,534789,2807902,4278871,54735,6589304784,2745156,171073100,4223
159684.28,15,253952,62,351076,23127950980,20,34735854,1422,35,35,535,2301,6,954,3145978,10,33,137683,41,188093980,1910,1,0,4,751,436600440,6,1746272620,40,49,28,11,5015,954,0,0,198532120,1829066,7603573925,0,944,863,10,3,1,14,14,1254,3,7597368527,7307000815,234897265,443089133,443105517,1,3,1,23040634948,73389,73389,14,14,14,443089137,7,3,554945,3217774,4784521,63061,7597368527,3145978,193754438,4398
161695.11,16,253952,62,393527,25924322278,27,42802543,1576,44,44,535,2571,6,1314,3460356,10,33,154228,41,253333474,2630,1,0,4,751,488976121,6,1955517008,40,58,28,11,5015,1314,0,0,217976883,1914426,8629131106,0,1304,1065,10,3,1,14,14,1254,3,8624652406,8198978550,262683267,496147263,496163647,1,3,1,25799657708,73389,73389,14,14,14,496147267,7,3,598842,3539941,5242128,71541,8624652406,3460356,212742368,5391
163700.32,18,253952,62,436414,28750131672,36,53419465,1711,45,45,535,2837,6,1341,3779685,10,33,170818,41,260583046,2684,1,0,4,751,541678847,6,2166715388,40,59,28,11,5015,1341,0,0,237881281,2024889,9672409876,0,1331,1099,10,3,1,14,14,1254,3,9664665599,9099626325,293307332,549783151,549815919,1,3,1,28588723884,73389,73389,14,14,14,549783155,7,3,619485,3867243,5652549,80091,9664665599,3779685,232237140,5481
165442.97,25,253952,62,476599,31398116112,36,55508448,1887,64,64,535,3127,6,1341,4147765,10,33,186584,46,269504165,2691,1,1228,4,751,591599349,6,2366397396,45,85,28,40,5039,1341,1228,100,259391921,2362543,10653828250,8,1331,1099,10,3,1,14,14,1254,3,10644768205,9944151103,335296284,600037902,600037902,1,3,1,31201970936,73389,73389,14,14,14,600037906,7,3,667572,4243858,6192013,88175,10644768205,4147765,253209121,5481
