timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
430475.84,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
432480.51,0,0,17237,1134422168,0,0,0,0,1,1,5385,117,522,127887,2,8,1610,8,0,107523206,1046,1,0,7,15,6,1480,522,0,0,0,1976391,15317,371584098,0,520,352,2,2,1,14,14,457,1,373588164,334444858,1992035,25528370,25528370,1,2,1,1122527384,73389,73389,14,14,14,25511986,8,3,326756,130047,821000,2868,373588164,127887,1155478,1798
434487.05,253952,62,33843,2228830446,7,7999593,0,33,24,24,5385,119,675,251766,2,8,5319,31,13,140299886,1352,1,0,30,38,6,1626,675,0,0,0,5546517,1205565,700130756,0,673,442,2,2,1,14,14,457,1,706345776,655396545,21646138,50284089,50300473,1,2,1,2212499916,73389,73389,14,14,14,50284089,8,3,491435,256251,1244798,5408,706345776,251766,4301922,2220
436494.49,253952,62,47219,3110218118,19,23649873,0,78,25,25,5385,121,675,368885,2,8,9075,31,13,140565338,1352,1,0,30,39,6,1626,675,0,0,0,9669926,3139161,959755020,0,673,442,2,2,1,14,14,457,1,963902256,912995079,49245937,70323819,70340203,1,2,1,3094248036,73389,73389,14,14,14,70323819,8,3,501723,375612,1418865,7373,963902256,368885,8251360,2220
438503.68,253952,62,60246,3968733726,19,30695941,0,107,27,27,5385,124,675,475944,2,8,12797,31,13,141096242,1352,1,0,30,41,6,1626,675,0,0,0,13761065,5557355,1210208134,0,673,442,2,2,1,14,14,457,1,1214642992,1163964502,65758845,89847453,89847453,1,2,1,3952567036,73389,73389,14,14,14,89831069,8,3,519714,484812,1600445,9286,1214642992,475944,12161025,2220
440508.79,253952,62,72984,4808043978,22,36078400,0,167,27,27,5385,126,675,580340,2,8,16392,31,13,141361694,1352,1,0,30,41,6,1626,675,0,0,0,17436600,6878631,1458428636,0,673,442,2,2,1,14,14,457,1,1459878704,1409383528,77529985,108914494,108930878,1,2,1,4792237736,73389,73389,14,14,14,108914494,8,3,525189,591272,1740070,11157,1459878704,580340,15697041,2220
442515.48,253952,62,83919,5528396466,25,40798155,0,196,27,27,5385,127,675,637595,2,8,19414,31,13,141361694,1352,1,0,30,41,6,1626,675,0,0,0,19911528,6968298,1670074958,0,673,442,2,2,1,14,14,457,1,1670118192,1619942647,86150468,125292844,125292844,1,2,1,5512885136,73389,73389,14,14,14,125292844,8,3,526710,649898,1802221,12761,1670118192,637595,18109918,2220
444520.41,253952,62,94810,6246130822,27,44099289,0,236,29,29,5385,129,675,720674,2,8,22487,31,13,141892598,1352,1,0,30,43,6,1626,675,0,0,0,22818514,7466764,1880013977,0,673,442,2,2,1,14,14,457,1,1879964464,1829747594,93100610,141603499,141603499,1,2,1,6230553956,73389,73389,14,14,14,141603499,8,3,535798,734602,1901205,14362,1879964464,720674,20918011,2220
446535.82,253952,62,105977,6981953114,28,45663973,0,258,33,33,5385,131,675,806225,2,8,25644,31,13,142158050,1352,1,0,30,47,6,1626,675,0,0,0,25671048,8144510,2094149688,0,673,442,2,2,1,14,14,457,1,2095053616,2044929527,98513328,158315562,158331946,1,2,1,6965884728,73389,73389,14,14,14,158315562,8,3,557168,821844,2038556,16003,2095053616,806225,23633292,2220
448546.26,253952,62,119945,7902403550,29,48785220,0,303,33,33,5385,133,675,928814,2,8,29563,31,13,142423502,1352,1,0,30,47,6,1626,675,0,0,0,29736813,9678186,2361266553,0,673,442,2,2,1,14,14,457,1,2363882288,2313910655,108295128,179229677,179246061,1,2,1,7886105788,73389,73389,14,14,14,179229677,8,3,560920,946736,2180216,18054,2363882288,928814,27557525,2220
